lambda_um,eta,V,delta_phi
1.530000000000000027e+00,4.710618825555668021e-01,9.933230483783643816e-01,-2.265645626357984721e+00
1.530999999999999917e+00,4.711390734185021967e-01,9.933585035546226294e-01,-2.265645626357984721e+00
1.532000000000000028e+00,4.712187285319218155e-01,9.933949926389736840e-01,-2.265645626357984721e+00
1.532999999999999918e+00,4.713006702020376970e-01,9.934324253249227077e-01,-2.265645626357984721e+00
1.534000000000000030e+00,4.713849788374185890e-01,9.934708293582134031e-01,-2.265645626357984721e+00
1.534999999999999920e+00,4.714714603417843874e-01,9.935101073122485360e-01,-2.265645626357984721e+00
1.536000000000000032e+00,4.715600009097474232e-01,9.935501988760859771e-01,-2.265645626357984721e+00
1.536999999999999700e+00,4.716506413716211599e-01,9.935911138546106303e-01,-2.265645626357984721e+00
1.538000000000000034e+00,4.717431985341695166e-01,9.936327609746041789e-01,-2.265645626357984721e+00
1.538999999999999924e+00,4.718375816260493849e-01,9.936750912230001287e-01,-2.265645626357984721e+00
1.540000000000000036e+00,4.719336786555171082e-01,9.937180464908187405e-01,-2.265645626357984721e+00
1.540999999999999925e+00,4.720314100035850613e-01,9.937615835948603316e-01,-2.265645626357984721e+00
1.542000000000000259e+00,4.721304264303157749e-01,9.938055402253362924e-01,-2.265645626357984721e+00
1.542999999999999927e+00,4.722312336276991429e-01,9.938501336688855270e-01,-2.265645626357984721e+00
1.544000000000000039e+00,4.723332490569915887e-01,9.938950991018418168e-01,-2.265645626357984721e+00
1.544999999999999929e+00,4.724362449465243086e-01,9.939403308501141288e-01,-2.265645626357984721e+00
1.546000000000000041e+00,4.725404852482978924e-01,9.939859394037795504e-01,-2.265645626357984721e+00
1.546999999999999931e+00,4.726455979982550626e-01,9.940317567986396430e-01,-2.265645626357984721e+00
1.548000000000000043e+00,4.727515632072264995e-01,9.940777700242724446e-01,-2.265645626357984721e+00
1.548999999999999932e+00,4.728583759643167350e-01,9.941239726770770835e-01,-2.265645626357984721e+00
1.550000000000000044e+00,4.729656240393173006e-01,9.941701831922989951e-01,-2.265645626357984721e+00
1.550999999999999934e+00,4.730734420491514713e-01,9.942164570043778848e-01,-2.265645626357984721e+00
1.552000000000000046e+00,4.731815521023477467e-01,9.942626726311801777e-01,-2.265645626357984721e+00
1.552999999999999936e+00,4.732900020335434332e-01,9.943088488840337025e-01,-2.265645626357984721e+00
1.554000000000000048e+00,4.733985315272629668e-01,9.943548738267521392e-01,-2.265645626357984721e+00
1.554999999999999716e+00,4.735070727773690313e-01,9.944007184446963521e-01,-2.265645626357984721e+00
1.556000000000000050e+00,4.736154907871368835e-01,9.944463259789829701e-01,-2.265645626357984721e+00
1.556999999999999940e+00,4.737237923086666802e-01,9.944916998578596790e-01,-2.265645626357984721e+00
1.558000000000000052e+00,4.738316888827016071e-01,9.945367205352673157e-01,-2.265645626357984721e+00
1.558999999999999719e+00,4.739390092644301666e-01,9.945813190307944973e-01,-2.265645626357984721e+00
1.560000000000000053e+00,4.740460517461139722e-01,9.946256214455797551e-01,-2.265645626357984721e+00
1.560999999999999943e+00,4.741524270316164191e-01,9.946694690207797951e-01,-2.265645626357984721e+00
1.562000000000000055e+00,4.742581312543237559e-01,9.947128635008645192e-01,-2.265645626357984721e+00
1.562999999999999945e+00,4.743629205160339590e-01,9.947557086926185344e-01,-2.265645626357984721e+00
1.564000000000000057e+00,4.744668787044500902e-01,9.947980431960196102e-01,-2.265645626357984721e+00
1.564999999999999947e+00,4.745699051280987124e-01,9.948398303133153542e-01,-2.265645626357984721e+00
