lambda_um,eta_TE,eta_TM,delta_eta,V_TE,V_TM,delta_phi_TE,delta_phi_TM,delta_delta_phi
1.530000000000000027e+00,4.598743192440679084e-01,5.352691459729402856e-01,7.539482672887237724e-02,9.872018615591340307e-01,9.900979677915182631e-01,-1.774762147687149128e+00,-1.679011371119032425e+00,9.575077656811670224e-02
1.530999999999999917e+00,4.579673546163814390e-01,5.339079699363982190e-01,7.594061532001677994e-02,9.859652370687053136e-01,9.908441045769615929e-01,-1.774762147687149128e+00,-1.679011371119032425e+00,9.575077656811670224e-02
1.532000000000000028e+00,4.560446914728424894e-01,5.331865271805397155e-01,7.714183570769722609e-02,9.846619832540276507e-01,9.912278798527890400e-01,-1.774762147687149128e+00,-1.679011371119032425e+00,9.575077656811670224e-02
1.532999999999999918e+00,4.541067047126095546e-01,5.332023831357104449e-01,7.909567842310089025e-02,9.832912114192546849e-01,9.912195323215431397e-01,-1.774762147687149128e+00,-1.679011371119032425e+00,9.575077656811670224e-02
1.534000000000000030e+00,4.521552402176560181e-01,5.340618160435833817e-01,8.190657582592736352e-02,9.818531926449600711e-01,9.907612171163340253e-01,-1.774762147687149128e+00,-1.679011371119032425e+00,9.575077656811670224e-02
1.534999999999999920e+00,4.501904883259498780e-01,5.358907290862148232e-01,8.570024076026494519e-02,9.803471344259762077e-01,9.897476704502735645e-01,-1.774762147687149128e+00,-1.679011371119032425e+00,9.575077656811670224e-02
1.536000000000000032e+00,4.482127078345605198e-01,5.388219734090883284e-01,9.060926557452780861e-02,9.787723348682628721e-01,9.880150870810100461e-01,-1.774762147687149128e+00,-1.679011371119032425e+00,9.575077656811670224e-02
1.536999999999999700e+00,4.462244794197773867e-01,5.429860868961401410e-01,9.676160747636275428e-02,9.771300885355169719e-01,9.853260291355302458e-01,-1.774762147687149128e+00,-1.679011371119032425e+00,9.575077656811670224e-02
1.538000000000000034e+00,4.442246510213023192e-01,5.485101050889126251e-01,1.042854540676103059e-01,9.754187616409482064e-01,9.813497113313781606e-01,-1.774762147687149128e+00,-1.679011371119032425e+00,9.575077656811670224e-02
1.538999999999999924e+00,4.422162456364068239e-01,5.554954506598063224e-01,1.132792050233994985e-01,9.736403572632050807e-01,9.756618607040216107e-01,-1.774762147687149128e+00,-1.679011371119032425e+00,9.575077656811670224e-02
1.540000000000000036e+00,4.401985259606193135e-01,5.639895295432963973e-01,1.237910035826770838e-01,9.717937561376805977e-01,9.677705946836809847e-01,-1.774762147687149128e+00,-1.679011371119032425e+00,9.575077656811670224e-02
1.540999999999999925e+00,4.381727886309003672e-01,5.739512774388467742e-01,1.357784888079464070e-01,9.698797191073638135e-01,9.571862269037099136e-01,-1.774762147687149128e+00,-1.679011371119032425e+00,9.575077656811670224e-02
1.542000000000000259e+00,4.361398894591145270e-01,5.852167740483179559e-01,1.490768845892034289e-01,9.678987405989981641e-01,9.435447019608589336e-01,-1.774762147687149128e+00,-1.679011371119032425e+00,9.575077656811670224e-02
1.542999999999999927e+00,4.341015854060557011e-01,5.974870600816456490e-01,1.633854746755899479e-01,9.658523501125156896e-01,9.267546019665916512e-01,-1.774762147687149128e+00,-1.679011371119032425e+00,9.575077656811670224e-02
1.544000000000000039e+00,4.320576460949918651e-01,6.103323459273011231e-01,1.782746998323092580e-01,9.637402167126394303e-01,9.071360053225200337e-01,-1.774762147687149128e+00,-1.679011371119032425e+00,9.575077656811670224e-02
1.544999999999999929e+00,4.300100728956738894e-01,6.232271137577769515e-01,1.932170408621030622e-01,9.615644017641196140e-01,8.854767346842081777e-01,-1.774762147687149128e+00,-1.679011371119032425e+00,9.575077656811670224e-02
1.546000000000000041e+00,4.279593360739076813e-01,6.356419244928730450e-01,2.076825884189653637e-01,9.593255208913210597e-01,8.629000102574453379e-01,-1.774762147687149128e+00,-1.679011371119032425e+00,9.575077656811670224e-02
1.546999999999999931e+00,4.259067464487581445e-01,6.471046502166650782e-01,2.211979037679069338e-01,9.570252119484332631e-01,8.406729804780151971e-01,-1.774762147687149128e+00,-1.679011371119032425e+00,9.575077656811670224e-02
1.548000000000000043e+00,4.238521822640531345e-01,6.572580871859408091e-01,2.334059049218876747e-01,9.546636092915276040e-01,8.199679944308913004e-01,-1.774762147687149128e+00,-1.679011371119032425e+00,9.575077656811670224e-02
1.548999999999999932e+00,4.217988522142912533e-01,6.658925267722392016e-01,2.440936745579479483e-01,9.522448158210633506e-01,8.016698063499945182e-01,-1.774762147687149128e+00,-1.679011371119032425e+00,9.575077656811670224e-02
1.550000000000000044e+00,4.197455335287672007e-01,6.729603413889230223e-01,2.532148078601558217e-01,9.497679003788818131e-01,7.862547573241241983e-01,-1.774762147687149128e+00,-1.679011371119032425e+00,9.575077656811670224e-02
1.550999999999999934e+00,4.176943098401920684e-01,6.785499238373199349e-01,2.608556139971278665e-01,9.472359300112086489e-01,7.738039819371995698e-01,-1.774762147687149128e+00,-1.679011371119032425e+00,9.575077656811670224e-02
1.552000000000000046e+00,4.156456569799907297e-01,6.828304715180446571e-01,2.671848145380539274e-01,9.446501600131621545e-01,7.641228004450313360e-01,-1.774762147687149128e+00,-1.679011371119032425e+00,9.575077656811670224e-02
1.552999999999999936e+00,4.136009473686179660e-01,6.860011223545693371e-01,2.724001749859513710e-01,9.420130720548696157e-01,7.568738368600615996e-01,-1.774762147687149128e+00,-1.679011371119032425e+00,9.575077656811670224e-02
1.554000000000000048e+00,4.115607049098652936e-01,6.882592997570481375e-01,2.766985948471828438e-01,9.393261722117449697e-01,7.516720168206381114e-01,-1.774762147687149128e+00,-1.679011371119032425e+00,9.575077656811670224e-02
1.554999999999999716e+00,4.095267364812249511e-01,6.898011459696345993e-01,2.802744094884096482e-01,9.365927658965661484e-01,7.481021509788460255e-01,-1.774762147687149128e+00,-1.679011371119032425e+00,9.575077656811670224e-02
