lambda_um,eta,V,delta_phi
1.530000000000000027e+00,5.352691459729402856e-01,9.900979677915182631e-01,-1.679011371119032425e+00
1.530999999999999917e+00,5.339079699363982190e-01,9.908441045769615929e-01,-1.679011371119032425e+00
1.532000000000000028e+00,5.331865271805397155e-01,9.912278798527890400e-01,-1.679011371119032425e+00
1.532999999999999918e+00,5.332023831357104449e-01,9.912195323215431397e-01,-1.679011371119032425e+00
1.534000000000000030e+00,5.340618160435833817e-01,9.907612171163340253e-01,-1.679011371119032425e+00
1.534999999999999920e+00,5.358907290862148232e-01,9.897476704502735645e-01,-1.679011371119032425e+00
1.536000000000000032e+00,5.388219734090883284e-01,9.880150870810100461e-01,-1.679011371119032425e+00
1.536999999999999700e+00,5.429860868961401410e-01,9.853260291355302458e-01,-1.679011371119032425e+00
1.538000000000000034e+00,5.485101050889126251e-01,9.813497113313781606e-01,-1.679011371119032425e+00
1.538999999999999924e+00,5.554954506598063224e-01,9.756618607040216107e-01,-1.679011371119032425e+00
1.540000000000000036e+00,5.639895295432963973e-01,9.677705946836809847e-01,-1.679011371119032425e+00
1.540999999999999925e+00,5.739512774388467742e-01,9.571862269037099136e-01,-1.679011371119032425e+00
1.542000000000000259e+00,5.852167740483179559e-01,9.435447019608589336e-01,-1.679011371119032425e+00
1.542999999999999927e+00,5.974870600816456490e-01,9.267546019665916512e-01,-1.679011371119032425e+00
1.544000000000000039e+00,6.103323459273011231e-01,9.071360053225200337e-01,-1.679011371119032425e+00
1.544999999999999929e+00,6.232271137577769515e-01,8.854767346842081777e-01,-1.679011371119032425e+00
1.546000000000000041e+00,6.356419244928730450e-01,8.629000102574453379e-01,-1.679011371119032425e+00
1.546999999999999931e+00,6.471046502166650782e-01,8.406729804780151971e-01,-1.679011371119032425e+00
1.548000000000000043e+00,6.572580871859408091e-01,8.199679944308913004e-01,-1.679011371119032425e+00
1.548999999999999932e+00,6.658925267722392016e-01,8.016698063499945182e-01,-1.679011371119032425e+00
1.550000000000000044e+00,6.729603413889230223e-01,7.862547573241241983e-01,-1.679011371119032425e+00
1.550999999999999934e+00,6.785499238373199349e-01,7.738039819371995698e-01,-1.679011371119032425e+00
1.552000000000000046e+00,6.828304715180446571e-01,7.641228004450313360e-01,-1.679011371119032425e+00
1.552999999999999936e+00,6.860011223545693371e-01,7.568738368600615996e-01,-1.679011371119032425e+00
1.554000000000000048e+00,6.882592997570481375e-01,7.516720168206381114e-01,-1.679011371119032425e+00
1.554999999999999716e+00,6.898011459696345993e-01,7.481021509788460255e-01,-1.679011371119032425e+00
1.556000000000000050e+00,6.908134480979374326e-01,7.457504908163588020e-01,-1.679011371119032425e+00
1.556999999999999940e+00,6.914535609023022555e-01,7.442602831490420234e-01,-1.679011371119032425e+00
1.558000000000000052e+00,6.918393710766386207e-01,7.433609241546806912e-01,-1.679011371119032425e+00
1.558999999999999719e+00,6.920565168188188565e-01,7.428543498277576651e-01,-1.679011371119032425e+00
1.560000000000000053e+00,6.921772763691107500e-01,7.425725121870486722e-01,-1.679011371119032425e+00
1.560999999999999943e+00,6.922681601084584857e-01,7.423603442614122860e-01,-1.679011371119032425e+00
1.562000000000000055e+00,6.923878983508974239e-01,7.420807413368805117e-01,-1.679011371119032425e+00
1.562999999999999945e+00,6.925742115308114455e-01,7.416455105542927306e-01,-1.679011371119032425e+00
1.564000000000000057e+00,6.928498612811453405e-01,7.410012147929665449e-01,-1.679011371119032425e+00
1.564999999999999947e+00,6.932307442598270031e-01,7.401102195650277604e-01,-1.679011371119032425e+00
