lambda_um,eta,V,delta_phi
1.530000000000000027e+00,4.598743192440679084e-01,9.872018615591340307e-01,-1.774762147687149128e+00
1.530999999999999917e+00,4.579673546163814390e-01,9.859652370687053136e-01,-1.774762147687149128e+00
1.532000000000000028e+00,4.560446914728424894e-01,9.846619832540276507e-01,-1.774762147687149128e+00
1.532999999999999918e+00,4.541067047126095546e-01,9.832912114192546849e-01,-1.774762147687149128e+00
1.534000000000000030e+00,4.521552402176560181e-01,9.818531926449600711e-01,-1.774762147687149128e+00
1.534999999999999920e+00,4.501904883259498780e-01,9.803471344259762077e-01,-1.774762147687149128e+00
1.536000000000000032e+00,4.482127078345605198e-01,9.787723348682628721e-01,-1.774762147687149128e+00
1.536999999999999700e+00,4.462244794197773867e-01,9.771300885355169719e-01,-1.774762147687149128e+00
1.538000000000000034e+00,4.442246510213023192e-01,9.754187616409482064e-01,-1.774762147687149128e+00
1.538999999999999924e+00,4.422162456364068239e-01,9.736403572632050807e-01,-1.774762147687149128e+00
1.540000000000000036e+00,4.401985259606193135e-01,9.717937561376805977e-01,-1.774762147687149128e+00
1.540999999999999925e+00,4.381727886309003672e-01,9.698797191073638135e-01,-1.774762147687149128e+00
1.542000000000000259e+00,4.361398894591145270e-01,9.678987405989981641e-01,-1.774762147687149128e+00
1.542999999999999927e+00,4.341015854060557011e-01,9.658523501125156896e-01,-1.774762147687149128e+00
1.544000000000000039e+00,4.320576460949918651e-01,9.637402167126394303e-01,-1.774762147687149128e+00
1.544999999999999929e+00,4.300100728956738894e-01,9.615644017641196140e-01,-1.774762147687149128e+00
1.546000000000000041e+00,4.279593360739076813e-01,9.593255208913210597e-01,-1.774762147687149128e+00
1.546999999999999931e+00,4.259067464487581445e-01,9.570252119484332631e-01,-1.774762147687149128e+00
1.548000000000000043e+00,4.238521822640531345e-01,9.546636092915276040e-01,-1.774762147687149128e+00
1.548999999999999932e+00,4.217988522142912533e-01,9.522448158210633506e-01,-1.774762147687149128e+00
1.550000000000000044e+00,4.197455335287672007e-01,9.497679003788818131e-01,-1.774762147687149128e+00
1.550999999999999934e+00,4.176943098401920684e-01,9.472359300112086489e-01,-1.774762147687149128e+00
1.552000000000000046e+00,4.156456569799907297e-01,9.446501600131621545e-01,-1.774762147687149128e+00
1.552999999999999936e+00,4.136009473686179660e-01,9.420130720548696157e-01,-1.774762147687149128e+00
1.554000000000000048e+00,4.115607049098652936e-01,9.393261722117449697e-01,-1.774762147687149128e+00
1.554999999999999716e+00,4.095267364812249511e-01,9.365927658965661484e-01,-1.774762147687149128e+00
1.556000000000000050e+00,4.074994037489045318e-01,9.338143505991881588e-01,-1.774762147687149128e+00
1.556999999999999940e+00,4.054798218081080430e-01,9.309935205552598569e-01,-1.774762147687149128e+00
1.558000000000000052e+00,4.034697741711731345e-01,9.281339400868827694e-01,-1.774762147687149128e+00
1.558999999999999719e+00,4.014695864865944763e-01,9.252373178618527039e-01,-1.774762147687149128e+00
1.560000000000000053e+00,3.994807117930412876e-01,9.223070590501146748e-01,-1.774762147687149128e+00
1.560999999999999943e+00,3.975035748410037373e-01,9.193451464330945067e-01,-1.774762147687149128e+00
1.562000000000000055e+00,3.955394301881541286e-01,9.163548614077013932e-01,-1.774762147687149128e+00
1.562999999999999945e+00,3.935905575851452176e-01,9.133411849749014655e-01,-1.774762147687149128e+00
1.564000000000000057e+00,3.916570698000611528e-01,9.103058632689778884e-01,-1.774762147687149128e+00
1.564999999999999947e+00,3.897400434517334644e-01,9.072521729137882351e-01,-1.774762147687149128e+00
