lambda_um,eta,V
1.530000000000000027e+00,4.815086351240300266e-01,9.972682916186599300e-01
1.530999999999999917e+00,4.791771069247727777e-01,9.965372626647815979e-01
1.532000000000000028e+00,4.768239762281550886e-01,9.957121877943283517e-01
1.532999999999999918e+00,4.744512625135171024e-01,9.947916947375483598e-01
1.534000000000000030e+00,4.720590786726538424e-01,9.937738821215282847e-01
1.534999999999999920e+00,4.696482537532251644e-01,9.926572294760801496e-01
1.536000000000000032e+00,4.672196426613471343e-01,9.914403764186414669e-01
1.536999999999999700e+00,4.647738844997050256e-01,9.901219959337355103e-01
1.538000000000000034e+00,4.623110115952597243e-01,9.887005230374871223e-01
1.538999999999999924e+00,4.598328021873141491e-01,9.871755339271724994e-01
1.540000000000000036e+00,4.573400668812986902e-01,9.855462565804647967e-01
1.540999999999999925e+00,4.548332978824642936e-01,9.838118494729539698e-01
1.542000000000000259e+00,4.523131805557603080e-01,9.819717255562905311e-01
1.542999999999999927e+00,4.497816211220262983e-01,9.800263999188189024e-01
1.544000000000000039e+00,4.472382185355103790e-01,9.779748107131875923e-01
1.544999999999999929e+00,4.446857851110961879e-01,9.758186481390536127e-01
1.546000000000000041e+00,4.421241073565251867e-01,9.735573397491501524e-01
1.546999999999999931e+00,4.395539096687350877e-01,9.711911996035467176e-01
1.548000000000000043e+00,4.369771845381502096e-01,9.687219282486648764e-01
1.548999999999999932e+00,4.343952748935268060e-01,9.661509036780661086e-01
1.550000000000000044e+00,4.318085593446832071e-01,9.634787256759063112e-01
1.550999999999999934e+00,4.292183996022974624e-01,9.607071544792590290e-01
1.552000000000000046e+00,4.266261325017301487e-01,9.578381555548621806e-01
1.552999999999999936e+00,4.240326980549113389e-01,9.548734589445344589e-01
1.554000000000000048e+00,4.214395283475168563e-01,9.518155474870129140e-01
1.554999999999999716e+00,4.188474043574063055e-01,9.486663313205033754e-01
1.556000000000000050e+00,4.162592614796692403e-01,9.454305842716402841e-01
1.556999999999999940e+00,4.136738489532686414e-01,9.421080555652925348e-01
1.558000000000000052e+00,4.110940121285013293e-01,9.387038102471730872e-01
1.558999999999999719e+00,4.085202816148763572e-01,9.352201400972920409e-01
1.560000000000000053e+00,4.059550376595429388e-01,9.316620095754971631e-01
1.560999999999999943e+00,4.033990406004319684e-01,9.280323714779017408e-01
1.562000000000000055e+00,4.008517776880481387e-01,9.243324020353078652e-01
1.562999999999999945e+00,3.983169567324701399e-01,9.205695361641147434e-01
1.564000000000000057e+00,3.957947887500523620e-01,9.167463077351964973e-01
1.564999999999999947e+00,3.932872905180574974e-01,9.128680758999666578e-01
