lambda_um,eta,V
1.530000000000000027e+00,4.700569432101152634e-01,9.928529386398287082e-01
1.530999999999999917e+00,4.705453348518637280e-01,9.930833844028011947e-01
1.532000000000000028e+00,4.710171896703288508e-01,9.933024774073285768e-01
1.532999999999999918e+00,4.714717663258396474e-01,9.935102460750036002e-01
1.534000000000000030e+00,4.719090516257696266e-01,9.937070520511476213e-01
1.534999999999999920e+00,4.723283622090347356e-01,9.938929488492684872e-01
1.536000000000000032e+00,4.727290710545259400e-01,9.940680180202037253e-01
1.536999999999999700e+00,4.731110862518818072e-01,9.942325702620250505e-01
1.538000000000000034e+00,4.734737956848686924e-01,9.943866828839956762e-01
1.538999999999999924e+00,4.738167979708448052e-01,9.945305180855869009e-01
1.540000000000000036e+00,4.741396101472948321e-01,9.946641953790708035e-01
1.540999999999999925e+00,4.744419823061406527e-01,9.947879202302817303e-01
1.542000000000000259e+00,4.747232929023110781e-01,9.949017339980957830e-01
1.542999999999999927e+00,4.749833486008721017e-01,9.950058392615338532e-01
1.544000000000000039e+00,4.752216983629595770e-01,9.951003190592544456e-01
1.544999999999999929e+00,4.754378418197260370e-01,9.951852220988237629e-01
1.546000000000000041e+00,4.756314993663142698e-01,9.952606667309321642e-01
1.546999999999999931e+00,4.758023203324236450e-01,9.953267237205125628e-01
1.548000000000000043e+00,4.759498859182873520e-01,9.953834171747742987e-01
1.548999999999999932e+00,4.760737276303368959e-01,9.954307309379852864e-01
1.550000000000000044e+00,4.761733938503540653e-01,9.954686326738308999e-01
1.550999999999999934e+00,4.762487334036654696e-01,9.954971792535155517e-01
1.552000000000000046e+00,4.762992871773712444e-01,9.955162841330440493e-01
1.552999999999999936e+00,4.763244766107927464e-01,9.955257884644426181e-01
1.554000000000000048e+00,4.763240568571305289e-01,9.955256301674809682e-01
1.554999999999999716e+00,4.762974419631901268e-01,9.955155875137653432e-01
1.556000000000000050e+00,4.762445874496445963e-01,9.954956106577252939e-01
1.556999999999999940e+00,4.761647601847699973e-01,9.954653556079324783e-01
1.558000000000000052e+00,4.760575238714813695e-01,9.954245540488205757e-01
1.558999999999999719e+00,4.759227113494357564e-01,9.953730027440947925e-01
1.560000000000000053e+00,4.757596908153199355e-01,9.953102818595511714e-01
1.560999999999999943e+00,4.755680243400052243e-01,9.952360034494180940e-01
1.562000000000000055e+00,4.753474200086529877e-01,9.951497932449675510e-01
1.562999999999999945e+00,4.750975119968981475e-01,9.950512043938941620e-01
1.564000000000000057e+00,4.748177676758799093e-01,9.949396773111727210e-01
1.564999999999999947e+00,4.745077990725780070e-01,9.948146603547550759e-01
