lambda_um,eta_TE,eta_TM,delta_eta,V_TE,V_TM
1.530000000000000027e+00,4.783947356299226850e-01,5.783256074059015539e-01,9.993087177597886894e-02,9.962726599142657236e-01,9.520963308246654933e-01
1.530999999999999917e+00,4.784629390950813632e-01,5.792948874533171422e-01,1.008319483582357790e-01,9.962961121798941111e-01,9.509326457171547453e-01
1.532000000000000028e+00,4.785096670752725934e-01,5.801417239540830328e-01,1.016320568788104395e-01,9.963121374535566233e-01,9.499054021304105255e-01
1.532999999999999918e+00,4.785339736973585612e-01,5.808378246302596803e-01,1.023038509329011192e-01,9.963204597038846089e-01,9.490536561472650012e-01
1.534000000000000030e+00,4.785358912500122242e-01,5.813803986266017354e-01,1.028445073765895112e-01,9.963211158494631459e-01,9.483851779856493636e-01
1.534999999999999920e+00,4.785149626536230882e-01,5.817354647168575532e-01,1.032205020632344650e-01,9.963139513826648752e-01,9.479455482874084016e-01
1.536000000000000032e+00,4.784707178645321024e-01,5.818930557181719587e-01,1.034223378536398563e-01,9.962987822913729197e-01,9.477498755088544780e-01
1.536999999999999700e+00,4.784029096137933368e-01,5.818478675278304646e-01,1.034449579140371278e-01,9.962754744808095531e-01,9.478060179210504588e-01
1.538000000000000034e+00,4.783111162649849590e-01,5.815919384175588513e-01,1.032808221525738923e-01,9.962438063479628347e-01,9.481234638054696351e-01
1.538999999999999924e+00,4.781949022221766432e-01,5.811353055394831157e-01,1.029404033173064725e-01,9.962035220156482129e-01,9.486876418104729369e-01
1.540000000000000036e+00,4.780540953757624889e-01,5.804908191197819534e-01,1.024367237440194645e-01,9.961544266239785728e-01,9.494790784204247824e-01
1.540999999999999925e+00,4.778881783332772359e-01,5.796763765553102354e-01,1.017881982220329995e-01,9.960961735735476275e-01,9.504711023061724884e-01
1.542000000000000259e+00,4.776969818902037646e-01,5.787148309412091240e-01,1.010178490510053595e-01,9.960285051427828495e-01,9.516305952090187148e-01
1.542999999999999927e+00,4.774799797536570800e-01,5.776351679665462369e-01,1.001551882128891569e-01,9.959510033207453761e-01,9.529173552597219876e-01
1.544000000000000039e+00,4.772366120278753177e-01,5.764663416924087347e-01,9.922972966453341703e-02,9.958631996379325724e-01,9.542922207869104501e-01
1.544999999999999929e+00,4.769671507226359020e-01,5.752334385847953646e-01,9.826628786215946265e-02,9.957648899426274625e-01,9.557219062400739151e-01
1.546000000000000041e+00,4.766705558852591951e-01,5.739599558758834430e-01,9.728939999062424793e-02,9.956553548162159206e-01,9.571763927998527821e-01
1.546999999999999931e+00,4.763470603977820739e-01,5.726711804459324595e-01,9.632412004815038564e-02,9.955343011326638347e-01,9.586252138702326953e-01
1.548000000000000043e+00,4.759959555595051905e-01,5.713807681043996389e-01,9.538481254489444838e-02,9.954010463647039453e-01,9.600524527749700887e-01
1.548999999999999932e+00,4.756169643225779953e-01,5.700981058785822286e-01,9.448114155600423336e-02,9.952550247359026603e-01,9.614477873022510002e-01
1.550000000000000044e+00,4.752098115481845353e-01,5.688311066022520013e-01,9.362129505406746599e-02,9.950956284458943868e-01,9.628031434598595117e-01
1.550999999999999934e+00,4.747741245220089001e-01,5.675807035260916900e-01,9.280657900408278982e-02,9.949221666621809179e-01,9.641182967844350582e-01
1.552000000000000046e+00,4.743097001410768176e-01,5.663425809842368430e-01,9.203288084316002537e-02,9.947339700853425892e-01,9.653984677489672039e-01
1.552999999999999936e+00,4.738158276726255336e-01,5.651132164307233197e-01,9.129738875809778609e-02,9.945301138101895200e-01,9.666477702910873937e-01
1.554000000000000048e+00,4.732929302007888861e-01,5.638917639507537993e-01,9.059883374996491323e-02,9.943100930863970621e-01,9.678674209878197487e-01
1.554999999999999716e+00,4.727398378373340315e-01,5.626591636764969317e-01,8.991932583916290023e-02,9.940726872052791929e-01,9.690762808702830799e-01
1.556000000000000050e+00,4.721567627269921408e-01,5.614152948191349912e-01,8.925853209214285044e-02,9.938172058475969184e-01,9.702737824579622528e-01
1.556999999999999940e+00,4.715435073685544931e-01,5.601543404903268630e-01,8.861083312177236992e-02,9.935427398500961127e-01,9.714646680557660341e-01
1.558000000000000052e+00,4.708991848913090528e-01,5.588724550917976153e-01,8.797327020048856250e-02,9.932480123639355618e-01,9.726514291156077574e-01
1.558999999999999719e+00,4.702241724457825178e-01,5.575722897056870631e-01,8.734811725990454523e-02,9.929322657577663858e-01,9.738304151945641474e-01
1.560000000000000053e+00,4.695180107795604574e-01,5.562575852087419115e-01,8.673957442918145411e-02,9.925943106995503973e-01,9.749971998896559411e-01
1.560999999999999943e+00,4.687799561183333963e-01,5.549385826887411888e-01,8.615862657040779249e-02,9.922327535454195102e-01,9.761420538377603151e-01
1.562000000000000055e+00,4.680104045534670965e-01,5.536204368913032470e-01,8.561003233783615052e-02,9.918467004669065945e-01,9.772603101714465446e-01
1.562999999999999945e+00,4.672084939591799602e-01,5.523198493779966078e-01,8.511135541881664768e-02,9.914345780584969958e-01,9.783382514794743967e-01
1.564000000000000057e+00,4.663746580371361805e-01,5.510550291196368855e-01,8.468037108250070499e-02,9.909954156468852027e-01,9.793622507620829420e-01
1.564999999999999947e+00,4.655081744710007907e-01,5.498456345215251284e-01,8.433746005052433770e-02,9.905275885556162896e-01,9.803188994020478608e-01
