lambda_um,eta,V
1.530000000000000027e+00,5.783256074059015539e-01,9.520963308246654933e-01
1.530999999999999917e+00,5.792948874533171422e-01,9.509326457171547453e-01
1.532000000000000028e+00,5.801417239540830328e-01,9.499054021304105255e-01
1.532999999999999918e+00,5.808378246302596803e-01,9.490536561472650012e-01
1.534000000000000030e+00,5.813803986266017354e-01,9.483851779856493636e-01
1.534999999999999920e+00,5.817354647168575532e-01,9.479455482874084016e-01
1.536000000000000032e+00,5.818930557181719587e-01,9.477498755088544780e-01
1.536999999999999700e+00,5.818478675278304646e-01,9.478060179210504588e-01
1.538000000000000034e+00,5.815919384175588513e-01,9.481234638054696351e-01
1.538999999999999924e+00,5.811353055394831157e-01,9.486876418104729369e-01
1.540000000000000036e+00,5.804908191197819534e-01,9.494790784204247824e-01
1.540999999999999925e+00,5.796763765553102354e-01,9.504711023061724884e-01
1.542000000000000259e+00,5.787148309412091240e-01,9.516305952090187148e-01
1.542999999999999927e+00,5.776351679665462369e-01,9.529173552597219876e-01
1.544000000000000039e+00,5.764663416924087347e-01,9.542922207869104501e-01
1.544999999999999929e+00,5.752334385847953646e-01,9.557219062400739151e-01
1.546000000000000041e+00,5.739599558758834430e-01,9.571763927998527821e-01
1.546999999999999931e+00,5.726711804459324595e-01,9.586252138702326953e-01
1.548000000000000043e+00,5.713807681043996389e-01,9.600524527749700887e-01
1.548999999999999932e+00,5.700981058785822286e-01,9.614477873022510002e-01
1.550000000000000044e+00,5.688311066022520013e-01,9.628031434598595117e-01
1.550999999999999934e+00,5.675807035260916900e-01,9.641182967844350582e-01
1.552000000000000046e+00,5.663425809842368430e-01,9.653984677489672039e-01
1.552999999999999936e+00,5.651132164307233197e-01,9.666477702910873937e-01
1.554000000000000048e+00,5.638917639507537993e-01,9.678674209878197487e-01
1.554999999999999716e+00,5.626591636764969317e-01,9.690762808702830799e-01
1.556000000000000050e+00,5.614152948191349912e-01,9.702737824579622528e-01
1.556999999999999940e+00,5.601543404903268630e-01,9.714646680557660341e-01
1.558000000000000052e+00,5.588724550917976153e-01,9.726514291156077574e-01
1.558999999999999719e+00,5.575722897056870631e-01,9.738304151945641474e-01
1.560000000000000053e+00,5.562575852087419115e-01,9.749971998896559411e-01
1.560999999999999943e+00,5.549385826887411888e-01,9.761420538377603151e-01
1.562000000000000055e+00,5.536204368913032470e-01,9.772603101714465446e-01
1.562999999999999945e+00,5.523198493779966078e-01,9.783382514794743967e-01
1.564000000000000057e+00,5.510550291196368855e-01,9.793622507620829420e-01
1.564999999999999947e+00,5.498456345215251284e-01,9.803188994020478608e-01
