lambda_um,eta_TE,eta_TM,delta_eta,V_TE,V_TM,delta_phi_TE,delta_phi_TM,delta_delta_phi
1.530000000000000027e+00,4.718083419111769872e-01,6.197267615486089509e-01,1.479184196374319638e-01,9.936619923365249685e-01,8.915427417137354871e-01,-2.750205071028941628e+00,-2.171553898755080869e+00,5.786511722738607588e-01
1.530999999999999917e+00,4.716570646457231009e-01,6.199214614257502198e-01,1.482643967800271190e-01,9.935940084195026278e-01,8.912089115688621721e-01,-2.750205071028941628e+00,-2.171553898755080869e+00,5.786511722738607588e-01
1.532000000000000028e+00,4.715101783737613017e-01,6.200980554500271635e-01,1.485878770762658618e-01,9.935276541438359255e-01,8.909057585157265091e-01,-2.750205071028941628e+00,-2.171553898755080869e+00,5.786511722738607588e-01
1.532999999999999918e+00,4.713681446692485899e-01,6.202565012072507322e-01,1.488883565380021423e-01,9.934631700145873934e-01,8.906334631846198890e-01,-2.750205071028941628e+00,-2.171553898755080869e+00,5.786511722738607588e-01
1.534000000000000030e+00,4.712302845867464285e-01,6.203957951257306203e-01,1.491655105389841918e-01,9.934002780679584976e-01,8.903938494006881088e-01,-2.750205071028941628e+00,-2.171553898755080869e+00,5.786511722738607588e-01
1.534999999999999920e+00,4.710969379133944090e-01,6.205158968074235837e-01,1.494189588940291746e-01,9.933391615275648512e-01,8.901870762968301376e-01,-2.750205071028941628e+00,-2.171553898755080869e+00,5.786511722738607588e-01
1.536000000000000032e+00,4.709678804715786704e-01,6.206161011735960020e-01,1.496482207020173316e-01,9.932797453274775368e-01,8.900144363090870536e-01,-2.750205071028941628e+00,-2.171553898755080869e+00,5.786511722738607588e-01
1.536999999999999700e+00,4.708432676115469895e-01,6.206960654963850077e-01,1.498527978848380182e-01,9.932221275368028346e-01,8.898765871743239408e-01,-2.750205071028941628e+00,-2.171553898755080869e+00,5.786511722738607588e-01
1.538000000000000034e+00,4.707228199707733651e-01,6.207552635620142700e-01,1.500324435912409049e-01,9.931662042777021915e-01,8.897744907484342880e-01,-2.750205071028941628e+00,-2.171553898755080869e+00,5.786511722738607588e-01
1.538999999999999924e+00,4.706066920491174255e-01,6.207931996235750427e-01,1.501865075744576172e-01,9.931120713415386714e-01,8.897090434929019187e-01,-2.750205071028941628e+00,-2.171553898755080869e+00,5.786511722738607588e-01
1.540000000000000036e+00,4.704946423128276711e-01,6.208094031393881496e-01,1.503147608265604784e-01,9.930596391145460888e-01,8.896810843200642083e-01,-2.750205071028941628e+00,-2.171553898755080869e+00,5.786511722738607588e-01
1.540999999999999925e+00,4.703865853682869802e-01,6.208033652907163358e-01,1.504167799224293556e-01,9.930088889311875500e-01,8.896915029719483226e-01,-2.750205071028941628e+00,-2.171553898755080869e+00,5.786511722738607588e-01
1.542000000000000259e+00,4.702826923113821445e-01,6.207745949665293139e-01,1.504919026551471695e-01,9.929599218793547788e-01,8.897411422309521312e-01,-2.750205071028941628e+00,-2.171553898755080869e+00,5.786511722738607588e-01
1.542999999999999927e+00,4.701826833895244029e-01,6.207225242332579107e-01,1.505398408437335078e-01,9.929126257955250834e-01,8.898309597224343115e-01,-2.750205071028941628e+00,-2.171553898755080869e+00,5.786511722738607588e-01
1.544000000000000039e+00,4.700865131171931832e-01,6.206466724333082885e-01,1.505601593161151053e-01,9.928669973396320181e-01,8.899617434478950262e-01,-2.750205071028941628e+00,-2.171553898755080869e+00,5.786511722738607588e-01
1.544999999999999929e+00,4.699943156219707485e-01,6.205466418477556534e-01,1.505523262257849049e-01,9.928231178079345298e-01,8.901341182207039848e-01,-2.750205071028941628e+00,-2.171553898755080869e+00,5.786511722738607588e-01
1.546000000000000041e+00,4.699057161825791473e-01,6.204217677009780108e-01,1.505160515183988634e-01,9.927808252940950595e-01,8.903491473458463590e-01,-2.750205071028941628e+00,-2.171553898755080869e+00,5.786511722738607588e-01
1.546999999999999931e+00,4.698209064900280563e-01,6.202715752815377570e-01,1.504506687915097007e-01,9.927402266774946193e-01,8.906075431753922578e-01,-2.750205071028941628e+00,-2.171553898755080869e+00,5.786511722738607588e-01
1.548000000000000043e+00,4.697396508368180124e-01,6.200955860071448722e-01,1.503559351703268598e-01,9.927012237767434133e-01,8.909100001305731986e-01,-2.750205071028941628e+00,-2.171553898755080869e+00,5.786511722738607588e-01
1.548999999999999932e+00,4.696619180110109260e-01,6.198931869823833818e-01,1.502312689713724558e-01,9.926638151251453435e-01,8.912574169494534848e-01,-2.750205071028941628e+00,-2.171553898755080869e+00,5.786511722738607588e-01
1.550000000000000044e+00,4.695876904673080832e-01,6.196639832777933732e-01,1.500762928104852900e-01,9.926280051161190388e-01,8.916502900536961151e-01,-2.750205071028941628e+00,-2.171553898755080869e+00,5.786511722738607588e-01
1.550999999999999934e+00,4.695168245083155556e-01,6.194072960487805313e-01,1.498904715404649757e-01,9.925937364067163315e-01,8.920895728615050313e-01,-2.750205071028941628e+00,-2.171553898755080869e+00,5.786511722738607588e-01
1.552000000000000046e+00,4.694492302039938170e-01,6.191227185209295936e-01,1.496734883169357766e-01,9.925609765552674268e-01,8.925757209578025764e-01,-2.750205071028941628e+00,-2.171553898755080869e+00,5.786511722738607588e-01
1.552999999999999936e+00,4.693849711306198325e-01,6.188096444788394601e-01,1.494246733482196277e-01,9.925297668588713984e-01,8.931094976089199999e-01,-2.750205071028941628e+00,-2.171553898755080869e+00,5.786511722738607588e-01
1.554000000000000048e+00,4.693236679877549333e-01,6.184675165276023456e-01,1.491438485398474123e-01,9.924999326082405426e-01,8.936915464979191537e-01,-2.750205071028941628e+00,-2.171553898755080869e+00,5.786511722738607588e-01
1.554999999999999716e+00,4.692655216280878228e-01,6.180959644996169011e-01,1.488304428715290784e-01,9.924715803402456293e-01,8.943221558587912678e-01,-2.750205071028941628e+00,-2.171553898755080869e+00,5.786511722738607588e-01
1.556000000000000050e+00,4.692103822811558578e-01,6.176941959924437953e-01,1.484838137112879375e-01,9.924446454471858026e-01,8.950022908882305783e-01,-2.750205071028941628e+00,-2.171553898755080869e+00,5.786511722738607588e-01
1.556999999999999940e+00,4.691581206857826647e-01,6.172619624045350140e-01,1.481038417187523493e-01,9.924190724087922355e-01,8.957319533599003014e-01,-2.750205071028941628e+00,-2.171553898755080869e+00,5.786511722738607588e-01
1.558000000000000052e+00,4.691087763971493740e-01,6.167987653888181709e-01,1.476899889916687969e-01,9.923948876865603674e-01,8.965115262290378473e-01,-2.750205071028941628e+00,-2.171553898755080869e+00,5.786511722738607588e-01
1.558999999999999719e+00,4.690620164435649886e-01,6.163038228797815821e-01,1.472418064362165935e-01,9.923719344687047528e-01,8.973418221670812489e-01,-2.750205071028941628e+00,-2.171553898755080869e+00,5.786511722738607588e-01
1.560000000000000053e+00,4.690181630527958667e-01,6.157770333779616356e-01,1.467588703251657689e-01,9.923503769389101503e-01,8.982224635980464722e-01,-2.750205071028941628e+00,-2.171553898755080869e+00,5.786511722738607588e-01
1.560999999999999943e+00,4.689768102777501224e-01,6.152176937682285462e-01,1.462408834904784238e-01,9.923300211214066691e-01,8.991540324000775186e-01,-2.750205071028941628e+00,-2.171553898755080869e+00,5.786511722738607588e-01
1.562000000000000055e+00,4.689382542848351543e-01,6.146256103300354878e-01,1.456873560452003336e-01,9.923110179302463418e-01,9.001362092397049430e-01,-2.750205071028941628e+00,-2.171553898755080869e+00,5.786511722738607588e-01
1.562999999999999945e+00,4.689017418747021271e-01,6.139998799060966128e-01,1.450981380313944857e-01,9.922930005404142495e-01,9.011697974747989726e-01,-2.750205071028941628e+00,-2.171553898755080869e+00,5.786511722738607588e-01
1.564000000000000057e+00,4.688678660403225451e-01,6.133406005566542918e-01,1.444727345163317467e-01,9.922762655563103218e-01,9.022538881992071547e-01,-2.750205071028941628e+00,-2.171553898755080869e+00,5.786511722738607588e-01
1.564999999999999947e+00,4.688359330396056901e-01,6.126469492101149772e-01,1.438110161705092871e-01,9.922604739259907047e-01,9.033890343640270659e-01,-2.750205071028941628e+00,-2.171553898755080869e+00,5.786511722738607588e-01
