lambda_um,eta,V,delta_phi
1.530000000000000027e+00,4.726888806044931002e-01,9.940505727045746420e-01,-2.489755734828672296e+00
1.530999999999999917e+00,4.722664080980647494e-01,9.938656560164490505e-01,-2.489755734828672296e+00
1.532000000000000028e+00,4.718475416850428372e-01,9.936795500926964841e-01,-2.489755734828672296e+00
1.532999999999999918e+00,4.714320184918771028e-01,9.934922082654258357e-01,-2.489755734828672296e+00
1.534000000000000030e+00,4.710202046483087934e-01,9.933038661083553045e-01,-2.489755734828672296e+00
1.534999999999999920e+00,4.706117124297817811e-01,9.931144159588315423e-01,-2.489755734828672296e+00
1.536000000000000032e+00,4.702063843893298234e-01,9.929238486036723321e-01,-2.489755734828672296e+00
1.536999999999999700e+00,4.698042746339795572e-01,9.927322517601304686e-01,-2.489755734828672296e+00
1.538000000000000034e+00,4.694050162638221946e-01,9.925395094207067892e-01,-2.489755734828672296e+00
1.538999999999999924e+00,4.690089092502383594e-01,9.923458240958696885e-01,-2.489755734828672296e+00
1.540000000000000036e+00,4.686155758723497544e-01,9.921510676083493685e-01,-2.489755734828672296e+00
1.540999999999999925e+00,4.682248051001616229e-01,9.919551861166494566e-01,-2.489755734828672296e+00
1.542000000000000259e+00,4.678367407393059230e-01,9.917583013627447874e-01,-2.489755734828672296e+00
1.542999999999999927e+00,4.674511776784465167e-01,9.915603580228182778e-01,-2.489755734828672296e+00
1.544000000000000039e+00,4.670679566259614002e-01,9.913613194231790660e-01,-2.489755734828672296e+00
1.544999999999999929e+00,4.666871666234372329e-01,9.911612759738983591e-01,-2.489755734828672296e+00
1.546000000000000041e+00,4.663085907539926134e-01,9.909601564496143267e-01,-2.489755734828672296e+00
1.546999999999999931e+00,4.659319858960084826e-01,9.907578700777462943e-01,-2.489755734828672296e+00
1.548000000000000043e+00,4.655575401794592727e-01,9.905545555741371855e-01,-2.489755734828672296e+00
1.548999999999999932e+00,4.651848844267189587e-01,9.903500483482563510e-01,-2.489755734828672296e+00
1.550000000000000044e+00,4.648143182024272457e-01,9.901445478401378342e-01,-2.489755734828672296e+00
1.550999999999999934e+00,4.644453199555643730e-01,9.899377977546347518e-01,-2.489755734828672296e+00
1.552000000000000046e+00,4.640780623851410991e-01,9.897299246135939921e-01,-2.489755734828672296e+00
1.552999999999999936e+00,4.637123269092938149e-01,9.895208339164601741e-01,-2.489755734828672296e+00
1.554000000000000048e+00,4.633481623648958436e-01,9.893105812146031353e-01,-2.489755734828672296e+00
1.554999999999999716e+00,4.629853475746962266e-01,9.890990648555251230e-01,-2.489755734828672296e+00
1.556000000000000050e+00,4.626240134252310732e-01,9.888863863099974783e-01,-2.489755734828672296e+00
1.556999999999999940e+00,4.622636758866274787e-01,9.886722827830185523e-01,-2.489755734828672296e+00
1.558000000000000052e+00,4.619046750529689493e-01,9.884569771596896093e-01,-2.489755734828672296e+00
1.558999999999999719e+00,4.615467061023776352e-01,9.882403076570853706e-01,-2.489755734828672296e+00
1.560000000000000053e+00,4.611898188534687693e-01,9.880223232667867395e-01,-2.489755734828672296e+00
1.560999999999999943e+00,4.608338155501413014e-01,9.878029207556897617e-01,-2.489755734828672296e+00
1.562000000000000055e+00,4.604786233869384571e-01,9.875820705286314505e-01,-2.489755734828672296e+00
1.562999999999999945e+00,4.601242778292380931e-01,9.873598095640445660e-01,-2.489755734828672296e+00
1.564000000000000057e+00,4.597706734965188446e-01,9.871360860794362591e-01,-2.489755734828672296e+00
1.564999999999999947e+00,4.594177351658955133e-01,9.869108652898933576e-01,-2.489755734828672296e+00
