lambda_um,eta_TE,eta_TM,delta_eta,V_TE,V_TM,delta_phi_TE,delta_phi_TM,delta_delta_phi
1.550000000000000044e+00,3.842753606529004662e-01,5.399843014380832917e-01,1.557089407851828256e-01,8.983098774295710243e-01,9.872913168501790127e-01,-1.651872324485825327e+00,1.534310832455608065e+00,3.186183156941433392e+00
1.550999999999999934e+00,3.857218752395517036e-01,5.409123285964224648e-01,1.551904533568707611e-01,9.007107494296834327e-01,9.866985080904694394e-01,-1.651872324485825327e+00,1.534310832455608065e+00,3.186183156941433392e+00
1.552000000000000046e+00,3.871861699437799120e-01,5.418850955450968954e-01,1.546989256013169833e-01,9.031164503273769739e-01,9.860629129103560819e-01,-1.651872324485825327e+00,1.534310832455608065e+00,3.186183156941433392e+00
1.552999999999999936e+00,3.886663093813430558e-01,5.430280628849548652e-01,1.543617535036118094e-01,9.055227297781375251e-01,9.852975676031464625e-01,-1.651872324485825327e+00,1.534310832455608065e+00,3.186183156941433392e+00
1.554000000000000048e+00,3.901599535989121459e-01,5.444672463225662673e-01,1.543072927236541214e-01,9.079248022202809354e-01,9.843054456647877259e-01,-1.651872324485825327e+00,1.534310832455608065e+00,3.186183156941433392e+00
1.554999999999999716e+00,3.916659197304971918e-01,5.463402480098609182e-01,1.546743282793637264e-01,9.103198588742952291e-01,9.829669595853008923e-01,-1.651872324485825327e+00,1.534310832455608065e+00,3.186183156941433392e+00
1.556000000000000050e+00,3.931816420189795380e-01,5.487704353358692222e-01,1.555887933168896842e-01,9.127029987522522481e-01,9.811508916878417530e-01,-1.651872324485825327e+00,1.534310832455608065e+00,3.186183156941433392e+00
1.556999999999999940e+00,3.947059333847320328e-01,5.518768710531949395e-01,1.571709376684629067e-01,9.150716256348965238e-01,9.786996171894583041e-01,-1.651872324485825327e+00,1.534310832455608065e+00,3.186183156941433392e+00
1.558000000000000052e+00,3.962367162746584515e-01,5.557543141386861452e-01,1.595175978640276937e-01,9.174218630367744209e-01,9.754370713723323760e-01,-1.651872324485825327e+00,1.534310832455608065e+00,3.186183156941433392e+00
1.558999999999999719e+00,3.977721751249100324e-01,5.604679165629389281e-01,1.626957414380288958e-01,9.197503783020006818e-01,9.711706908930667348e-01,-1.651872324485825327e+00,1.534310832455608065e+00,3.186183156941433392e+00
1.560000000000000053e+00,3.993107249315096530e-01,5.660382824666996271e-01,1.667275575351899741e-01,9.220543154145542930e-01,9.657097289880468560e-01,-1.651872324485825327e+00,1.534310832455608065e+00,3.186183156941433392e+00
1.560999999999999943e+00,4.008507025102315824e-01,5.724338878065015068e-01,1.715831852962699244e-01,9.243308230161396688e-01,9.588894292586613854e-01,-1.651872324485825327e+00,1.534310832455608065e+00,3.186183156941433392e+00
1.562000000000000055e+00,4.023910327368916962e-01,5.795598968663168149e-01,1.771688641294251187e-01,9.265780304201592932e-01,9.506122366368502385e-01,-1.651872324485825327e+00,1.534310832455608065e+00,3.186183156941433392e+00
1.562999999999999945e+00,4.039291246986816408e-01,5.872466053995353263e-01,1.833174807008536855e-01,9.287919850555670376e-01,9.409035989344795015e-01,-1.651872324485825327e+00,1.534310832455608065e+00,3.186183156941433392e+00
1.564000000000000057e+00,4.054640568105938314e-01,5.952609397497594657e-01,1.897968829391656342e-01,9.309712940450100005e-01,9.299456989741897717e-01,-1.651872324485825327e+00,1.534310832455608065e+00,3.186183156941433392e+00
1.564999999999999947e+00,4.069945119241432652e-01,6.033117063535540225e-01,1.963171944294107574e-01,9.331140915043036888e-01,9.181096927479610592e-01,-1.651872324485825327e+00,1.534310832455608065e+00,3.186183156941433392e+00
