lambda_um,eta,V,delta_phi
1.530000000000000027e+00,5.319918186637325741e-01,9.918455717700931373e-01,-6.089516965967172180e-01
1.530999999999999917e+00,5.315210111380945790e-01,9.920828718698500026e-01,-6.089516965967172180e-01
1.532000000000000028e+00,5.310399028893760809e-01,9.923217865134494886e-01,-6.089516965967172180e-01
1.532999999999999918e+00,5.305482726515381442e-01,9.925621880780161055e-01,-6.089516965967172180e-01
1.534000000000000030e+00,5.300463247303847103e-01,9.928037335900424809e-01,-6.089516965967172180e-01
1.534999999999999920e+00,5.295339453348083536e-01,9.930462303950670089e-01,-6.089516965967172180e-01
1.536000000000000032e+00,5.290111556877462595e-01,9.932894145458963653e-01,-6.089516965967172180e-01
1.536999999999999700e+00,5.284781800455583545e-01,9.935329254544865707e-01,-6.089516965967172180e-01
1.538000000000000034e+00,5.279344781233982209e-01,9.937767443542577794e-01,-6.089516965967172180e-01
1.538999999999999924e+00,5.273806759447189352e-01,9.940203205749915671e-01,-6.089516965967172180e-01
1.540000000000000036e+00,5.268165083956813932e-01,9.942635000645907439e-01,-6.089516965967172180e-01
1.540999999999999925e+00,5.262420967324549226e-01,9.945059527234599850e-01,-6.089516965967172180e-01
1.542000000000000259e+00,5.256574889404672657e-01,9.947473774374741007e-01,-6.089516965967172180e-01
1.542999999999999927e+00,5.250628427973195178e-01,9.949874258028476026e-01,-6.089516965967172180e-01
1.544000000000000039e+00,5.244579991469582314e-01,9.952258736315110488e-01,-6.089516965967172180e-01
1.544999999999999929e+00,5.238433525240666633e-01,9.954622752085767745e-01,-6.089516965967172180e-01
1.546000000000000041e+00,5.232188545070545205e-01,9.956963589962433137e-01,-6.089516965967172180e-01
1.546999999999999931e+00,5.225844911286453565e-01,9.959278342667099437e-01,-6.089516965967172180e-01
1.548000000000000043e+00,5.219406307371732279e-01,9.961562711330331776e-01,-6.089516965967172180e-01
1.548999999999999932e+00,5.212870517029252193e-01,9.963814502562042819e-01,-6.089516965967172180e-01
1.550000000000000044e+00,5.206242294878855592e-01,9.966029091946921881e-01,-6.089516965967172180e-01
1.550999999999999934e+00,5.199520788738759558e-01,9.968203794316419231e-01,-6.089516965967172180e-01
1.552000000000000046e+00,5.192708762249327314e-01,9.970334733127415028e-01,-6.089516965967172180e-01
1.552999999999999936e+00,5.185805497131835695e-01,9.972419141500840079e-01,-6.089516965967172180e-01
1.554000000000000048e+00,5.178815394915513570e-01,9.974452718550206320e-01,-6.089516965967172180e-01
1.554999999999999716e+00,5.171737338366556580e-01,9.976432832619821500e-01,-6.089516965967172180e-01
1.556000000000000050e+00,5.164574548169380552e-01,9.978355623804223695e-01,-6.089516965967172180e-01
1.556999999999999940e+00,5.157327774950722921e-01,9.980217962805395526e-01,-6.089516965967172180e-01
1.558000000000000052e+00,5.150000752380826663e-01,9.982016005185850860e-01,-6.089516965967172180e-01
1.558999999999999719e+00,5.142592715054199459e-01,9.983747072715111193e-01,-6.089516965967172180e-01
1.560000000000000053e+00,5.135107267981622314e-01,9.985407475773065977e-01,-6.089516965967172180e-01
1.560999999999999943e+00,5.127545371401049934e-01,9.986994205625128185e-01,-6.089516965967172180e-01
1.562000000000000055e+00,5.119908952600858987e-01,9.988504086071104959e-01,-6.089516965967172180e-01
1.562999999999999945e+00,5.112200708724221609e-01,9.989933869669628264e-01,-6.089516965967172180e-01
1.564000000000000057e+00,5.104422761397096053e-01,9.991280512652812584e-01,-6.089516965967172180e-01
1.564999999999999947e+00,5.096577609579043822e-01,9.992540995137949578e-01,-6.089516965967172180e-01
