lambda_um,eta_TE,eta_TM,delta_eta,V_TE,V_TM,delta_phi_TE,delta_phi_TM,delta_delta_phi
1.530000000000000027e+00,5.032656939924987638e-01,5.223079820908388404e-01,1.904228809834007663e-02,9.999146855814091683e-01,9.960267405879246194e-01,-7.649082666998925362e-01,-1.208987580483324553e+00,4.440793137834320170e-01
1.530999999999999917e+00,5.030137739030452471e-01,5.229319022433828179e-01,1.991812834033757085e-02,9.999273399747262703e-01,9.958018536288728573e-01,-7.649082666998925362e-01,-1.208987580483324553e+00,4.440793137834320170e-01
1.532000000000000028e+00,5.027467292258465115e-01,5.234924727585185122e-01,2.074574353267200078e-02,9.999396456498577113e-01,9.955945551838801810e-01,-7.649082666998925362e-01,-1.208987580483324553e+00,4.440793137834320170e-01
1.532999999999999918e+00,5.024645642875699147e-01,5.239925547305865905e-01,2.152799044301667575e-02,9.999514085635720084e-01,9.954054378443352169e-01,-7.649082666998925362e-01,-1.208987580483324553e+00,4.440793137834320170e-01
1.534000000000000030e+00,5.021673932153152276e-01,5.244356978824518123e-01,2.226830466713658474e-02,9.999624199593446505e-01,9.952345552038264209e-01,-7.649082666998925362e-01,-1.208987580483324553e+00,4.440793137834320170e-01
1.534999999999999920e+00,5.018553919611137282e-01,5.248249486855237622e-01,2.296955672441003404e-02,9.999724605445809988e-01,9.950818990532692698e-01,-7.649082666998925362e-01,-1.208987580483324553e+00,4.440793137834320170e-01
1.536000000000000032e+00,5.015287199688631681e-01,5.251640049845536229e-01,2.363528501569045481e-02,9.999813042968206389e-01,9.949469816586481441e-01,-7.649082666998925362e-01,-1.208987580483324553e+00,4.440793137834320170e-01
1.536999999999999700e+00,5.011874896352257469e-01,5.254553926427915078e-01,2.426790300756576091e-02,9.999887190105605228e-01,9.948295851231949705e-01,-7.649082666998925362e-01,-1.208987580483324553e+00,4.440793137834320170e-01
1.538000000000000034e+00,5.008316996924125908e-01,5.257035734846053909e-01,2.487187379219280015e-02,9.999944662202846501e-01,9.947285413371552698e-01,-7.649082666998925362e-01,-1.208987580483324553e+00,4.440793137834320170e-01
1.538999999999999924e+00,5.004617919294372941e-01,5.259110690956532164e-01,2.544927716621592229e-02,9.999982939871664422e-01,9.946433175394731041e-01,-7.649082666998925362e-01,-1.208987580483324553e+00,4.440793137834320170e-01
1.540000000000000036e+00,5.000778744769703854e-01,5.260819524243643963e-01,2.600407794739401091e-02,9.999999514845278048e-01,9.945726223524752330e-01,-7.649082666998925362e-01,-1.208987580483324553e+00,4.440793137834320170e-01
1.540999999999999925e+00,4.996800057264142447e-01,5.262210947406713579e-01,2.654108901425711320e-02,9.999991808296544438e-01,9.945147190525210901e-01,-7.649082666998925362e-01,-1.208987580483324553e+00,4.440793137834320170e-01
1.542000000000000259e+00,4.992683707068588661e-01,5.263338874856507976e-01,2.706551677879193152e-02,9.999957177577880607e-01,9.944675573714366612e-01,-7.649082666998925362e-01,-1.208987580483324553e+00,4.440793137834320170e-01
1.542999999999999927e+00,4.988432497345649530e-01,5.264269796216975994e-01,2.758372988713264640e-02,9.999892954878809581e-01,9.944284822479106944e-01,-7.649082666998925362e-01,-1.208987580483324553e+00,4.440793137834320170e-01
1.544000000000000039e+00,4.984047257853346791e-01,5.265082977619449656e-01,2.810357197661028650e-02,9.999796410086864151e-01,9.943942376473446920e-01,-7.649082666998925362e-01,-1.208987580483324553e+00,4.440793137834320170e-01
1.544999999999999929e+00,4.979531569827441162e-01,5.265867397233870983e-01,2.863358274064298215e-02,9.999664840309711034e-01,9.943611056835054418e-01,-7.649082666998925362e-01,-1.208987580483324553e+00,4.440793137834320170e-01
1.546000000000000041e+00,4.974884468515095026e-01,5.266705688189736723e-01,2.918212196746416964e-02,9.999495380794933830e-01,9.943255913352402331e-01,-7.649082666998925362e-01,-1.208987580483324553e+00,4.440793137834320170e-01
1.546999999999999931e+00,4.970115199228326008e-01,5.267701098133807935e-01,2.975858989054819270e-02,9.999285544469518339e-01,9.942832770660190445e-01,-7.649082666998925362e-01,-1.208987580483324553e+00,4.440793137834320170e-01
1.548000000000000043e+00,4.965215944954842753e-01,5.268923516909701510e-01,3.037075719548587571e-02,9.999032102455241988e-01,9.942310996065121254e-01,-7.649082666998925362e-01,-1.208987580483324553e+00,4.440793137834320170e-01
1.548999999999999932e+00,4.960196104991894117e-01,5.270453328811350868e-01,3.102572238194567511e-02,9.998732600273940729e-01,9.941654704221429828e-01,-7.649082666998925362e-01,-1.208987580483324553e+00,4.440793137834320170e-01
1.550000000000000044e+00,4.955055853027554580e-01,5.272330250628795012e-01,3.172743976012404321e-02,9.998384149481529537e-01,9.940844475531536162e-01,-7.649082666998925362e-01,-1.208987580483324553e+00,4.440793137834320170e-01
1.550999999999999934e+00,4.949797445825671049e-01,5.274590113628567778e-01,3.247926678028967284e-02,9.997983966083624496e-01,9.939861592387033706e-01,-7.649082666998925362e-01,-1.208987580483324553e+00,4.440793137834320170e-01
1.552000000000000046e+00,4.944424062418374954e-01,5.277226912538164338e-01,3.328028501197893840e-02,9.997529357370997793e-01,9.938704624828100798e-01,-7.649082666998925362e-01,-1.208987580483324553e+00,4.440793137834320170e-01
1.552999999999999936e+00,4.938937148153944023e-01,5.280220282268500709e-01,3.412831341145566855e-02,9.997017507329001296e-01,9.937377966540095198e-01,-7.649082666998925362e-01,-1.208987580483324553e+00,4.440793137834320170e-01
1.554000000000000048e+00,4.933339725791837660e-01,5.283526918905092629e-01,3.501871931132549687e-02,9.996445758018066563e-01,9.935896115082143432e-01,-7.649082666998925362e-01,-1.208987580483324553e+00,4.440793137834320170e-01
1.554999999999999716e+00,4.927635374805680590e-01,5.287092419307241054e-01,3.594570445015604632e-02,9.995811566149027660e-01,9.934279028527910338e-01,-7.649082666998925362e-01,-1.208987580483324553e+00,4.440793137834320170e-01
1.556000000000000050e+00,4.921823434486616300e-01,5.290835005189024054e-01,3.690115707024077540e-02,9.995111934634826056e-01,9.932560175707527694e-01,-7.649082666998925362e-01,-1.208987580483324553e+00,4.440793137834320170e-01
1.556999999999999940e+00,4.915909987609722309e-01,5.294695801810788138e-01,3.787858142010658291e-02,9.994344695428757364e-01,9.930764021164237842e-01,-7.649082666998925362e-01,-1.208987580483324553e+00,4.440793137834320170e-01
1.558000000000000052e+00,4.909898331738587474e-01,5.298582645077127840e-01,3.886843133385403659e-02,9.993507459839517937e-01,9.928932155716515551e-01,-7.649082666998925362e-01,-1.208987580483324553e+00,4.440793137834320170e-01
1.558999999999999719e+00,4.903786133736218189e-01,5.302432851215288512e-01,3.986467174790703227e-02,9.992597054745427920e-01,9.927094231285801262e-01,-7.649082666998925362e-01,-1.208987580483324553e+00,4.440793137834320170e-01
1.560000000000000053e+00,4.897581922842992319e-01,5.306181536752017092e-01,4.085996139090247725e-02,9.991611949422855021e-01,9.925282475391752346e-01,-7.649082666998925362e-01,-1.208987580483324553e+00,4.440793137834320170e-01
1.560999999999999943e+00,4.891285642738603667e-01,5.309771245658900796e-01,4.184856029202971284e-02,9.990549418605785270e-01,9.923526949018537380e-01,-7.649082666998925362e-01,-1.208987580483324553e+00,4.440793137834320170e-01
1.562000000000000055e+00,4.884898837258939697e-01,5.313157882923076336e-01,4.282590456641366394e-02,9.989406991433276151e-01,9.921852263540511530e-01,-7.649082666998925362e-01,-1.208987580483324553e+00,4.440793137834320170e-01
1.562999999999999945e+00,4.878429874188399129e-01,5.316312205549023062e-01,4.378823313606239331e-02,9.988183549160866148e-01,9.920276335879089080e-01,-7.649082666998925362e-01,-1.208987580483324553e+00,4.440793137834320170e-01
1.564000000000000057e+00,4.871875114921213057e-01,5.319229572533226147e-01,4.473544576120130900e-02,9.986875828907287866e-01,9.918804959424990519e-01,-7.649082666998925362e-01,-1.208987580483324553e+00,4.440793137834320170e-01
1.564999999999999947e+00,4.865239230873247278e-01,5.321901389415977235e-01,4.566621585427299568e-02,9.985482174102195962e-01,9.917445768836946618e-01,-7.649082666998925362e-01,-1.208987580483324553e+00,4.440793137834320170e-01
