lambda_um,eta,V
1.530000000000000027e+00,5.732689636894932050e-01,9.579560957457241566e-01
1.530999999999999917e+00,5.751785206247261861e-01,9.557850972059753758e-01
1.532000000000000028e+00,5.770715939649615489e-01,9.535826374447126108e-01
1.532999999999999918e+00,5.789261602850258592e-01,9.513768500745274359e-01
1.534000000000000030e+00,5.807269947068600668e-01,9.491897102784196960e-01
1.534999999999999920e+00,5.824474462087640969e-01,9.470588363827288081e-01
1.536000000000000032e+00,5.840837189035247290e-01,9.449949833867108406e-01
1.536999999999999700e+00,5.856240859593205839e-01,9.430191441819568698e-01
1.538000000000000034e+00,5.870696611759106398e-01,9.411360139771195454e-01
1.538999999999999924e+00,5.884252347205474187e-01,9.393448778866437809e-01
1.540000000000000036e+00,5.896961173071337825e-01,9.376435800531117692e-01
1.540999999999999925e+00,5.908966975625058460e-01,9.360168904333477924e-01
1.542000000000000259e+00,5.920453318596518022e-01,9.344429425989819737e-01
1.542999999999999927e+00,5.931614016792787769e-01,9.328971799497567385e-01
1.544000000000000039e+00,5.942657763139402860e-01,9.313517507447010013e-01
1.544999999999999929e+00,5.953827263419843030e-01,9.297727559234547634e-01
1.546000000000000041e+00,5.965370315592419814e-01,9.281241702893582302e-01
1.546999999999999931e+00,5.977481237959194615e-01,9.263762446705338105e-01
1.548000000000000043e+00,5.990377215241814435e-01,9.244946073239792561e-01
1.548999999999999932e+00,6.004130337664030925e-01,9.224648594351370079e-01
1.550000000000000044e+00,6.018842058717416288e-01,9.202674875011987998e-01
1.550999999999999934e+00,6.034518330749947257e-01,9.178965240038904350e-01
1.552000000000000046e+00,6.051090181930947054e-01,9.153572546337201965e-01
1.552999999999999936e+00,6.068360533983359062e-01,9.126753362497926902e-01
1.554000000000000048e+00,6.086115255573911753e-01,9.098806505869463379e-01
1.554999999999999716e+00,6.104058248318545710e-01,9.070180258170096321e-01
1.556000000000000050e+00,6.121810014776902786e-01,9.041483911059816636e-01
1.556999999999999940e+00,6.139013565099947778e-01,9.013321260374816957e-01
1.558000000000000052e+00,6.155232810415318667e-01,8.986455287637626910e-01
1.558999999999999719e+00,6.170113406204839057e-01,8.961540599807352736e-01
1.560000000000000053e+00,6.183311117778191868e-01,8.939232380956984025e-01
1.560999999999999943e+00,6.194548279451822514e-01,8.920082847276573634e-01
1.562000000000000055e+00,6.203632743846135833e-01,8.904498110536006594e-01
1.562999999999999945e+00,6.210419456618632150e-01,8.892795102901246418e-01
1.564000000000000057e+00,6.214861236119465504e-01,8.885107964732984476e-01
1.564999999999999947e+00,6.217028637768473587e-01,8.881349021286887302e-01
