lambda_um,eta,V,delta_phi
1.530000000000000027e+00,4.842199970855390889e-01,9.980099142571557946e-01,-1.923266947199887333e+00
1.530999999999999917e+00,4.846689820855183406e-01,9.981214452604992848e-01,-1.923266947199887333e+00
1.532000000000000028e+00,4.851227104173919669e-01,9.982308962868046143e-01,-1.923266947199887333e+00
1.532999999999999918e+00,4.855805251311242632e-01,9.983380122064016149e-01,-1.923266947199887333e+00
1.534000000000000030e+00,4.860431432175510991e-01,9.984428624732966107e-01,-1.923266947199887333e+00
1.534999999999999920e+00,4.865096736212538575e-01,9.985451478213834831e-01,-1.923266947199887333e+00
1.536000000000000032e+00,4.869803152489561304e-01,9.986448213490767278e-01,-1.923266947199887333e+00
1.536999999999999700e+00,4.874549538818908623e-01,9.987417666170860242e-01,-1.923266947199887333e+00
1.538000000000000034e+00,4.879333362117788120e-01,9.988358430255709353e-01,-1.923266947199887333e+00
1.538999999999999924e+00,4.884152869461922397e-01,9.989269314348292461e-01,-1.923266947199887333e+00
1.540000000000000036e+00,4.889007005320593624e-01,9.990149298312731574e-01,-1.923266947199887333e+00
1.540999999999999925e+00,4.893895011935663897e-01,9.990997439336096742e-01,-1.923266947199887333e+00
1.542000000000000259e+00,4.898814953911374559e-01,9.991812622188832593e-01,-1.923266947199887333e+00
1.542999999999999927e+00,4.903765355814544424e-01,9.992593858169599441e-01,-1.923266947199887333e+00
1.544000000000000039e+00,4.908744894394874714e-01,9.993340222931021977e-01,-1.923266947199887333e+00
1.544999999999999929e+00,4.913751269322549353e-01,9.994050695403066120e-01,-1.923266947199887333e+00
1.546000000000000041e+00,4.918783751413867700e-01,9.994724528669509667e-01,-1.923266947199887333e+00
1.546999999999999931e+00,4.923841663965401461e-01,9.995361002546462315e-01,-1.923266947199887333e+00
1.548000000000000043e+00,4.928923144167743908e-01,9.995959280987476436e-01,-1.923266947199887333e+00
1.548999999999999932e+00,4.934025196519578049e-01,9.996518466403903069e-01,-1.923266947199887333e+00
1.550000000000000044e+00,4.939149611612832502e-01,9.997038222857658196e-01,-1.923266947199887333e+00
1.550999999999999934e+00,4.944291512173000780e-01,9.997517559670974219e-01,-1.923266947199887333e+00
1.552000000000000046e+00,4.949450101301559601e-01,9.997955975116500360e-01,-1.923266947199887333e+00
1.552999999999999936e+00,4.954626098723970418e-01,9.998353102891067712e-01,-1.923266947199887333e+00
1.554000000000000048e+00,4.959817152066948731e-01,9.998708354408395449e-01,-1.923266947199887333e+00
1.554999999999999716e+00,4.965020768319520217e-01,9.999021210584615460e-01,-1.923266947199887333e+00
1.556000000000000050e+00,4.970235437080689489e-01,9.999291281750346538e-01,-1.923266947199887333e+00
1.556999999999999940e+00,4.975462135854255008e-01,9.999518326179294148e-01,-1.923266947199887333e+00
1.558000000000000052e+00,4.980697108223777758e-01,9.999701923137818138e-01,-1.923266947199887333e+00
1.558999999999999719e+00,4.985940511559052157e-01,9.999841865878152936e-01,-1.923266947199887333e+00
1.560000000000000053e+00,4.991188389090368549e-01,9.999937884603458116e-01,-1.923266947199887333e+00
1.560999999999999943e+00,4.996445728540810927e-01,9.999989893728622459e-01,-1.923266947199887333e+00
1.562000000000000055e+00,5.001702176620949070e-01,9.999997682076069427e-01,-1.923266947199887333e+00
1.562999999999999945e+00,5.006966590618633361e-01,9.999961173367496459e-01,-1.923266947199887333e+00
1.564000000000000057e+00,5.012230293282082805e-01,9.999880336656957747e-01,-1.923266947199887333e+00
1.564999999999999947e+00,5.017492994925111249e-01,9.999755199099251701e-01,-1.923266947199887333e+00
