lambda_um,eta_TE,eta_TM,delta_eta,V_TE,V_TM,delta_phi_TE,delta_phi_TM,delta_delta_phi
1.530000000000000027e+00,4.975898504529531197e-01,4.866616082828377210e-01,1.092824217011539867e-02,9.999535305130187179e-01,9.985777106245319334e-01,-2.496187549343506618e+00,-1.927842369453373506e+00,5.683451798901331120e-01
1.530999999999999917e+00,4.978831347247451022e-01,4.872619566047391437e-01,1.062117812000595851e-02,9.999641516938133634e-01,9.987027799397142358e-01,-2.496187549343506618e+00,-1.927842369453373506e+00,5.683451798901331120e-01
1.532000000000000028e+00,4.981723946101684897e-01,4.878636261097770710e-01,1.030876850039141868e-02,9.999732792253172020e-01,9.988223612554176789e-01,-2.496187549343506618e+00,-1.927842369453373506e+00,5.683451798901331120e-01
1.532999999999999918e+00,4.984575419585412503e-01,4.884663527610244582e-01,9.991189197516792131e-03,9.999809667666564872e-01,9.989363658107663912e-01,-2.496187549343506618e+00,-1.927842369453373506e+00,5.683451798901331120e-01
1.534000000000000030e+00,4.987379835118538884e-01,4.890700165299819435e-01,9.667966981871944920e-03,9.999872585962412685e-01,9.990447401694609875e-01,-2.496187549343506618e+00,-1.927842369453373506e+00,5.683451798901331120e-01
1.534999999999999920e+00,4.990139364957911772e-01,4.896746122393282330e-01,9.339324256462944174e-03,9.999922214603783610e-01,9.991474545126188822e-01,-2.496187549343506618e+00,-1.927842369453373506e+00,5.683451798901331120e-01
1.536000000000000032e+00,4.992849865453672931e-01,4.902797612120947113e-01,9.005225333272581789e-03,9.999959100544414392e-01,9.992444212207751697e-01,-2.496187549343506618e+00,-1.927842369453373506e+00,5.683451798901331120e-01
1.536999999999999700e+00,4.995508058113120042e-01,4.908852640426328851e-01,8.665541768679119183e-03,9.999983857979495294e-01,9.993355934987669942e-01,-2.496187549343506618e+00,-1.927842369453373506e+00,5.683451798901331120e-01
1.538000000000000034e+00,4.998113084500971914e-01,4.914912897511515832e-01,8.320018698945608193e-03,9.999997151640322990e-01,9.994209824783988338e-01,-2.496187549343506618e+00,-1.927842369453373506e+00,5.683451798901331120e-01
1.538999999999999924e+00,5.000665446149388238e-01,4.920976044286280993e-01,7.968940186310724538e-03,9.999999645745144550e-01,9.995005419142144465e-01,-2.496187549343506618e+00,-1.927842369453373506e+00,5.683451798901331120e-01
1.540000000000000036e+00,5.003157942700670047e-01,4.927037271646838579e-01,7.612067105383146792e-03,9.999992021921503271e-01,9.995742058913159589e-01,-2.496187549343506618e+00,-1.927842369453373506e+00,5.683451798901331120e-01
1.540999999999999925e+00,5.005590764867767772e-01,4.933098982950024358e-01,7.249178191774341418e-03,9.999974994709818210e-01,9.996420044053095921e-01,-2.496187549343506618e+00,-1.927842369453373506e+00,5.683451798901331120e-01
1.542000000000000259e+00,5.007961300404089044e-01,4.939158531094868243e-01,6.880276930922080147e-03,9.999949294285255252e-01,9.997039090943199424e-01,-2.496187549343506618e+00,-1.927842369453373506e+00,5.683451798901331120e-01
1.542999999999999927e+00,5.010270303174696460e-01,4.945215369729543120e-01,6.505493344515334009e-03,9.999915617054185857e-01,9.997599203654655708e-01,-2.496187549343506618e+00,-1.927842369453373506e+00,5.683451798901331120e-01
1.544000000000000039e+00,5.012512503571149303e-01,4.951267504008944331e-01,6.124499956220497143e-03,9.999874750587881556e-01,9.998100295528580261e-01,-2.496187549343506618e+00,-1.927842369453373506e+00,5.683451798901331120e-01
1.544999999999999929e+00,5.014686327970349078e-01,4.957311381205317113e-01,5.737494676503196445e-03,9.999827450905269810e-01,9.998542251719567675e-01,-2.496187549343506618e+00,-1.927842369453373506e+00,5.683451798901331120e-01
1.546000000000000041e+00,5.016790914755389075e-01,4.963349559782785358e-01,5.344135497260371626e-03,9.999774454688904468e-01,9.998925453921071460e-01,-2.496187549343506618e+00,-1.927842369453373506e+00,5.683451798901331120e-01
1.546999999999999931e+00,5.018824857305641540e-01,4.969380414738612806e-01,4.944444256702873464e-03,9.999716503816499236e-01,9.999249980926221415e-01,-2.496187549343506618e+00,-1.927842369453373506e+00,5.683451798901331120e-01
1.548000000000000043e+00,5.020784354458206478e-01,4.975399636088643218e-01,4.538471836956325944e-03,9.999654414459375751e-01,9.999515869395747547e-01,-2.496187549343506618e+00,-1.927842369453373506e+00,5.683451798901331120e-01
1.548999999999999932e+00,5.022669925802792923e-01,4.981408458979558751e-01,4.126146682323417192e-03,9.999588868022925015e-01,9.999723487504997843e-01,-2.496187549343506618e+00,-1.927842369453373506e+00,5.683451798901331120e-01
1.550000000000000044e+00,5.024480682754360883e-01,4.987407274774199872e-01,3.707340798016101058e-03,9.999520568430511069e-01,9.999873139421795454e-01,-2.496187549343506618e+00,-1.927842369453373506e+00,5.683451798901331120e-01
1.550999999999999934e+00,5.026215187278513241e-01,4.993392693529994930e-01,3.282249374851831103e-03,9.999450226277734055e-01,9.999965074861956182e-01,-2.496187549343506618e+00,-1.927842369453373506e+00,5.683451798901331120e-01
1.552000000000000046e+00,5.027871309481456441e-01,4.999363608923996227e-01,2.850770055746021381e-03,9.999378571395506343e-01,9.999999676005123517e-01,-2.496187549343506618e+00,-1.927842369453373506e+00,5.683451798901331120e-01
1.552999999999999936e+00,5.029448476440733229e-01,5.005322055972813988e-01,2.412642046791924066e-03,9.999306253853276205e-01,9.999977340601851061e-01,-2.496187549343506618e+00,-1.927842369453373506e+00,5.683451798901331120e-01
1.554000000000000048e+00,5.030945707169751646e-01,5.011263230532014834e-01,1.968247663773681211e-03,9.999233919911268975e-01,9.999898512225378067e-01,-2.496187549343506618e+00,-1.927842369453373506e+00,5.683451798901331120e-01
1.554999999999999716e+00,5.032363913181103765e-01,5.017190469847140344e-01,1.517344333396342115e-03,9.999162096804443678e-01,9.999763592991594008e-01,-2.496187549343506618e+00,-1.927842369453373506e+00,5.683451798901331120e-01
1.556000000000000050e+00,5.033700505848655027e-01,5.023098344062633114e-01,1.060216178602191306e-03,9.999091461998376174e-01,9.999573182310111941e-01,-2.496187549343506618e+00,-1.927842369453373506e+00,5.683451798901331120e-01
1.556999999999999940e+00,5.034956043098656187e-01,5.028989677996518193e-01,5.966365102137993759e-04,9.999022507817592054e-01,9.999327701455753559e-01,-2.496187549343506618e+00,-1.927842369453373506e+00,5.683451798901331120e-01
1.558000000000000052e+00,5.036133498217951754e-01,5.034862354208973212e-01,1.271144008978541962e-04,9.998955550791783775e-01,9.999027740273952469e-01,-2.496187549343506618e+00,-1.927842369453373506e+00,5.683451798901331120e-01
1.558999999999999719e+00,5.037231074076672366e-01,5.040716920372563248e-01,3.485846295890882018e-04,9.998891139180502430e-01,9.998673793863266379e-01,-2.496187549343506618e+00,-1.927842369453373506e+00,5.683451798901331120e-01
1.560000000000000053e+00,5.038249455049248482e-01,5.046550526533207792e-01,8.301071483959310271e-04,9.998829651840496213e-01,9.998266589032285268e-01,-2.496187549343506618e+00,-1.927842369453373506e+00,5.683451798901331120e-01
1.560999999999999943e+00,5.039185760959778992e-01,5.052364530397972509e-01,1.317876943819351609e-03,9.998771656356442161e-01,9.997806605340350261e-01,-2.496187549343506618e+00,-1.927842369453373506e+00,5.683451798901331120e-01
