lambda_um,eta,V,delta_phi
1.530000000000000027e+00,4.928807025333887815e-01,9.995946070170499409e-01,-2.443226079399463568e+00
1.530999999999999917e+00,4.930305611823433409e-01,9.996114908648727759e-01,-2.443226079399463568e+00
1.532000000000000028e+00,4.931808469993433919e-01,9.996280624004837412e-01,-2.443226079399463568e+00
1.532999999999999918e+00,4.933313304667436006e-01,9.996442940478655892e-01,-2.443226079399463568e+00
1.534000000000000030e+00,4.934821196016486167e-01,9.996601956242197051e-01,-2.443226079399463568e+00
1.534999999999999920e+00,4.936329545575691147e-01,9.996757384399769242e-01,-2.443226079399463568e+00
1.536000000000000032e+00,4.937838351328695530e-01,9.996909221267058498e-01,-2.443226079399463568e+00
1.536999999999999700e+00,4.939345855418245113e-01,9.997057292836033504e-01,-2.443226079399463568e+00
1.538000000000000034e+00,4.940851977771631987e-01,9.997201600779882513e-01,-2.443226079399463568e+00
1.538999999999999924e+00,4.942355427520691014e-01,9.997342035896552570e-01,-2.443226079399463568e+00
1.540000000000000036e+00,4.943855073839688585e-01,9.997478515747389993e-01,-2.443226079399463568e+00
1.540999999999999925e+00,4.945350561781605148e-01,9.997611036513347482e-01,-2.443226079399463568e+00
1.542000000000000259e+00,4.946840382412286408e-01,9.997739499568333299e-01,-2.443226079399463568e+00
1.542999999999999927e+00,4.948324014387451841e-01,9.997863902178841800e-01,-2.443226079399463568e+00
1.544000000000000039e+00,4.949800199404829071e-01,9.997984187211703677e-01,-2.443226079399463568e+00
1.544999999999999929e+00,4.951268237992213495e-01,9.998100352747416597e-01,-2.443226079399463568e+00
1.546000000000000041e+00,4.952725776375165867e-01,9.998212278036310297e-01,-2.443226079399463568e+00
1.546999999999999931e+00,4.954175350377905129e-01,9.998320222284119430e-01,-2.443226079399463568e+00
1.548000000000000043e+00,4.955612583818844175e-01,9.998423930037425578e-01,-2.443226079399463568e+00
1.548999999999999932e+00,4.957036391765246020e-01,9.998523411717656906e-01,-2.443226079399463568e+00
1.550000000000000044e+00,4.958449789645972272e-01,9.998618959385873195e-01,-2.443226079399463568e+00
1.550999999999999934e+00,4.959847067967065315e-01,9.998710276813984610e-01,-2.443226079399463568e+00
1.552000000000000046e+00,4.961229162532361792e-01,9.998797530030694158e-01,-2.443226079399463568e+00
1.552999999999999936e+00,4.962595654380805854e-01,9.998880794577583719e-01,-2.443226079399463568e+00
1.554000000000000048e+00,4.963945322296079432e-01,9.998960102244712767e-01,-2.443226079399463568e+00
1.554999999999999716e+00,4.965276185109651630e-01,9.999035451863468316e-01,-2.443226079399463568e+00
1.556000000000000050e+00,4.966587827190395710e-01,9.999106941245990976e-01,-2.443226079399463568e+00
1.556999999999999940e+00,4.967880786352846800e-01,9.999174718947597684e-01,-2.443226079399463568e+00
1.558000000000000052e+00,4.969152383656140204e-01,9.999238768627484175e-01,-2.443226079399463568e+00
1.558999999999999719e+00,4.970401361372160931e-01,9.999299161032725314e-01,-2.443226079399463568e+00
1.560000000000000053e+00,4.971625617780374706e-01,9.999355936288494284e-01,-2.443226079399463568e+00
1.560999999999999943e+00,4.972830148467831113e-01,9.999409456771755078e-01,-2.443226079399463568e+00
1.562000000000000055e+00,4.974005353771547844e-01,9.999459437304761833e-01,-2.443226079399463568e+00
1.562999999999999945e+00,4.975159287827225496e-01,9.999506363399155440e-01,-2.443226079399463568e+00
1.564000000000000057e+00,4.976284198664895908e-01,9.999550058736214053e-01,-2.443226079399463568e+00
1.564999999999999947e+00,4.977381250477955765e-01,9.999590722111638685e-01,-2.443226079399463568e+00
