lambda_um,eta,V
1.530000000000000027e+00,4.399109769432653638e-01,9.715257217110057075e-01
1.530999999999999917e+00,4.368564519750891550e-01,9.686038579363174250e-01
1.532000000000000028e+00,4.337852912866610455e-01,9.655294281972618409e-01
1.532999999999999918e+00,4.307012533376187724e-01,9.623055523284138602e-01
1.534000000000000030e+00,4.276043977606111546e-01,9.589319843337914540e-01
1.534999999999999920e+00,4.244956932279791428e-01,9.554096185541933739e-01
1.536000000000000032e+00,4.213767354889078054e-01,9.517403490746936257e-01
1.536999999999999700e+00,4.182503672493318447e-01,9.479279703684769798e-01
1.538000000000000034e+00,4.151141424230392896e-01,9.439700491001757898e-01
1.538999999999999924e+00,4.119735848567689929e-01,9.398743716400119741e-01
1.540000000000000036e+00,4.088268416068085997e-01,9.356396351756011143e-01
1.540999999999999925e+00,4.056779227301858248e-01,9.312725435876717528e-01
1.542000000000000259e+00,4.025268000440136995e-01,9.267746651845415462e-01
1.542999999999999927e+00,3.993756599236822913e-01,9.221509060610749708e-01
1.544000000000000039e+00,3.962243504754507373e-01,9.174029925613504943e-01
1.544999999999999929e+00,3.930774765959968442e-01,9.125401069368870299e-01
1.546000000000000041e+00,3.899349218978687692e-01,9.075645973702717306e-01
1.546999999999999931e+00,3.867970189568515349e-01,9.024795459489061145e-01
1.548000000000000043e+00,3.836667388219884289e-01,8.972925159690849917e-01
1.548999999999999932e+00,3.805453739243859212e-01,8.920086300147406222e-01
1.550000000000000044e+00,3.774350659267027841e-01,8.866346656393275794e-01
1.550999999999999934e+00,3.743371258983622663e-01,8.811761982556818307e-01
1.552000000000000046e+00,3.712522305674366696e-01,8.756378003142811783e-01
1.552999999999999936e+00,3.681823137662930123e-01,8.700264141399486340e-01
1.554000000000000048e+00,3.651293135188228844e-01,8.643491916265644281e-01
1.554999999999999716e+00,3.620958392685638683e-01,8.586147482681216747e-01
1.556000000000000050e+00,3.590811153429645519e-01,8.528253945737384045e-01
1.556999999999999940e+00,3.560882983158356607e-01,8.469909964826893845e-01
1.558000000000000052e+00,3.531188223807751880e-01,8.411182664273786358e-01
1.558999999999999719e+00,3.501733031356598080e-01,8.352123276938449026e-01
1.560000000000000053e+00,3.472547435163354512e-01,8.292831497307607824e-01
1.560999999999999943e+00,3.443632991108531716e-01,8.233350093790878788e-01
1.562000000000000055e+00,3.415011806024686458e-01,8.173763850519711882e-01
1.562999999999999945e+00,3.386706634292353524e-01,8.114159829412136427e-01
1.564000000000000057e+00,3.358719348149696304e-01,8.054581194152762302e-01
1.564999999999999947e+00,3.331065864017566658e-01,7.995100268745393146e-01
