lambda_um,eta_TE,eta_TM,delta_eta,V_TE,V_TM,delta_phi_TE,delta_phi_TM,delta_delta_phi
1.530000000000000027e+00,4.846807407294591030e-01,4.775560458308785172e-01,7.124694898580585800e-03,9.981243230964220725e-01,9.959782548820618198e-01,-2.410191987430512661e+00,-1.914113971528507374e+00,4.960780159020052871e-01
1.530999999999999917e+00,4.849464020109943152e-01,4.780869321754962487e-01,6.859469835498066548e-03,9.981887552912228623e-01,9.961659039321262288e-01,-2.410191987430512661e+00,-1.914113971528507374e+00,4.960780159020052871e-01
1.532000000000000028e+00,4.852116417951788385e-01,4.786216667253220813e-01,6.589975069856757184e-03,9.982519648428065384e-01,9.963504068711106498e-01,-2.410191987430512661e+00,-1.914113971528507374e+00,4.960780159020052871e-01
1.532999999999999918e+00,4.854762923806870134e-01,4.791599690627490471e-01,6.316323317937966308e-03,9.983139179715531109e-01,9.965315703358704758e-01,-2.410191987430512661e+00,-1.914113971528507374e+00,4.960780159020052871e-01
1.534000000000000030e+00,4.857401204538485118e-01,4.797018201525883319e-01,6.038300301260179914e-03,9.983745687704563831e-01,9.967092944537859767e-01,-2.410191987430512661e+00,-1.914113971528507374e+00,4.960780159020052871e-01
1.534999999999999920e+00,4.860030777294649940e-01,4.802469346235694325e-01,5.756143105895561440e-03,9.984339166052236259e-01,9.968833954576933332e-01,-2.410191987430512661e+00,-1.914113971528507374e+00,4.960780159020052871e-01
1.536000000000000032e+00,4.862649354686777170e-01,4.807951051039990875e-01,5.469830364678629486e-03,9.984919220262530315e-01,9.970537227742729547e-01,-2.410191987430512661e+00,-1.914113971528507374e+00,4.960780159020052871e-01
1.536999999999999700e+00,4.865255844121715301e-01,4.813462225147079887e-01,5.179361897463541364e-03,9.985485750786436965e-01,9.972201618121837585e-01,-2.410191987430512661e+00,-1.914113971528507374e+00,4.960780159020052871e-01
1.538000000000000034e+00,4.867848601318233159e-01,4.819003575321050836e-01,4.884502599718232307e-03,9.986038559160903549e-01,9.973826532806094880e-01,-2.410191987430512661e+00,-1.914113971528507374e+00,4.960780159020052871e-01
1.538999999999999924e+00,4.870426116039567876e-01,4.824570310603614742e-01,4.585580543595313419e-03,9.986577501099832554e-01,9.975409810352566797e-01,-2.410191987430512661e+00,-1.914113971528507374e+00,4.960780159020052871e-01
