lambda_um,eta,V,delta_phi
1.530000000000000027e+00,4.775560458308785172e-01,9.959782548820618198e-01,-1.914113971528507374e+00
1.530999999999999917e+00,4.780869321754962487e-01,9.961659039321262288e-01,-1.914113971528507374e+00
1.532000000000000028e+00,4.786216667253220813e-01,9.963504068711106498e-01,-1.914113971528507374e+00
1.532999999999999918e+00,4.791599690627490471e-01,9.965315703358704758e-01,-1.914113971528507374e+00
1.534000000000000030e+00,4.797018201525883319e-01,9.967092944537859767e-01,-1.914113971528507374e+00
1.534999999999999920e+00,4.802469346235694325e-01,9.968833954576933332e-01,-1.914113971528507374e+00
1.536000000000000032e+00,4.807951051039990875e-01,9.970537227742729547e-01,-1.914113971528507374e+00
1.536999999999999700e+00,4.813462225147079887e-01,9.972201618121837585e-01,-1.914113971528507374e+00
1.538000000000000034e+00,4.819003575321050836e-01,9.973826532806094880e-01,-1.914113971528507374e+00
1.538999999999999924e+00,4.824570310603614742e-01,9.975409810352566797e-01,-1.914113971528507374e+00
1.540000000000000036e+00,4.830161583019965676e-01,9.976950524260305153e-01,-1.914113971528507374e+00
1.540999999999999925e+00,4.835777512551630020e-01,9.978448029119006968e-01,-1.914113971528507374e+00
1.542000000000000259e+00,4.841414997813334731e-01,9.979900856762434769e-01,-1.914113971528507374e+00
1.542999999999999927e+00,4.847070464440894622e-01,9.981307532483569833e-01,-1.914113971528507374e+00
1.544000000000000039e+00,4.852746376218186608e-01,9.982668128941473151e-01,-1.914113971528507374e+00
1.544999999999999929e+00,4.858439848442332454e-01,9.983981418823875131e-01,-1.914113971528507374e+00
1.546000000000000041e+00,4.864146213396142171e-01,9.985245891153957665e-01,-1.914113971528507374e+00
1.546999999999999931e+00,4.869871637739983106e-01,9.986462456928638654e-01,-1.914113971528507374e+00
1.548000000000000043e+00,4.875605830027067711e-01,9.987628529781827913e-01,-1.914113971528507374e+00
1.548999999999999932e+00,4.881352161770226017e-01,9.988744490278486099e-01,-1.914113971528507374e+00
1.550000000000000044e+00,4.887107226588904285e-01,9.989809372460787262e-01,-1.914113971528507374e+00
1.550999999999999934e+00,4.892873033890184353e-01,9.990823263063601800e-01,-1.914113971528507374e+00
1.552000000000000046e+00,4.898641948499895538e-01,9.991784612333370896e-01,-1.914113971528507374e+00
1.552999999999999936e+00,4.904418873832184778e-01,9.992694068463446877e-01,-1.914113971528507374e+00
1.554000000000000048e+00,4.910198693057380437e-01,9.993550660586911771e-01,-1.914113971528507374e+00
1.554999999999999716e+00,4.915980978733674456e-01,9.994354237434125432e-01,-1.914113971528507374e+00
1.556000000000000050e+00,4.921766268663920751e-01,9.995104785074778730e-01,-1.914113971528507374e+00
1.556999999999999940e+00,4.927552456332889852e-01,9.995801964093553593e-01,-1.914113971528507374e+00
1.558000000000000052e+00,4.933335828807822177e-01,9.996445342515207777e-01,-1.914113971528507374e+00
1.558999999999999719e+00,4.939117888626776143e-01,9.997035134398357670e-01,-1.914113971528507374e+00
1.560000000000000053e+00,4.944896714059489606e-01,9.997571197292799416e-01,-1.914113971528507374e+00
1.560999999999999943e+00,4.950672074164462755e-01,9.998053594029457924e-01,-1.914113971528507374e+00
1.562000000000000055e+00,4.956440899234061392e-01,9.998482198987108660e-01,-1.914113971528507374e+00
1.562999999999999945e+00,4.962204543094784204e-01,9.998857268045406865e-01,-1.914113971528507374e+00
1.564000000000000057e+00,4.967960381748782184e-01,9.999178804009382082e-01,-1.914113971528507374e+00
1.564999999999999947e+00,4.973709114704544243e-01,9.999447046768591418e-01,-1.914113971528507374e+00
