# Nominal geometry: w=1.080000, g=0.255000, t=0.275000
# Delta_w_star: -0.323581
# Delta_w_manual: True
# L_c: 8.488895
# Lambda0: 1.550000
# Variable: t
# Sigma_nm: 3.5
variable_value,eta_TE,eta_TM,V_TE,V_TM
0.27724926191047655,0.4983271501686371,0.49799056697348965,0.999977612838129,0.9999676979530152
0.2720451486355132,0.5045653264491738,0.5063072581194813,0.9998332762548621,0.9996817985942372
0.2690236579898922,0.5076965791826958,0.5111112785560251,0.9995262136144399,0.9990128034299759
0.2748102305394284,0.5012755373471247,0.5017771954668292,0.9999869841205158,0.9999747329293979
0.2733359436256522,0.5029965607873642,0.5040893705665341,0.9999281675676229,0.9998662253353856
0.2802876012444671,0.49447579777534695,0.49331435050644273,0.9997558953154342,0.9996424806482643
0.27108652126165533,0.5056030891422396,0.5078311556014085,0.9997488746724377,0.9995095043380784
0.27518183025825677,0.5008788308952242,0.5012561118120407,0.9999938212691492,0.9999873775445889
0.27074446603797847,0.5059618423831004,0.5083682978215952,0.9997156919044852,0.9994399296159031
0.27694637964075286,0.49866690777711425,0.4984134697204045,0.9999857830220641,0.9999798635761152
0.2711528251836325,0.505526715118528,0.5077231718976745,0.9997556732114257,0.9995229347494888
0.2740963897859766,0.5021172828747557,0.5028902624297789,0.9999641375488953,0.9999331732976748
0.27627489067309635,0.4995453987839762,0.4995306326972746,0.9999983467032417,0.9999982375562341
0.2745482970800208,0.5015820821892316,0.5021771429110033,0.9999799763280479,0.9999620811088953
0.272140261405399,0.5044623359688027,0.5061568269295299,0.9998407131487732,0.9996967938312387
0.27275382373058443,0.503776065153221,0.5051863471851722,0.9998859371612057,0.9997848375729244
0.27547013776083895,0.5005686802832192,0.5008451227509826,0.9999974128252306,0.9999942861566102
0.27772271549429706,0.49779416410098576,0.4973344066537372,0.9999610750614832,0.9999431585124222
0.2714037779995763,0.5052591818516491,0.5073241292193549,0.99977875252794,0.9995709491115076
0.2799741148995138,0.49483471500562115,0.4937360000916463,0.9997865814235897,0.9996861477005481
