# Nominal geometry: w=1.080000, g=0.255000, t=0.275000
# Delta_w_star: -0.323581
# Delta_w_manual: True
# L_c: 8.488895
# Lambda0: 1.550000
# Variable: joint
# Sigma_w_nm: 7.0
# Sigma_g_nm: 7.0
# Sigma_t_nm: 3.5
w_value,g_value,t_value,eta_TE,eta_TM,V_TE,V_TM
1.086355557520016,0.25087844747976007,0.2721993077679964,0.5060888525459473,0.5084918705942135,0.9997034509745727,0.999423271426384
1.0884888588759671,0.2634426882619,0.27699822070975894,0.5088615307628971,0.49555930402934484,0.9993719834446453,0.9998422541972203
1.0755302201160124,0.2490536407914144,0.26746295691279454,0.5024906319049155,0.5153095323439586,0.999950375253052,0.9981267020229361
1.0697485933792785,0.2497241433010916,0.27719777833168796,0.4896622033301384,0.4989063636193511,0.9991454050025069,0.9999904317215115
1.0767797836763884,0.26593506687126667,0.2740052549205079,0.5145207491289517,0.5089225520066138,0.9983146042351904,0.9993633072788706
1.085038144117932,0.25151489050142717,0.27557349490573063,0.5017429638847432,0.5026368908660619,0.9999756969104955,0.9999443759995416
1.0729163750209008,0.26356611035235117,0.27378165563507073,0.5107697257208795,0.5097711477166292,0.9990725343589761,0.9992364889642638
1.0761204325437932,0.26187376934374,0.2751910642252333,0.5025103603947806,0.49790627042328645,0.9999495859963244,0.9999649309866053
1.0967038758087702,0.24885823639199342,0.277936299959923,0.5056703258606978,0.5721099953716436,0.9997428123140745,0.959248789501166
1.07310869323488,0.2518414830201456,0.2702558409620726,0.5001917876065602,0.5093810396525945,0.999999705740155,0.9992962165030755
1.084034451209399,0.2463289587631437,0.28057734624963315,0.49232218557374857,0.49679795368893814,0.9995285204977568,0.999917978559271
1.0870780048318673,0.26837423282752804,0.2747614190421649,0.5141310155531065,0.4969021216951344,0.9984037901559881,0.9999232281471377
1.0770949753952435,0.25783422076130763,0.27657161397702956,0.49909700602922524,0.4976453751622466,0.9999934768363858,0.9999556469186073
1.082952803017908,0.2676057736445724,0.27838797749332655,0.5056784912308495,0.49106795470206605,0.9997420711666614,0.9993619521518524
1.080692730687205,0.2510864226618443,0.27261337532126223,0.5020258189781197,0.5070869430307938,0.9999671689986894,0.9995982826124662
1.0874185861589563,0.2538413540597447,0.276600859807516,0.5032382593316356,0.5003892403522351,0.9999161129306764,0.99999878793632
1.0734880334088697,0.24891441407143958,0.2733103760611367,0.49556477692885026,0.5057294049660795,0.9998426427520991,0.999737425827002
