# Nominal geometry: w=1.080000, g=0.255000, t=0.275000
# Delta_w_star: -0.323581
# Delta_w_manual: True
# L_c: 8.488895
# Lambda0: 1.550000
# Variable: w
# Sigma_nm: 7.0
variable_value,eta_TE,eta_TM,V_TE,V_TM
1.0789984143234663,0.5004794840086887,0.5013946516857959,0.9999981607623747,0.999984439694465
1.0825040734873037,0.5027047988469354,0.5016748878478338,0.9999414742182646,0.9999775582573962
1.0830142053300913,0.5030748390034525,0.5018889996157312,0.9999243657811985,0.9999714538510612
1.07187740176621,0.49614659064502054,0.5005173561728381,0.9998812169458697,0.9999978587430159
1.0694402012867334,0.49466033222383826,0.4999805228138308,0.9997719295953427,0.9999999969651137
1.0856980256395314,0.5047983185449435,0.5020850528908428,0.9998158260747094,0.9999652210403377
1.0865437439418455,0.5053324547784119,0.5021756831972681,0.9997725452790568,0.9999621319380098
1.0754604084637207,0.49839815991429176,0.5010741654775462,0.9999794730773981,0.9999907693908171
1.0786981932115878,0.5003061389222884,0.5013620040955453,0.9999992502319631,0.9999851596688684
1.0862390132825703,0.5051369060464519,0.5021333408568518,0.9997889198499256,0.9999635915171088
1.0844777567355124,0.5040408497477961,0.5019615462314482,0.9998693807977711,0.9999692191647923
1.084755413885567,0.5042096380820804,0.5019888839712403,0.9998582416261738,0.9999683552250954
1.0792612866188829,0.5006124834725345,0.5014240553671488,0.9999969989164702,0.9999837766620898
1.0754489849454079,0.49839151278324756,0.5010735941995351,0.9999793023651866,0.9999907792064694
1.0760791419875266,0.49875688137610835,0.501075762096139,0.999987637325114,0.9999907419301562
1.0822645216307867,0.5025487174421541,0.5016171143470624,0.9999480336654856,0.9999790797483389
1.0861810360281092,0.5050808558027137,0.5021314907882519,0.9997935005577078,0.9999636546366616
1.0636692782118997,0.49888358239218417,0.5101351512567238,0.9999900289435109,0.9991785671865829
1.0848906155314095,0.5042945786647001,0.5020013771099274,0.9998524636370338,0.9999679564307143
1.0747634290153252,0.4979444412865171,0.5008448216247152,0.9999661979983008,0.9999942902276802
