wg_thick_um,coupling_gap_um,wg_width_um,delta_w_um,wg_width_left_um,wg_width_right_um,is_asymmetric,delta_w_reached,delta_w_brackets,delta_w_abs_err,delta_w_rel_err,delta_w_refine_used,eta_te_1550,eta_tm_1550,DeltaEta_1550,Vbar_te,Vbar_tm,Vbar_avg,DeltaEta_avg,sigma_tol,Lc,coupling_trim_factor,Score
0.270000,0.265000,1.070000,-0.323581,0.908210,1.231791,1,1,0,0.000000,0.000000,0,0.494399,0.507167,0.012769,0.999708,0.999499,0.999604,0.011783,0.000000,9.089710,0.000000,0.930589
0.280000,0.260000,1.075000,-0.323581,0.913210,1.236790,1,1,0,0.000000,0.000000,0,0.469494,0.478949,0.009455,0.992560,0.996010,0.994285,0.008625,0.000000,9.719170,0.000000,0.928439
0.275000,0.250000,1.070000,-0.323581,0.908210,1.231791,1,1,0,0.000000,0.000000,0,0.482071,0.477709,0.004362,0.997683,0.996040,0.996861,0.006086,0.000000,11.461511,0.000000,0.927381
0.275000,0.260000,1.075000,-0.323581,0.913210,1.236790,1,1,0,0.000000,0.000000,0,0.472727,0.485371,0.012644,0.993950,0.997806,0.995878,0.011755,0.000000,9.623663,0.000000,0.924250
0.280000,0.260000,1.070000,-0.323581,0.908210,1.231791,1,1,0,0.000000,0.000000,0,0.477520,0.491520,0.013999,0.996046,0.999189,0.997618,0.012980,0.000000,9.709143,0.000000,0.923111
0.280000,0.260000,1.065000,-0.323581,0.903209,1.226790,1,1,0,0.000000,0.000000,0,0.475954,0.489521,0.013567,0.995540,0.998913,0.997227,0.012479,0.000000,9.924592,0.000000,0.922646
0.280000,0.255000,1.075000,-0.323581,0.913210,1.236790,1,1,0,0.000000,0.000000,0,0.468659,0.481300,0.012642,0.992155,0.996773,0.994464,0.011771,0.000000,9.664522,0.000000,0.922599
0.280000,0.255000,1.070000,-0.323581,0.908210,1.231791,1,1,0,0.000000,0.000000,0,0.468049,0.480688,0.012639,0.991859,0.996585,0.994222,0.011752,0.000000,9.642651,0.000000,0.922505
0.275000,0.265000,1.075000,-0.323581,0.913210,1.236790,1,1,0,0.000000,0.000000,0,0.478870,0.493907,0.015038,0.996476,0.999458,0.997967,0.013997,0.000000,9.924123,0.000000,0.920353
0.270000,0.270000,1.065000,-0.323581,0.903209,1.226790,1,1,0,0.000000,0.000000,0,0.477152,0.492057,0.014905,0.995921,0.999251,0.997586,0.013790,0.000000,10.354913,0.000000,0.918231
0.275000,0.255000,1.075000,-0.323581,0.913210,1.236790,1,1,0,0.000000,0.000000,0,0.471728,0.487693,0.015966,0.993516,0.998343,0.995929,0.015038,0.000000,9.575634,0.000000,0.917975
0.280000,0.250000,1.075000,-0.323581,0.913210,1.236790,1,1,0,0.000000,0.000000,0,0.467847,0.483442,0.015595,0.991749,0.997396,0.994573,0.014692,0.000000,9.609301,0.000000,0.917141
0.280000,0.250000,1.065000,-0.323581,0.903209,1.226790,1,1,0,0.000000,0.000000,0,0.465982,0.480952,0.014970,0.990882,0.996730,0.993806,0.013991,0.000000,9.776849,0.000000,0.916940
0.280000,0.255000,1.065000,-0.323581,0.903209,1.226790,1,1,0,0.000000,0.000000,0,0.475016,0.491797,0.016781,0.995177,0.999266,0.997222,0.015663,0.000000,9.850819,0.000000,0.916642
0.275000,0.255000,1.070000,-0.323581,0.908210,1.231791,1,1,0,0.000000,0.000000,0,0.469692,0.485941,0.016248,0.992612,0.997982,0.995297,0.015295,0.000000,9.670435,0.000000,0.916355
0.270000,0.260000,1.075000,-0.323581,0.913210,1.236790,1,1,0,0.000000,0.000000,0,0.473621,0.490321,0.016700,0.994343,0.998827,0.996585,0.015701,0.000000,9.783371,0.000000,0.916265
0.275000,0.260000,1.070000,-0.323581,0.908210,1.231791,1,1,0,0.000000,0.000000,0,0.477999,0.496370,0.018371,0.996169,0.999674,0.997921,0.017291,0.000000,9.733183,0.000000,0.914673
0.275000,0.260000,1.065000,-0.323581,0.903209,1.226790,1,1,0,0.000000,0.000000,0,0.475266,0.492912,0.017646,0.995250,0.999390,0.997320,0.016505,0.000000,10.079333,0.000000,0.913912
0.275000,0.250000,1.075000,-0.323581,0.913210,1.236790,1,1,0,0.000000,0.000000,0,0.470843,0.490096,0.019254,0.993120,0.998811,0.995966,0.018292,0.000000,9.526923,0.000000,0.911747
