lambda_um,eta_TE,eta_TM,delta_eta,V_TE,V_TM,delta_phi_TE,delta_phi_TM,delta_delta_phi
1.530000000000000027e+00,3.340829024143537329e-01,5.936804059822019530e-01,2.595975035678482201e-01,8.016168794873593795e-01,9.321728611712334356e-01,-9.384059584474979676e-01,-1.412305914640744176e+00,4.738999561932462079e-01
1.530999999999999917e+00,3.348672996800614032e-01,5.943676976205964912e-01,2.595003979405350880e-01,8.033041737270327776e-01,9.312083325519362464e-01,-9.384059584474979676e-01,-1.412305914640744176e+00,4.738999561932462079e-01
1.532000000000000028e+00,3.356331764840811971e-01,5.950666944422745575e-01,2.594335179581933604e-01,8.049469451214702476e-01,9.302211437497777125e-01,-9.384059584474979676e-01,-1.412305914640744176e+00,4.738999561932462079e-01
1.532999999999999918e+00,3.363797069189972677e-01,5.957773002723112388e-01,2.593975933533139711e-01,8.065437329687774604e-01,9.292111374339570018e-01,-9.384059584474979676e-01,-1.412305914640744176e+00,4.738999561932462079e-01
1.534000000000000030e+00,3.371075939727966042e-01,5.965054323733769426e-01,2.593978384005803384e-01,8.080963491803722087e-01,9.281695267288582185e-01,-9.384059584474979676e-01,-1.412305914640744176e+00,4.738999561932462079e-01
1.534999999999999920e+00,3.378161877389331269e-01,5.972520892334226561e-01,2.594359014944895292e-01,8.096037112034374372e-01,9.270944045248475929e-01,-9.384059584474979676e-01,-1.412305914640744176e+00,4.738999561932462079e-01
1.536000000000000032e+00,3.385055751031235127e-01,5.980174491791849789e-01,2.595118740760614662e-01,8.110663080890245791e-01,9.259850097437233307e-01,-9.384059584474979676e-01,-1.412305914640744176e+00,4.738999561932462079e-01
1.536999999999999700e+00,3.391756269216986142e-01,5.988010660653354522e-01,2.596254391436368381e-01,8.124841656161453374e-01,9.248414796332865562e-01,-9.384059584474979676e-01,-1.412305914640744176e+00,4.738999561932462079e-01
1.538000000000000034e+00,3.398266659390267175e-01,5.995989219054377317e-01,2.597722559664110142e-01,8.138582598307427807e-01,9.236692264198083091e-01,-9.384059584474979676e-01,-1.412305914640744176e+00,4.738999561932462079e-01
1.538999999999999924e+00,3.404583353443809690e-01,6.004089055968772071e-01,2.599505702524962381e-01,8.151881256930277875e-01,9.224709874086658434e-01,-9.384059584474979676e-01,-1.412305914640744176e+00,4.738999561932462079e-01
1.540000000000000036e+00,3.410707920946131622e-01,6.012254945120628635e-01,2.601547024174497014e-01,8.164743776757977800e-01,9.212546814436235465e-01,-9.384059584474979676e-01,-1.412305914640744176e+00,4.738999561932462079e-01
1.540999999999999925e+00,3.416639540694579313e-01,6.020460083218915903e-01,2.603820542524336590e-01,8.177171208428649640e-01,9.200241746261366149e-01,-9.384059584474979676e-01,-1.412305914640744176e+00,4.738999561932462079e-01
1.542000000000000259e+00,3.422380809373022914e-01,6.028645941554954257e-01,2.606265132181931343e-01,8.189171693116344963e-01,9.187882488287906213e-01,-9.384059584474979676e-01,-1.412305914640744176e+00,4.738999561932462079e-01
1.542999999999999927e+00,3.427931608969234101e-01,6.036752954470240295e-01,2.608821345501006195e-01,8.200747603911973105e-01,9.175560808299600968e-01,-9.384059584474979676e-01,-1.412305914640744176e+00,4.738999561932462079e-01
1.544000000000000039e+00,3.433290718755898641e-01,6.044769100139771867e-01,2.611478381383873226e-01,8.211898959477406112e-01,9.163297858872955226e-01,-9.384059584474979676e-01,-1.412305914640744176e+00,4.738999561932462079e-01
1.544999999999999929e+00,3.438460541774709944e-01,6.052621339544893564e-01,2.614160797770183620e-01,8.222633249291447788e-01,9.151209446466908037e-01,-9.384059584474979676e-01,-1.412305914640744176e+00,4.738999561932462079e-01
1.546000000000000041e+00,3.443442920399610307e-01,6.060339734021692459e-01,2.616896813622082152e-01,8.232956691131351201e-01,9.139253893371666049e-01,-9.384059584474979676e-01,-1.412305914640744176e+00,4.738999561932462079e-01
1.546999999999999931e+00,3.448238202601232039e-01,6.067842912685638135e-01,2.619604710084406096e-01,8.242872315151107410e-01,9.127562431626484729e-01,-9.384059584474979676e-01,-1.412305914640744176e+00,4.738999561932462079e-01
1.548000000000000043e+00,3.452848509976328417e-01,6.075225472524642401e-01,2.622376962548313983e-01,8.252386732146083093e-01,9.115992534925982937e-01,-9.384059584474979676e-01,-1.412305914640744176e+00,4.738999561932462079e-01
1.548999999999999932e+00,3.457272585625305039e-01,6.082376173143482223e-01,2.625103587518177184e-01,8.261499495600319598e-01,9.104723480811258707e-01,-9.384059584474979676e-01,-1.412305914640744176e+00,4.738999561932462079e-01
1.550000000000000044e+00,3.461515235208502128e-01,6.089450937454967683e-01,2.627935702246465555e-01,8.270222559182955901e-01,9.093513784750252293e-01,-9.384059584474979676e-01,-1.412305914640744176e+00,4.738999561932462079e-01
1.550999999999999934e+00,3.465577757954202420e-01,6.096350256439708737e-01,2.630772498485506317e-01,8.278560543007530415e-01,9.082524521745922730e-01,-9.384059584474979676e-01,-1.412305914640744176e+00,4.738999561932462079e-01
1.552000000000000046e+00,3.469459349067823828e-01,6.103226880444464486e-01,2.633767531376640658e-01,8.286513669833986961e-01,9.071515074973232062e-01,-9.384059584474979676e-01,-1.412305914640744176e+00,4.738999561932462079e-01
1.552999999999999936e+00,3.473166303789840814e-01,6.110014846861966387e-01,2.636848543072125572e-01,8.294096612593609974e-01,9.060592623466128259e-01,-9.384059584474979676e-01,-1.412305914640744176e+00,4.738999561932462079e-01
1.554000000000000048e+00,3.476697602239793849e-01,6.116825335233415650e-01,2.640127732993621801e-01,8.301308961998877800e-01,9.049579282405092462e-01,-9.384059584474979676e-01,-1.412305914640744176e+00,4.738999561932462079e-01
1.554999999999999716e+00,3.480056111017142961e-01,6.123626962951093100e-01,2.643570851933950139e-01,8.308158170589362568e-01,9.038525847415103120e-01,-9.384059584474979676e-01,-1.412305914640744176e+00,4.738999561932462079e-01
1.556000000000000050e+00,3.483243987052199730e-01,6.130454251954651212e-01,2.647210264902451482e-01,8.314650141702472075e-01,9.027376227415468968e-01,-9.384059584474979676e-01,-1.412305914640744176e+00,4.738999561932462079e-01
1.556999999999999940e+00,3.486264261274127363e-01,6.137345906517458483e-01,2.651081645243331120e-01,8.320792460591600603e-01,9.016066350792325546e-01,-9.384059584474979676e-01,-1.412305914640744176e+00,4.738999561932462079e-01
1.558000000000000052e+00,3.489118090034171171e-01,6.144234425771948338e-01,2.655116335737777167e-01,8.326588806282503308e-01,9.004706477499888617e-01,-9.384059584474979676e-01,-1.412305914640744176e+00,4.738999561932462079e-01
1.558999999999999719e+00,3.491809408796106573e-01,6.151217081174080725e-01,2.659407672377974152e-01,8.332048412356997114e-01,8.993135326606707114e-01,-9.384059584474979676e-01,-1.412305914640744176e+00,4.738999561932462079e-01
1.560000000000000053e+00,3.494339009365805548e-01,6.158152623770095646e-01,2.663813614404290098e-01,8.337174041851413975e-01,8.981586627207748252e-01,-9.384059584474979676e-01,-1.412305914640744176e+00,4.738999561932462079e-01
1.560999999999999943e+00,3.496711583699145809e-01,6.165145877391028373e-01,2.668434293691882564e-01,8.341976275023397225e-01,8.969885936012431671e-01,-9.384059584474979676e-01,-1.412305914640744176e+00,4.738999561932462079e-01
1.562000000000000055e+00,3.498926927551149757e-01,6.172082189659964246e-01,2.673155262108814489e-01,8.346455693428439515e-01,8.958225303062365974e-01,-9.384059584474979676e-01,-1.412305914640744176e+00,4.738999561932462079e-01
1.562999999999999945e+00,3.500990676810568636e-01,6.178979050164516984e-01,2.677988373353948348e-01,8.350624609347992999e-01,8.946576700927375558e-01,-9.384059584474979676e-01,-1.412305914640744176e+00,4.738999561932462079e-01
1.564000000000000057e+00,3.502903658295064560e-01,6.185834881878440328e-01,2.682931223583375768e-01,8.354485530699893303e-01,8.934943964280791517e-01,-9.384059584474979676e-01,-1.412305914640744176e+00,4.738999561932462079e-01
1.564999999999999947e+00,3.504668860010725639e-01,6.192550820508824216e-01,2.687881960498098577e-01,8.358045257130222172e-01,8.923497155617556853e-01,-9.384059584474979676e-01,-1.412305914640744176e+00,4.738999561932462079e-01
