lambda_um,eta,V,delta_phi
1.530000000000000027e+00,5.936804059822019530e-01,9.321728611712334356e-01,-1.412305914640744176e+00
1.530999999999999917e+00,5.943676976205964912e-01,9.312083325519362464e-01,-1.412305914640744176e+00
1.532000000000000028e+00,5.950666944422745575e-01,9.302211437497777125e-01,-1.412305914640744176e+00
1.532999999999999918e+00,5.957773002723112388e-01,9.292111374339570018e-01,-1.412305914640744176e+00
1.534000000000000030e+00,5.965054323733769426e-01,9.281695267288582185e-01,-1.412305914640744176e+00
1.534999999999999920e+00,5.972520892334226561e-01,9.270944045248475929e-01,-1.412305914640744176e+00
1.536000000000000032e+00,5.980174491791849789e-01,9.259850097437233307e-01,-1.412305914640744176e+00
1.536999999999999700e+00,5.988010660653354522e-01,9.248414796332865562e-01,-1.412305914640744176e+00
1.538000000000000034e+00,5.995989219054377317e-01,9.236692264198083091e-01,-1.412305914640744176e+00
1.538999999999999924e+00,6.004089055968772071e-01,9.224709874086658434e-01,-1.412305914640744176e+00
1.540000000000000036e+00,6.012254945120628635e-01,9.212546814436235465e-01,-1.412305914640744176e+00
1.540999999999999925e+00,6.020460083218915903e-01,9.200241746261366149e-01,-1.412305914640744176e+00
1.542000000000000259e+00,6.028645941554954257e-01,9.187882488287906213e-01,-1.412305914640744176e+00
1.542999999999999927e+00,6.036752954470240295e-01,9.175560808299600968e-01,-1.412305914640744176e+00
1.544000000000000039e+00,6.044769100139771867e-01,9.163297858872955226e-01,-1.412305914640744176e+00
1.544999999999999929e+00,6.052621339544893564e-01,9.151209446466908037e-01,-1.412305914640744176e+00
1.546000000000000041e+00,6.060339734021692459e-01,9.139253893371666049e-01,-1.412305914640744176e+00
1.546999999999999931e+00,6.067842912685638135e-01,9.127562431626484729e-01,-1.412305914640744176e+00
1.548000000000000043e+00,6.075225472524642401e-01,9.115992534925982937e-01,-1.412305914640744176e+00
1.548999999999999932e+00,6.082376173143482223e-01,9.104723480811258707e-01,-1.412305914640744176e+00
1.550000000000000044e+00,6.089450937454967683e-01,9.093513784750252293e-01,-1.412305914640744176e+00
1.550999999999999934e+00,6.096350256439708737e-01,9.082524521745922730e-01,-1.412305914640744176e+00
1.552000000000000046e+00,6.103226880444464486e-01,9.071515074973232062e-01,-1.412305914640744176e+00
1.552999999999999936e+00,6.110014846861966387e-01,9.060592623466128259e-01,-1.412305914640744176e+00
1.554000000000000048e+00,6.116825335233415650e-01,9.049579282405092462e-01,-1.412305914640744176e+00
1.554999999999999716e+00,6.123626962951093100e-01,9.038525847415103120e-01,-1.412305914640744176e+00
1.556000000000000050e+00,6.130454251954651212e-01,9.027376227415468968e-01,-1.412305914640744176e+00
1.556999999999999940e+00,6.137345906517458483e-01,9.016066350792325546e-01,-1.412305914640744176e+00
1.558000000000000052e+00,6.144234425771948338e-01,9.004706477499888617e-01,-1.412305914640744176e+00
1.558999999999999719e+00,6.151217081174080725e-01,8.993135326606707114e-01,-1.412305914640744176e+00
1.560000000000000053e+00,6.158152623770095646e-01,8.981586627207748252e-01,-1.412305914640744176e+00
1.560999999999999943e+00,6.165145877391028373e-01,8.969885936012431671e-01,-1.412305914640744176e+00
1.562000000000000055e+00,6.172082189659964246e-01,8.958225303062365974e-01,-1.412305914640744176e+00
1.562999999999999945e+00,6.178979050164516984e-01,8.946576700927375558e-01,-1.412305914640744176e+00
1.564000000000000057e+00,6.185834881878440328e-01,8.934943964280791517e-01,-1.412305914640744176e+00
1.564999999999999947e+00,6.192550820508824216e-01,8.923497155617556853e-01,-1.412305914640744176e+00
