lambda_um,eta,V,delta_phi
1.530000000000000027e+00,3.340829024143537329e-01,8.016168794873593795e-01,-9.384059584474979676e-01
1.530999999999999917e+00,3.348672996800614032e-01,8.033041737270327776e-01,-9.384059584474979676e-01
1.532000000000000028e+00,3.356331764840811971e-01,8.049469451214702476e-01,-9.384059584474979676e-01
1.532999999999999918e+00,3.363797069189972677e-01,8.065437329687774604e-01,-9.384059584474979676e-01
1.534000000000000030e+00,3.371075939727966042e-01,8.080963491803722087e-01,-9.384059584474979676e-01
1.534999999999999920e+00,3.378161877389331269e-01,8.096037112034374372e-01,-9.384059584474979676e-01
1.536000000000000032e+00,3.385055751031235127e-01,8.110663080890245791e-01,-9.384059584474979676e-01
1.536999999999999700e+00,3.391756269216986142e-01,8.124841656161453374e-01,-9.384059584474979676e-01
1.538000000000000034e+00,3.398266659390267175e-01,8.138582598307427807e-01,-9.384059584474979676e-01
1.538999999999999924e+00,3.404583353443809690e-01,8.151881256930277875e-01,-9.384059584474979676e-01
1.540000000000000036e+00,3.410707920946131622e-01,8.164743776757977800e-01,-9.384059584474979676e-01
1.540999999999999925e+00,3.416639540694579313e-01,8.177171208428649640e-01,-9.384059584474979676e-01
1.542000000000000259e+00,3.422380809373022914e-01,8.189171693116344963e-01,-9.384059584474979676e-01
1.542999999999999927e+00,3.427931608969234101e-01,8.200747603911973105e-01,-9.384059584474979676e-01
1.544000000000000039e+00,3.433290718755898641e-01,8.211898959477406112e-01,-9.384059584474979676e-01
1.544999999999999929e+00,3.438460541774709944e-01,8.222633249291447788e-01,-9.384059584474979676e-01
1.546000000000000041e+00,3.443442920399610307e-01,8.232956691131351201e-01,-9.384059584474979676e-01
1.546999999999999931e+00,3.448238202601232039e-01,8.242872315151107410e-01,-9.384059584474979676e-01
1.548000000000000043e+00,3.452848509976328417e-01,8.252386732146083093e-01,-9.384059584474979676e-01
1.548999999999999932e+00,3.457272585625305039e-01,8.261499495600319598e-01,-9.384059584474979676e-01
1.550000000000000044e+00,3.461515235208502128e-01,8.270222559182955901e-01,-9.384059584474979676e-01
1.550999999999999934e+00,3.465577757954202420e-01,8.278560543007530415e-01,-9.384059584474979676e-01
1.552000000000000046e+00,3.469459349067823828e-01,8.286513669833986961e-01,-9.384059584474979676e-01
1.552999999999999936e+00,3.473166303789840814e-01,8.294096612593609974e-01,-9.384059584474979676e-01
1.554000000000000048e+00,3.476697602239793849e-01,8.301308961998877800e-01,-9.384059584474979676e-01
1.554999999999999716e+00,3.480056111017142961e-01,8.308158170589362568e-01,-9.384059584474979676e-01
1.556000000000000050e+00,3.483243987052199730e-01,8.314650141702472075e-01,-9.384059584474979676e-01
1.556999999999999940e+00,3.486264261274127363e-01,8.320792460591600603e-01,-9.384059584474979676e-01
1.558000000000000052e+00,3.489118090034171171e-01,8.326588806282503308e-01,-9.384059584474979676e-01
1.558999999999999719e+00,3.491809408796106573e-01,8.332048412356997114e-01,-9.384059584474979676e-01
1.560000000000000053e+00,3.494339009365805548e-01,8.337174041851413975e-01,-9.384059584474979676e-01
1.560999999999999943e+00,3.496711583699145809e-01,8.341976275023397225e-01,-9.384059584474979676e-01
1.562000000000000055e+00,3.498926927551149757e-01,8.346455693428439515e-01,-9.384059584474979676e-01
1.562999999999999945e+00,3.500990676810568636e-01,8.350624609347992999e-01,-9.384059584474979676e-01
1.564000000000000057e+00,3.502903658295064560e-01,8.354485530699893303e-01,-9.384059584474979676e-01
1.564999999999999947e+00,3.504668860010725639e-01,8.358045257130222172e-01,-9.384059584474979676e-01
