lambda_um,eta,V,delta_phi
1.530000000000000027e+00,4.337955138116582066e-01,9.655398874469792725e-01,-1.214660085092696518e+00
1.530999999999999917e+00,4.354858256469496536e-01,9.672486256496822810e-01,-1.214660085092696518e+00
1.532000000000000028e+00,4.371644567609512255e-01,9.689046517836491512e-01,-1.214660085092696518e+00
1.532999999999999918e+00,4.388251448216970441e-01,9.705026558180870344e-01,-1.214660085092696518e+00
1.534000000000000030e+00,4.404628046605622571e-01,9.720390294757067506e-01,-1.214660085092696518e+00
1.534999999999999920e+00,4.420793067651071495e-01,9.735169287021318008e-01,-1.214660085092696518e+00
1.536000000000000032e+00,4.436745400418846685e-01,9.749375882474824451e-01,-1.214660085092696518e+00
1.536999999999999700e+00,4.452462178474519972e-01,9.763003902277249679e-01,-1.214660085092696518e+00
1.538000000000000034e+00,4.467905352894617210e-01,9.776036612019500804e-01,-1.214660085092696518e+00
1.538999999999999924e+00,4.483054547275757140e-01,9.788474974437271214e-01,-1.214660085092696518e+00
1.540000000000000036e+00,4.497934109877474995e-01,9.800356836926954474e-01,-1.214660085092696518e+00
1.540999999999999925e+00,4.512529265216608798e-01,9.811687754544656803e-01,-1.214660085092696518e+00
1.542000000000000259e+00,4.526794904301301159e-01,9.822451835077729010e-01,-1.214660085092696518e+00
1.542999999999999927e+00,4.540708754998321606e-01,9.832653302851727117e-01,-1.214660085092696518e+00
1.544000000000000039e+00,4.554278173793098738e-01,9.842318691781535289e-01,-1.214660085092696518e+00
1.544999999999999929e+00,4.567526334577824976e-01,9.851484319106549314e-01,-1.214660085092696518e+00
1.546000000000000041e+00,4.580464474836597466e-01,9.860176369109708849e-01,-1.214660085092696518e+00
1.546999999999999931e+00,4.593084203663742593e-01,9.868407195664544718e-01,-1.214660085092696518e+00
1.548000000000000043e+00,4.605415020750568411e-01,9.876213086875496039e-01,-1.214660085092696518e+00
1.548999999999999932e+00,4.617519394434971836e-01,9.883647722658558399e-01,-1.214660085092696518e+00
1.550000000000000044e+00,4.629464575241601376e-01,9.890762715079229883e-01,-1.214660085092696518e+00
1.550999999999999934e+00,4.641317673509134933e-01,9.897604530351182817e-01,-1.214660085092696518e+00
1.552000000000000046e+00,4.653109946841526012e-01,9.904194971958097948e-01,-1.214660085092696518e+00
1.552999999999999936e+00,4.664912203645997235e-01,9.910574576155767312e-01,-1.214660085092696518e+00
1.554000000000000048e+00,4.676814768656645249e-01,9.916788697467452396e-01,-1.214660085092696518e+00
1.554999999999999716e+00,4.688903261972824921e-01,9.922873630912726339e-01,-1.214660085092696518e+00
1.556000000000000050e+00,4.701234173202518685e-01,9.928845238452058686e-01,-1.214660085092696518e+00
1.556999999999999940e+00,4.713834864236452482e-01,9.934701505075317352e-01,-1.214660085092696518e+00
1.558000000000000052e+00,4.726732463732918887e-01,9.940437795551446687e-01,-1.214660085092696518e+00
1.558999999999999719e+00,4.739971148663466027e-01,9.946053899808272591e-01,-1.214660085092696518e+00
1.560000000000000053e+00,4.753576172347858120e-01,9.951537951472038124e-01,-1.214660085092696518e+00
1.560999999999999943e+00,4.767546332190570890e-01,9.956865464338566785e-01,-1.214660085092696518e+00
1.562000000000000055e+00,4.781849780021276697e-01,9.962000719916254132e-01,-1.214660085092696518e+00
1.562999999999999945e+00,4.796449598119245095e-01,9.966908629795419028e-01,-1.214660085092696518e+00
1.564000000000000057e+00,4.811322376135286905e-01,9.971561099538465145e-01,-1.214660085092696518e+00
1.564999999999999947e+00,4.826457111563841051e-01,9.975935283110838325e-01,-1.214660085092696518e+00
