lambda_um,eta_TE,eta_TM,delta_eta,V_TE,V_TM,delta_phi_TE,delta_phi_TM,delta_delta_phi
1.530000000000000027e+00,6.067667541466973402e-01,5.390801897939869747e-01,6.768656435271036553e-02,9.127836472596314588e-01,9.878560977697666834e-01,-2.052739155075364863e+00,-1.852849845541617579e+00,1.998893095337472836e-01
1.530999999999999917e+00,6.053238126080633386e-01,5.378174760387703923e-01,6.750633656929294624e-02,9.150256726928335249e-01,9.886237873336652937e-01,-2.052739155075364863e+00,-1.852849845541617579e+00,1.998893095337472836e-01
1.532000000000000028e+00,6.038639123004653220e-01,5.369261113405860986e-01,6.693780095987922341e-02,9.172682471569504337e-01,9.891508711945995458e-01,-2.052739155075364863e+00,-1.852849845541617579e+00,1.998893095337472836e-01
1.532999999999999918e+00,6.023875388372577078e-01,5.363861018144301385e-01,6.600143702282756930e-02,9.195095285776875293e-01,9.894642081373378195e-01,-2.052739155075364863e+00,-1.852849845541617579e+00,1.998893095337472836e-01
1.534000000000000030e+00,6.008946532465035961e-01,5.361540117899938895e-01,6.474064145650970659e-02,9.217484697020468243e-01,9.895974884661915549e-01,-2.052739155075364863e+00,-1.852849845541617579e+00,1.998893095337472836e-01
1.534999999999999920e+00,5.993862149540455375e-01,5.361665271328931448e-01,6.321968782115239271e-02,9.239825289039950151e-01,9.895903226892300841e-01,-2.052739155075364863e+00,-1.852849845541617579e+00,1.998893095337472836e-01
1.536000000000000032e+00,5.978621214712280807e-01,5.363406699381173537e-01,6.152145153311072701e-02,9.262107581950174140e-01,9.894903636326894958e-01,-2.052739155075364863e+00,-1.852849845541617579e+00,1.998893095337472836e-01
1.536999999999999700e+00,5.963227793209848748e-01,5.365780286193605475e-01,5.974475070162432733e-02,9.284314517118628096e-01,9.893533613520260062e-01,-2.052739155075364863e+00,-1.852849845541617579e+00,1.998893095337472836e-01
1.538000000000000034e+00,5.947681194721421427e-01,5.367726001541875958e-01,5.799551931795454696e-02,9.306435870526431620e-01,9.892404045611876695e-01,-2.052739155075364863e+00,-1.852849845541617579e+00,1.998893095337472836e-01
1.538999999999999924e+00,5.931989245276405587e-01,5.368122292241477300e-01,5.638669530349282866e-02,9.328449301030246055e-01,9.892173263752420675e-01,-2.052739155075364863e+00,-1.852849845541617579e+00,1.998893095337472836e-01
1.540000000000000036e+00,5.916153459095118139e-01,5.365860676179549094e-01,5.502927829155690453e-02,9.350341569990897606e-01,9.893487059969799935e-01,-2.052739155075364863e+00,-1.852849845541617579e+00,1.998893095337472836e-01
1.540999999999999925e+00,5.900174225583340037e-01,5.359871005925864740e-01,5.403032196574752977e-02,9.372100899028483756e-01,9.896928228492567481e-01,-2.052739155075364863e+00,-1.852849845541617579e+00,1.998893095337472836e-01
1.542000000000000259e+00,5.884054153484211680e-01,5.349195972402921440e-01,5.348581810812902404e-02,9.393712408016657855e-01,9.902923231494764611e-01,-2.052739155075364863e+00,-1.852849845541617579e+00,1.998893095337472836e-01
1.542999999999999927e+00,5.867809472130177673e-01,5.333071282055792395e-01,5.347381900743852778e-02,9.415143437929386350e-01,9.911642897887641412e-01,-2.052739155075364863e+00,-1.852849845541617579e+00,1.998893095337472836e-01
1.544000000000000039e+00,5.851431429024808173e-01,5.310974719538789079e-01,5.404567094860190934e-02,9.436394715981418768e-01,9.922933887035787492e-01,-2.052739155075364863e+00,-1.852849845541617579e+00,1.998893095337472836e-01
1.544999999999999929e+00,5.834927576536464988e-01,5.282707495021512489e-01,5.522200815149524988e-02,9.457445433161658643e-01,9.936264935056174918e-01,-2.052739155075364863e+00,-1.852849845541617579e+00,1.998893095337472836e-01
1.546000000000000041e+00,5.818300974369676748e-01,5.248408004728236653e-01,5.698929696414400947e-02,9.478280881169637295e-01,9.950756316835470683e-01,-2.052739155075364863e+00,-1.852849845541617579e+00,1.998893095337472836e-01
1.546999999999999931e+00,5.801558468152420156e-01,5.208651284806126158e-01,5.929071833462939978e-02,9.498881872949169747e-01,9.965232258123485343e-01,-2.052739155075364863e+00,-1.852849845541617579e+00,1.998893095337472836e-01
1.548000000000000043e+00,5.784703195039266888e-01,5.164413084930887798e-01,6.202901101083790891e-02,9.519234154414456528e-01,9.978398027492011435e-01,-2.052739155075364863e+00,-1.852849845541617579e+00,1.998893095337472836e-01
1.548999999999999932e+00,5.767738698904447681e-01,5.117048960993775264e-01,6.506897379106724166e-02,9.539323167638426026e-01,9.989045635777056287e-01,-2.052739155075364863e+00,-1.852849845541617579e+00,1.998893095337472836e-01
1.550000000000000044e+00,5.750669642177672625e-01,5.068196394456778719e-01,6.824732477208939052e-02,9.559133292845510832e-01,9.996280093440427228e-01,-2.052739155075364863e+00,-1.852849845541617579e+00,1.998893095337472836e-01
1.550999999999999934e+00,5.733500250727059377e-01,5.019669625068030605e-01,7.138306256590287724e-02,9.578649744447085279e-01,9.999690489469659216e-01,-2.052739155075364863e+00,-1.852849845541617579e+00,1.998893095337472836e-01
1.552000000000000046e+00,5.716237860190457321e-01,4.973322507122653335e-01,7.429153530678039852e-02,9.597854631537059422e-01,9.999430665306585642e-01,-2.052739155075364863e+00,-1.852849845541617579e+00,1.998893095337472836e-01
1.552999999999999936e+00,5.698879137947798768e-01,4.930895371821698570e-01,7.679837661261001980e-02,9.616742176599260006e-01,9.996180369909515306e-01,-2.052739155075364863e+00,-1.852849845541617579e+00,1.998893095337472836e-01
