lambda_um,eta,V,delta_phi
1.530000000000000027e+00,3.249806349770387182e-01,7.816941592514958792e-01,-1.177513312095813003e+00
1.530999999999999917e+00,3.243075741935764200e-01,7.801967662002113890e-01,-1.177513312095813003e+00
1.532000000000000028e+00,3.237982363907055960e-01,7.790614758010320218e-01,-1.177513312095813003e+00
1.532999999999999918e+00,3.231925286803871145e-01,7.777089959922275364e-01,-1.177513312095813003e+00
1.534000000000000030e+00,3.224580040476011655e-01,7.760654276206093716e-01,-1.177513312095813003e+00
1.534999999999999920e+00,3.218887506386940434e-01,7.747890825051987340e-01,-1.177513312095813003e+00
1.536000000000000032e+00,3.213083287189607562e-01,7.734853858112080705e-01,-1.177513312095813003e+00
1.536999999999999700e+00,3.208764879067359521e-01,7.725139150983374448e-01,-1.177513312095813003e+00
1.538000000000000034e+00,3.205239766556435277e-01,7.717199572763002724e-01,-1.177513312095813003e+00
1.538999999999999924e+00,3.202197770272140476e-01,7.710341295942195750e-01,-1.177513312095813003e+00
1.540000000000000036e+00,3.200014453465338526e-01,7.705415058529445638e-01,-1.177513312095813003e+00
1.540999999999999925e+00,3.198210266480656094e-01,7.701341814263459318e-01,-1.177513312095813003e+00
1.542000000000000259e+00,3.196860823850262712e-01,7.698293787930495791e-01,-1.177513312095813003e+00
1.542999999999999927e+00,3.195875811225198926e-01,7.696068133030219416e-01,-1.177513312095813003e+00
1.544000000000000039e+00,3.195498233177274106e-01,7.695214814410938908e-01,-1.177513312095813003e+00
1.544999999999999929e+00,3.195222908623651104e-01,7.694592525900763036e-01,-1.177513312095813003e+00
1.546000000000000041e+00,3.195068945115632220e-01,7.694244515299702991e-01,-1.177513312095813003e+00
1.546999999999999931e+00,3.195048216528969531e-01,7.694197660326599353e-01,-1.177513312095813003e+00
1.548000000000000043e+00,3.194697448618133429e-01,7.693404739296486605e-01,-1.177513312095813003e+00
1.548999999999999932e+00,3.193915474693659884e-01,7.691636765870424330e-01,-1.177513312095813003e+00
1.550000000000000044e+00,3.192686722304143854e-01,7.688857833658961916e-01,-1.177513312095813003e+00
1.550999999999999934e+00,3.190911883010655314e-01,7.684842083950967906e-01,-1.177513312095813003e+00
1.552000000000000046e+00,3.187500208123411616e-01,7.677116891884007144e-01,-1.177513312095813003e+00
1.552999999999999936e+00,3.183619427804152968e-01,7.668320017384954168e-01,-1.177513312095813003e+00
1.554000000000000048e+00,3.179469892183346968e-01,7.658902832397428417e-01,-1.177513312095813003e+00
1.554999999999999716e+00,3.174046813012347812e-01,7.646578188202824977e-01,-1.177513312095813003e+00
1.556000000000000050e+00,3.167614522432409818e-01,7.631934851937430819e-01,-1.177513312095813003e+00
1.556999999999999940e+00,3.162473152018437372e-01,7.620210856183403658e-01,-1.177513312095813003e+00
1.558000000000000052e+00,3.156465584337060371e-01,7.606489861516404494e-01,-1.177513312095813003e+00
1.558999999999999719e+00,3.150083501614960868e-01,7.591887940759514120e-01,-1.177513312095813003e+00
1.560000000000000053e+00,3.144185037684039119e-01,7.578369272782138344e-01,-1.177513312095813003e+00
1.560999999999999943e+00,3.138818396512452757e-01,7.566050217130678712e-01,-1.177513312095813003e+00
1.562000000000000055e+00,3.133116975588207120e-01,7.552942695340890689e-01,-1.177513312095813003e+00
1.562999999999999945e+00,3.127660703448410517e-01,7.540379612321058689e-01,-1.177513312095813003e+00
1.564000000000000057e+00,3.122709773258803834e-01,7.528963968896155157e-01,-1.177513312095813003e+00
1.564999999999999947e+00,3.118403399573146939e-01,7.519022122058252044e-01,-1.177513312095813003e+00
