lambda_um,eta,V,delta_phi
1.530000000000000027e+00,5.300788251749544155e-01,9.927882132531683501e-01,-7.700594384830518058e-01
1.530999999999999917e+00,5.304809443787137369e-01,9.925948165058607886e-01,-7.700594384830518058e-01
1.532000000000000028e+00,5.308805234828580799e-01,9.924001352839757484e-01,-7.700594384830518058e-01
1.532999999999999918e+00,5.312773124199129393e-01,9.922043428608237070e-01,-7.700594384830518058e-01
1.534000000000000030e+00,5.316709837765954960e-01,9.920076572095160028e-01,-7.700594384830518058e-01
1.534999999999999920e+00,5.320614696801750920e-01,9.918101718326193250e-01,-7.700594384830518058e-01
1.536000000000000032e+00,5.324481742208366786e-01,9.916122532157590763e-01,-7.700594384830518058e-01
1.536999999999999700e+00,5.328310635873667600e-01,9.914139888252768706e-01,-7.700594384830518058e-01
1.538000000000000034e+00,5.332098489493773963e-01,9.912156005104016954e-01,-7.700594384830518058e-01
1.538999999999999924e+00,5.335845416193158997e-01,9.910171562817000623e-01,-7.700594384830518058e-01
1.540000000000000036e+00,5.339545244705954374e-01,9.908190613180282158e-01,-7.700594384830518058e-01
1.540999999999999925e+00,5.343195160067504279e-01,9.906215514101085473e-01,-7.700594384830518058e-01
1.542000000000000259e+00,5.346794635296978626e-01,9.904247417932877662e-01,-7.700594384830518058e-01
1.542999999999999927e+00,5.350342535582589543e-01,9.902287813538714900e-01,-7.700594384830518058e-01
1.544000000000000039e+00,5.353831314407827557e-01,9.900341795486465868e-01,-7.700594384830518058e-01
1.544999999999999929e+00,5.357264292777598191e-01,9.898408456825650292e-01,-7.700594384830518058e-01
1.546000000000000041e+00,5.360637089811463030e-01,9.896491202049666480e-01,-7.700594384830518058e-01
1.546999999999999931e+00,5.363945181301353893e-01,9.894593592849154629e-01,-7.700594384830518058e-01
1.548000000000000043e+00,5.367190136153995317e-01,9.892715722668767864e-01,-7.700594384830518058e-01
1.548999999999999932e+00,5.370367133509432733e-01,9.890861378836686146e-01,-7.700594384830518058e-01
1.550000000000000044e+00,5.373473408761328951e-01,9.889033206886034266e-01,-7.700594384830518058e-01
1.550999999999999934e+00,5.376506626843606806e-01,9.887233625952529525e-01,-7.700594384830518058e-01
1.552000000000000046e+00,5.379467795406145392e-01,9.885463067325189757e-01,-7.700594384830518058e-01
1.552999999999999936e+00,5.382351512638335889e-01,9.883725794133718656e-01,-7.700594384830518058e-01
1.554000000000000048e+00,5.385157842047011423e-01,9.882022809796287000e-01,-7.700594384830518058e-01
1.554999999999999716e+00,5.387882952587021990e-01,9.880357476025194430e-01,-7.700594384830518058e-01
1.556000000000000050e+00,5.390525200647682258e-01,9.878731838093965933e-01,-7.700594384830518058e-01
1.556999999999999940e+00,5.393082072492320078e-01,9.877148476261861099e-01,-7.700594384830518058e-01
1.558000000000000052e+00,5.395553812936660920e-01,9.875608252197520809e-01,-7.700594384830518058e-01
1.558999999999999719e+00,5.397935958866106887e-01,9.874114949268352204e-01,-7.700594384830518058e-01
1.560000000000000053e+00,5.400227519787171859e-01,9.872670184051413056e-01,-7.700594384830518058e-01
1.560999999999999943e+00,5.402426661230579352e-01,9.871276085059531580e-01,-7.700594384830518058e-01
1.562000000000000055e+00,5.404531363784936815e-01,9.869934884055301394e-01,-7.700594384830518058e-01
1.562999999999999945e+00,5.406540180162542342e-01,9.868648430327452425e-01,-7.700594384830518058e-01
1.564000000000000057e+00,5.408451113434763480e-01,9.867418902786497803e-01,-7.700594384830518058e-01
1.564999999999999947e+00,5.410261975281883684e-01,9.866248583499707125e-01,-7.700594384830518058e-01
