w_um,g_um,t_um,sign_change,sign_samples,sign_skipped,bracket_start_um,bracket_end_um,delta_w_star_um,abs_err_um,rel_err,n_brackets,tolerance_met,usable_zero,fallback_reason,best_sample_abs_err_um,best_sample_dw_um,ranking_score,L50_te_um,L50_tm_um
1.06,0.29,0.28,True,61,0,0.29000000000000054,0.30000000000000054,0.19943278142030527,0.0072294226137916695,0.0006585667212477054,1,True,True,success,0.007601664493828153,-0.1899999999999999,0.0072294226137916695,10.973895054286741,10.981124476900533
1.08,0.31,0.28,True,61,0,0.2800000000000005,0.29000000000000054,0.22999771160931748,0.008369551331293579,0.0007177496713751995,1,True,True,success,0.008395931937609902,0.23000000000000048,0.008369551331293579,11.656637465127055,11.665007016458349
1.09,0.28,0.28,True,61,0,0.2700000000000005,0.2800000000000005,0.23162422375257147,0.012077872828488267,0.0012133909948538108,1,True,True,success,0.016125156023107934,0.22000000000000047,0.012077872828488267,9.959856691542226,9.947778818713738
1.08,0.26,0.28,True,61,0,0.2700000000000005,0.2800000000000005,0.23924359296770592,0.018469292962292272,0.001771933973482798,1,True,True,success,0.01181455986794866,0.2500000000000005,0.018469292962292272,10.414005292866163,10.432474585828455
1.08,0.27,0.28,True,61,0,0.2700000000000005,0.2800000000000005,-0.1171373976932146,0.019335214063534778,0.001664499410319879,1,True,True,success,0.01431511330001456,0.21000000000000046,0.019335214063534778,11.60656604475366,11.625901258817194
1.05,0.32,0.28,True,61,0,0.20000000000000046,0.21000000000000046,0.17135531309069543,0.03492296309927312,0.0033939593118780323,1,True,True,success,0.004272043266908554,-0.26999999999999996,0.03492296309927312,10.272279758733132,10.307202721832406
1.07,0.26,0.28,True,61,0,0.29000000000000054,0.30000000000000054,-0.2216247786076086,0.036527753136445185,0.003987852630000993,1,True,True,success,0.012734652345988806,-0.13999999999999985,0.036527753136445185,9.17801889400378,9.141491140867334
1.07,0.28,0.28,True,61,0,0.2800000000000005,0.29000000000000054,-0.21647125984851928,0.039311127896587195,0.004064832418176405,1,True,True,success,0.004167281190976979,-0.21999999999999992,0.039311127896587195,9.651377298514273,9.69068842641086
1.07,0.27,0.28,True,61,0,0.20000000000000046,0.21000000000000046,-0.175202011079475,0.04217614961441285,0.0035594270358581836,1,True,True,success,0.02248858424227862,0.22000000000000047,0.04217614961441285,11.828052022608532,11.870228172222944
1.05,0.3,0.28,True,61,0,0.2800000000000005,0.29000000000000054,0.18883233207320962,0.045341146606723726,0.004142843789876896,1,True,True,success,0.00105744701496846,-0.1999999999999999,0.045341146606723726,10.921779400290992,10.967120546897716
1.07,0.32,0.28,True,61,0,0.2800000000000005,0.29000000000000054,0.2164583263295342,0.04789498000963022,0.0037333252131782706,1,True,True,success,0.04120742632475327,-0.24999999999999994,0.04789498000963022,12.852987896280071,12.805092916270441
1.1,0.26,0.28,True,61,0,0.2400000000000005,0.2500000000000005,0.2712576227141743,0.05128841662212302,0.004718170294198294,1,True,True,success,0.024135026225181377,0.21000000000000046,0.05128841662212302,10.844759661000293,10.896048077622416
1.07,0.31,0.28,True,61,0,0.2800000000000005,0.29000000000000054,0.21636586883141404,0.06013299032304609,0.004761716466050368,1,True,True,success,0.021037871170941358,-0.14999999999999986,0.06013299032304609,12.658493817908804,12.598360827585758
1.05,0.31,0.28,True,61,0,0.2700000000000005,0.2800000000000005,0.20991007633492642,0.06068128202996981,0.005434560889112578,1,True,True,success,0.006378336399178508,-0.2099999999999999,0.06068128202996981,11.135470777445098,11.196152059475068
1.12,0.28,0.28,True,61,0,0.2500000000000005,0.2600000000000005,-0.2246272060761428,0.06239363289198607,0.00545878885723858,1,True,True,success,0.016116402078335312,0.17000000000000043,0.06239363289198607,11.461137509105233,11.398743876213247
1.14,0.26,0.28,True,61,0,0.29000000000000054,0.30000000000000054,0.29086092036458644,0.06692807485232422,0.005844106299859363,1,True,True,success,0.016914093456101398,0.2500000000000005,0.06692807485232422,11.485698377163416,11.418770302311092
1.09,0.26,0.28,True,61,0,0.2800000000000005,0.29000000000000054,0.21989565757735316,0.06927577859271139,0.005965319432550198,1,True,True,success,0.060983184224232545,0.2800000000000005,0.06927577859271139,11.647725734132138,11.578449955539426
1.06,0.31,0.28,True,61,0,0.29000000000000054,0.30000000000000054,0.29413519702955004,0.07141504366035534,0.006673212455420588,1,True,True,success,0.0008652367931514249,-0.1999999999999999,0.07141504366035534,10.7374563628019,10.666041319141545
1.12,0.31,0.28,True,61,0,0.2500000000000005,0.2600000000000005,0.30956139039430414,0.07194217123427293,0.005754040707362734,1,True,True,success,0.010360250634263934,0.29000000000000054,0.07194217123427293,12.466924686777633,12.538866858011906
1.06,0.3,0.28,True,61,0,0.29000000000000054,0.30000000000000054,0.20274856144057213,0.07306059806744791,0.005832472639027026,1,True,True,success,0.008682193692036932,0.21000000000000046,0.07306059806744791,12.563052511684154,12.489991913616706
1.13,0.27,0.28,True,61,0,0.23000000000000048,0.2400000000000005,-0.1908395909895721,0.09137400299841403,0.008457833126241198,1,True,True,success,0.0377196303680023,-0.26999999999999996,0.09137400299841403,10.849163688089044,10.75778968509063
1.1,0.28,0.28,True,61,0,0.29000000000000054,0.30000000000000054,-0.2584439244142009,0.09224441467862299,0.00793077307518868,1,True,True,success,0.022360531520456917,-0.23999999999999994,0.09224441467862299,11.585078660985674,11.677323075664297
1.1,0.32,0.28,True,61,0,0.2400000000000005,0.2500000000000005,-0.25508749392891206,0.09299027860796372,0.0075472130400915565,1,True,True,success,0.02624252276915051,0.21000000000000046,0.09299027860796372,12.367636481676323,12.27464620306836
1.06,0.28,0.28,True,61,0,0.19000000000000045,0.20000000000000046,0.1827450017145788,0.09566720167569542,0.007904308027634668,1,True,True,success,0.052399635009741985,-0.21999999999999992,0.09566720167569542,12.151005863511351,12.055338661835656
1.05,0.29,0.28,True,61,0,0.2600000000000005,0.2700000000000005,0.18878109481938785,0.10230842528149253,0.009524297678293077,1,True,True,success,0.007213840915474279,-0.12999999999999984,0.10230842528149253,10.690679856097434,10.792988281378927
1.1,0.3,0.28,True,61,0,0.29000000000000054,0.30000000000000054,0.24385037249248193,0.10521924967415153,0.009016563535232981,1,True,True,success,0.05628755009678699,0.21000000000000046,0.10521924967415153,11.61694155871511,11.722160808389262
