w_um,g_um,t_um,sign_change,sign_samples,sign_skipped,bracket_start_um,bracket_end_um,delta_w_star_um,abs_err_um,rel_err,n_brackets,tolerance_met,usable_zero,fallback_reason,best_sample_abs_err_um,best_sample_dw_um,ranking_score,L50_te_um,L50_tm_um
1.1,0.28,0.28,True,61,0,0.29000000000000054,0.30000000000000054,0.22613883761467396,0.003300246761993364,0.00029491777324815936,1,True,True,success,0.022360531520456917,-0.23999999999999994,0.003300246761993364,11.192046435021268,11.188746188259275
1.05,0.28,0.28,True,61,0,0.2700000000000005,0.2800000000000005,-0.18771652836674496,0.004811809946790646,0.00044942300576360667,1,True,True,success,0.01834452581137569,0.11000000000000038,0.004811809946790646,10.704233241402711,10.709045051349502
1.05,0.3,0.34,True,60,1,0.2800000000000005,0.29000000000000054,-0.23690968717632782,0.04890350260103027,0.0044157618893397544,1,True,True,success,0.06357882096592249,-0.21999999999999992,0.04890350260103027,11.050308126284808,11.099211628885838
1.05,0.32,0.28,True,61,0,0.20000000000000046,0.21000000000000046,-0.19221660034427648,0.06224473476112102,0.005484311068273873,1,True,True,success,0.004272043266908554,-0.26999999999999996,0.06224473476112102,11.380721977293254,11.318477242532133
1.05,0.34,0.28,True,61,0,0.21000000000000046,0.22000000000000047,0.19402337642310866,0.07747011750535293,0.006612660390742688,1,True,True,success,0.018009541750641844,-0.23999999999999994,0.07747011750535293,11.75415864436525,11.676688526859897
1.05,0.3,0.32,True,60,1,0.2800000000000005,0.29000000000000054,-0.22880223176258646,0.11152384931761361,0.008774170781030297,1,True,True,success,0.08810899659886395,-0.21999999999999992,0.11152384931761361,12.766233614898468,12.654709765580854
1.05,0.26,0.3,True,61,0,0.2700000000000005,0.2800000000000005,0.2843903877180588,0.21449183553877837,0.02210452413431403,1,False,False,L50 mismatch 0.214 µm (rel 2.21%),0.05138116505946755,0.2400000000000005,1.2144918355387784,9.596280574611022,9.8107724101498
1.1,0.26,0.3,True,60,1,0.29000000000000054,0.30000000000000054,-0.2708002707260381,0.8154085919484526,0.07904017807060594,1,False,False,L50 mismatch 0.815 µm (rel 7.90%),0.36948263687763117,0.30000000000000054,1.8154085919484526,10.724085304378013,9.90867671242956
1.05,0.3,0.3,True,60,1,0.2800000000000005,0.29000000000000054,0.21894087624940228,1.7672280820254027,0.14258124554555118,1,False,False,L50 mismatch 1.767 µm (rel 14.26%),0.06064311574601433,-0.21999999999999992,2.7672280820254027,13.278147945268833,11.51091986324343
1.05,0.26,0.34,True,61,0,0.2600000000000005,0.2700000000000005,-0.1805160151992486,0.0034475347728690764,0.0003338225383388676,0,True,False,solver could not retain bracket,0.00440344120857894,0.2600000000000005,10.003447534772869,10.329171368810636,10.325723834037767
1.05,0.32,0.3,True,60,1,0.2400000000000005,0.2500000000000005,0.22221012009130653,0.008064412563360435,0.0007244510384812382,0,True,False,solver could not retain bracket,0.05051015613169696,-0.21999999999999992,10.00806441256336,11.135788715689024,11.127724303125664
1.1,0.3,0.28,True,61,0,0.29000000000000054,0.30000000000000054,0.2882773528330954,0.015594293070007481,0.0014286552398143383,0,True,False,solver could not retain bracket,0.05628755009678699,0.21000000000000046,10.015594293070007,10.907567621268631,10.923161914338639
1.05,0.3,0.28,True,61,0,0.2800000000000005,0.29000000000000054,0.13352515449334051,0.015851213646710605,0.0013523417612588868,0,True,False,solver could not retain bracket,0.00105744701496846,-0.1999999999999999,10.01585121364671,11.713381906415611,11.729233120062322
1.1,0.26,0.28,True,61,0,0.2400000000000005,0.2500000000000005,-0.25558593914019184,0.017227417972671688,0.0018240283214943367,0,True,False,solver could not retain bracket,0.024135026225181377,0.21000000000000046,10.017227417972672,9.453323404369856,9.436095986397184
1.05,0.34,0.32,True,61,0,0.21000000000000046,0.22000000000000047,0.210914069779085,0.022046310399057134,0.0019018244632269241,0,True,False,solver could not retain bracket,0.01680955983674437,-0.17999999999999988,10.022046310399057,11.581166778907226,11.603213089306283
1.1,0.3,0.32,True,61,0,0.29000000000000054,0.30000000000000054,-0.266150086556936,0.027418017318002086,0.002791052066077275,0,True,False,solver could not retain bracket,0.012338373454845453,-0.26999999999999996,10.027418017318002,9.837251052622781,9.809833035304779
1.05,0.26,0.28,True,61,0,0.20000000000000046,0.21000000000000046,0.18193711695101733,0.039098780823056956,0.003851523674625881,0,True,False,solver could not retain bracket,0.012419134381524088,-0.1999999999999999,10.039098780823057,10.171059318973716,10.13196053815066
1.05,0.28,0.34,True,61,0,0.2700000000000005,0.2800000000000005,0.2315106756457764,0.0440355299197801,0.0041924614743902525,0,True,False,solver could not retain bracket,0.06484539561678915,-0.21999999999999992,10.04403552991978,10.481484816702972,10.525520346622752
1.05,0.34,0.34,True,61,0,0.21000000000000046,0.22000000000000047,0.22452416482875295,0.044272586820857995,0.0037280359350608844,0,True,False,solver could not retain bracket,0.007223068308652714,-0.21999999999999992,10.044272586820858,11.897715711647704,11.853443124826846
1.1,0.26,0.32,True,61,0,0.29000000000000054,0.30000000000000054,0.19839934666003828,0.05092884496235328,0.0046781880041000465,0,True,False,solver could not retain bracket,0.009787943928291298,0.2500000000000005,10.050928844962353,10.86098240644454,10.911911251406893
1.1,0.28,0.3,True,59,2,0.2800000000000005,0.30000000000000054,0.3009316191406026,0.05581703458636511,0.005702046459784173,0,True,False,solver could not retain bracket,0.21262154397534339,0.30000000000000054,10.055817034586365,9.76103918420938,9.816856218795746
