timestamp,geometry,wg_width_um,wg_thick_um,gap_um,delta_w_um,w1_um,w2_um,trim_offset,total_trim_factor,coupling_length_um,eta_te_1550,eta_tm_1550,V_te_1550,V_tm_1550,score,DeltaEta_avg,Vbar_avg
2025-11-21T00:25:58,w1p080_t0p275_g0p255_bbalance,1.08,0.275,0.255,-0.323581,0.9182095000000001,1.2417905,0.0,0.0,8.488894967556748,0.5010714518299544,0.5015082254515028,0.9999908159699822,0.9999818022134808,0.9497299430302515,0.0038297533457573247,0.9998339245595499
2025-11-21T00:19:31,w1p080_t0p280_g0p255_bbalance,1.08,0.28,0.255,-0.323581,0.9182095000000001,1.2417905,0.0,0.0,8.673848027927379,0.4888056668295297,0.49145368679440243,0.9989979974950889,0.9994158549073252,0.9485918906864839,0.003459068819871839,0.9988792684658645
2025-11-20T17:15:21,w1p080_t0p280_g0p260_bbalance,1.08,0.28,0.26,-0.323581,0.9182095000000001,1.2417905,0.0,0.0,8.72064987925349,0.48972404413732334,0.48871072265889043,0.9991555945097658,0.9989809372460787,0.9484533722950661,0.0033271536259304874,0.9987109289431946
2025-11-20T17:31:31,w1p080_t0p275_g0p260_bbalance,1.08,0.275,0.26,-0.323581,0.9182095000000001,1.2417905,0.0,0.0,8.528597241670939,0.5024480682754361,0.49874072747742,0.9999520568430511,0.9999873139421795,0.9469134148710909,0.005115446267915547,0.9997872936152767
2025-11-20T17:28:31,w1p080_t0p270_g0p260_bbalance,1.08,0.27,0.26,-0.323581,0.9182095000000001,1.2417905,0.0,0.0,8.822627544998552,0.4980002685033215,0.5026825099058091,0.9999680091032463,0.9999424347817668,0.9459026539704214,0.004897037924558324,0.9998098675445308
2025-11-20T17:22:39,w1p085_t0p280_g0p260_bbalance,1.085,0.28,0.26,-0.323581,0.9232095,1.2467905,0.0,0.0,9.579982096118295,0.4729656240393173,0.4802776243240504,0.994170183192299,0.9968930572378055,0.9341891378207472,0.006571716545646598,0.9952324813926319
2025-11-20T17:11:58,w1p070_t0p280_g0p260_bbalance,1.07,0.28,0.26,-0.323581,0.9082095000000001,1.2317905,0.0,0.0,9.709143031424842,0.47752024336153215,0.49151957252267,0.9959654396220292,0.9994248242595647,0.9231114565006459,0.012980200745852882,0.9976175731494759
2025-11-18T23:14:49,w1p060_t0p280_g0p260_bbalance,1.06,0.28,0.26,-0.323581,0.8982095000000001,1.2217905,0.0,0.0,9.606750115232511,0.47387858043486825,0.48965366589873405,0.9945562292801661,0.9991439934957637,0.9189501319715697,0.014853040075370425,0.9966899626984731
2025-11-18T15:04:36,w1p100_t0p280_g0p260_bbalance,1.1,0.28,0.26,0.274024,1.237012,0.9629880000000001,0.0,0.0,10.531900262046078,0.49550558530275546,0.5272330250628795,0.999838414948153,0.9940844475531536,0.8816816077123498,0.03124394449628254,0.9968289980151452
2025-11-18T13:26:08,w1p100_t0p290_g0p280_bbalance,1.1,0.29,0.28,0.23862757534191673,1.2193137876709585,0.9806862123290417,0.0,0.0,11.176358902669039,0.48724918487399227,0.5335276665287304,0.9987001790256418,0.9910474191599791,0.8585806856085181,0.03997631883553791,0.9944151177929391
2025-11-12T09:54:36,w1p100_t0p280_g0p280_bbalance,1.1,0.28,0.28,-0.24597936805145523,0.9770103159742725,1.2229896840257277,-0.15,-0.15,11.549955392735521,0.4750848516411346,0.5370049509432105,0.9950461836736387,0.9891047472175956,0.8119705210517573,0.06110085742111526,0.9919220128576653
2025-11-12T10:04:32,w1p100_t0p280_g0p280_bbalance,1.1,0.28,0.28,-0.24597936805145523,0.9770103159742725,1.2229896840257277,-0.09,-0.09,11.549954867200203,0.4751423047789059,0.5364859536877987,0.9950689475943393,0.9894066102014972,0.8118007067441315,0.06134364890889282,0.9922377788979182
2025-11-18T13:21:18,w1p100_t0p285_g0p280_bbalance,1.1,0.285,0.28,-0.22310227335810284,0.9884488633209487,1.2115511366790515,0.0,0.0,11.460051459327486,0.4607246412822637,0.5346680178625438,0.9877352457539366,0.9904310309830077,0.7848622491736424,0.07350492036832407,0.989172347206928
2025-11-20T17:18:18,w1p090_t0p280_g0p260_bbalance,1.09,0.28,0.26,-0.323581,0.9282095000000001,1.2517905,0.0,0.0,10.430197961629624,0.4695876904673081,0.6196639832777934,0.992628005116119,0.8916502900536961,0.5932059380534035,0.14880613473119889,0.9429691973239493
2025-11-18T13:08:38,w1p100_t0p280_g0p280_bbalance,1.1,0.28,0.28,-0.24597936805145523,0.9770103159742725,1.2229896840257277,0.0,0.0,11.549954881280412,0.46481431820242725,0.6283345124984405,0.9901445478401378,0.8763856139200512,0.5602839043659668,0.15911012921308115,0.9362539371985311
2025-11-18T11:03:24,w1p060_t0p280_g0p290_bbalance,1.06,0.28,0.29,0.19416470583071027,1.157082352915355,0.9629176470846449,-0.15,-0.15,10.902742732479632,0.3614045573978365,0.6243122524364246,0.8572951249730582,0.8835688058066995,0.29010286165030447,0.26290769503858813,0.8704319653898789
2025-11-18T13:02:41,w1p060_t0p280_g0p290_bbalance,1.06,0.28,0.29,0.19416470583071027,1.157082352915355,0.9629176470846449,0.0,0.0,10.90274277678647,0.3603039671111895,0.6241241695167777,0.8551844391828133,0.8839004207188247,0.2869989736392258,0.2638419178273842,0.8691965231779265
2025-11-18T13:18:24,w1p090_t0p280_g0p280_bbalance,1.09,0.28,0.28,0.21487918175310994,1.197439590876555,0.9825604091234451,0.0,0.0,12.275117484907485,0.3461515235208502,0.6089450937454968,0.8270222559182956,0.9093513784750252,0.2807916943554467,0.26268429923570763,0.8675358802513994
