lambda_um,eta,V
1.530000000000000027e+00,7.106286042824326854e-01,6.985749119506352578e-01
1.530999999999999917e+00,6.083635451791676862e-01,9.102732583451015325e-01
1.532000000000000028e+00,6.091483669333542794e-01,9.090281936659446727e-01
1.532999999999999918e+00,6.098178208220806917e-01,9.079603457406537625e-01
1.534000000000000030e+00,6.103506516113135216e-01,9.071066192551214824e-01
1.534999999999999920e+00,6.107258951913491218e-01,9.065033676460722001e-01
1.536000000000000032e+00,6.109185611326651832e-01,9.061929858359176748e-01
1.536999999999999700e+00,6.109170280919594687e-01,9.061954572709649547e-01
1.538000000000000034e+00,6.107080515925462638e-01,9.065320912112092566e-01
1.538999999999999924e+00,6.102759910664121712e-01,9.072264467116420983e-01
1.540000000000000036e+00,6.096333517956586956e-01,9.082551251463117925e-01
1.540999999999999925e+00,6.087842572560381305e-01,9.096067434659502737e-01
1.542000000000000259e+00,6.077522130489810825e-01,9.112379841972023664e-01
1.542999999999999927e+00,6.065495394253211936e-01,9.131227661405261209e-01
1.544000000000000039e+00,6.052153883204658413e-01,9.151931194404676617e-01
1.544999999999999929e+00,6.037710178933211047e-01,9.174100607500614846e-01
1.546000000000000041e+00,6.022560169505357663e-01,9.197078873998689730e-01
1.546999999999999931e+00,6.006944182174395186e-01,9.220466627446185504e-01
1.548000000000000043e+00,5.991058513034374089e-01,9.243946170406283080e-01
1.548999999999999932e+00,5.975189779580878380e-01,9.267083900014427833e-01
1.550000000000000044e+00,5.959329393716424894e-01,9.289890604555252063e-01
1.550999999999999934e+00,5.943681844753019305e-01,9.312076471553425439e-01
1.552000000000000046e+00,5.928029144522900529e-01,9.333954476592342120e-01
1.552999999999999936e+00,5.912306410029880555e-01,9.355610697010082744e-01
1.554000000000000048e+00,5.896362397426593294e-01,9.377242141338987258e-01
1.554999999999999716e+00,5.879989921396940877e-01,9.399107025033073270e-01
1.556000000000000050e+00,5.862963378879019194e-01,9.421468787201680017e-01
1.556999999999999940e+00,5.845099407723223228e-01,9.444514545966110619e-01
1.558000000000000052e+00,5.826286752744235242e-01,9.468320329297337246e-01
1.558999999999999719e+00,5.806401345414582416e-01,9.492962220655748462e-01
1.560000000000000053e+00,5.785454151088174068e-01,9.518335705789685575e-01
1.560999999999999943e+00,5.763546301743750488e-01,9.544226331885917736e-01
1.562000000000000055e+00,5.740858292526151985e-01,9.570336388329311328e-01
1.562999999999999945e+00,5.717585548698737030e-01,9.596370407847368833e-01
1.564000000000000057e+00,5.694117131409501820e-01,9.621848834277169082e-01
1.564999999999999947e+00,5.670813931791697238e-01,9.646372114448467094e-01
