lambda_um,eta,V,delta_phi
1.530000000000000027e+00,5.414127788647580264e-01,9.863733338979757681e-01,-8.677751358900845924e-01
1.530999999999999917e+00,5.420758178948177353e-01,9.859365943640142627e-01,-8.677751358900845924e-01
1.532000000000000028e+00,5.427294362099487346e-01,9.854994628460834738e-01,-8.677751358900845924e-01
1.532999999999999918e+00,5.433746425340424402e-01,9.850615415302510502e-01,-8.677751358900845924e-01
1.534000000000000030e+00,5.440183701985358278e-01,9.846182802023600855e-01,-8.677751358900845924e-01
1.534999999999999920e+00,5.446610531634056285e-01,9.841694259073300310e-01,-8.677751358900845924e-01
1.536000000000000032e+00,5.453119287372796276e-01,9.837084304182645011e-01,-8.677751358900845924e-01
1.536999999999999700e+00,5.459672066930230105e-01,9.832378003157894453e-01,-8.677751358900845924e-01
1.538000000000000034e+00,5.466184889904238675e-01,9.827635704666983774e-01,-8.677751358900845924e-01
1.538999999999999924e+00,5.472653495928017087e-01,9.822861854105335855e-01,-8.677751358900845924e-01
1.540000000000000036e+00,5.479047064724035243e-01,9.818081042633945987e-01,-8.677751358900845924e-01
1.540999999999999925e+00,5.485289778403548144e-01,9.813353322540403489e-01,-8.677751358900845924e-01
1.542000000000000259e+00,5.491316078097344677e-01,9.808733612244787681e-01,-8.677751358900845924e-01
1.542999999999999927e+00,5.497005143292797991e-01,9.804322117966740580e-01,-8.677751358900845924e-01
1.544000000000000039e+00,5.502357579868955018e-01,9.800127111532371815e-01,-8.677751358900845924e-01
1.544999999999999929e+00,5.507363808937498773e-01,9.796164410576938542e-01,-8.677751358900845924e-01
1.546000000000000041e+00,5.511984337751614227e-01,9.792473569529699384e-01,-8.677751358900845924e-01
1.546999999999999931e+00,5.516189339436486927e-01,9.789086777902049619e-01,-8.677751358900845924e-01
1.548000000000000043e+00,5.520006022478330943e-01,9.785989777453458771e-01,-8.677751358900845924e-01
1.548999999999999932e+00,5.523527729950468146e-01,9.783112762084605896e-01,-8.677751358900845924e-01
1.550000000000000044e+00,5.526799761928467003e-01,9.780423070582472400e-01,-8.677751358900845924e-01
1.550999999999999934e+00,5.529902115185791889e-01,9.777858063580782133e-01,-8.677751358900845924e-01
1.552000000000000046e+00,5.532853907038002284e-01,9.775404180171507473e-01,-8.677751358900845924e-01
1.552999999999999936e+00,5.535778420176301617e-01,9.772960136624546656e-01,-8.677751358900845924e-01
1.554000000000000048e+00,5.538779293763779199e-01,9.770439005426373447e-01,-8.677751358900845924e-01
1.554999999999999716e+00,5.541933896842182738e-01,9.767774238336198733e-01,-8.677751358900845924e-01
1.556000000000000050e+00,5.545266605963796724e-01,9.764942909011248284e-01,-8.677751358900845924e-01
1.556999999999999940e+00,5.548796608865489421e-01,9.761925929883367159e-01,-8.677751358900845924e-01
1.558000000000000052e+00,5.552565659481981664e-01,9.758684180430989841e-01,-8.677751358900845924e-01
1.558999999999999719e+00,5.556593774588493018e-01,9.755196270882277032e-01,-8.677751358900845924e-01
1.560000000000000053e+00,5.560865364400401356e-01,9.751471221894323360e-01,-8.677751358900845924e-01
1.560999999999999943e+00,5.565299288743114081e-01,9.747575989170385036e-01,-8.677751358900845924e-01
1.562000000000000055e+00,5.569858193708568939e-01,9.743540599465619900e-01,-8.677751358900845924e-01
1.562999999999999945e+00,5.574424156898257765e-01,9.739468146424905548e-01,-8.677751358900845924e-01
1.564000000000000057e+00,5.579030097237317465e-01,9.735328831274397965e-01,-8.677751358900845924e-01
1.564999999999999947e+00,5.583582880744886179e-01,9.731206525800754070e-01,-8.677751358900845924e-01
