lambda_um,eta_TE,eta_TM,delta_eta,V_TE,V_TM,delta_phi_TE,delta_phi_TM,delta_delta_phi
1.550000000000000044e+00,3.603039671111895048e-01,6.241241695167777381e-01,2.638202024055882333e-01,8.551844391828132830e-01,8.839004207188246864e-01,-1.054718681892207188e+00,-1.464651190000698877e+00,4.099325081084916889e-01
1.550999999999999934e+00,3.604930517289466896e-01,6.248083147748318966e-01,2.643152630458852070e-01,8.555479066219253692e-01,8.826923365644234742e-01,-1.054718681892207188e+00,-1.464651190000698877e+00,4.099325081084916889e-01
1.552000000000000046e+00,3.606591582683871255e-01,6.254888168853350860e-01,2.648296586169479605e-01,8.558669156208161821e-01,8.814856468545169133e-01,-1.054718681892207188e+00,-1.464651190000698877e+00,4.099325081084916889e-01
1.552999999999999936e+00,3.608032517368451320e-01,6.261666617839886095e-01,2.653634100471434776e-01,8.561434292018177405e-01,8.802786952619112704e-01,-1.054718681892207188e+00,-1.464651190000698877e+00,4.099325081084916889e-01
1.554000000000000048e+00,3.609249598551533267e-01,6.268409845907322309e-01,2.659160247355789042e-01,8.563768268059235300e-01,8.790731114881533692e-01,-1.054718681892207188e+00,-1.464651190000698877e+00,4.099325081084916889e-01
1.554999999999999716e+00,3.610249338216703352e-01,6.275121779002527100e-01,2.664872440785823748e-01,8.565684363271116597e-01,8.778682876209393804e-01,-1.054718681892207188e+00,-1.464651190000698877e+00,4.099325081084916889e-01
1.556000000000000050e+00,3.611032119681368280e-01,6.281805867607449523e-01,2.670773747926081243e-01,8.567183951736131453e-01,8.766636894151509374e-01,-1.054718681892207188e+00,-1.464651190000698877e+00,4.099325081084916889e-01
1.556999999999999940e+00,3.611601933025634925e-01,6.288459440380519405e-01,2.676857507354884480e-01,8.568275174259346594e-01,8.754598817868106675e-01,-1.054718681892207188e+00,-1.464651190000698877e+00,4.099325081084916889e-01
1.558000000000000052e+00,3.611959475167371703e-01,6.295084539043895866e-01,2.683125063876524163e-01,8.568959723106051030e-01,8.742565787095709640e-01,-1.054718681892207188e+00,-1.464651190000698877e+00,4.099325081084916889e-01
1.558999999999999719e+00,3.612103792576880634e-01,6.301683248077192268e-01,2.689579455500311633e-01,8.569235997028675778e-01,8.730534798611643277e-01,-1.054718681892207188e+00,-1.464651190000698877e+00,4.099325081084916889e-01
1.560000000000000053e+00,3.612037779459823517e-01,6.308255518274984430e-01,2.696217738815160914e-01,8.569109627413059593e-01,8.718506696666197264e-01,-1.054718681892207188e+00,-1.464651190000698877e+00,4.099325081084916889e-01
1.560999999999999943e+00,3.611762107590111293e-01,6.314803536212427737e-01,2.703041428622316444e-01,8.568581859440317361e-01,8.706478205439581730e-01,-1.054718681892207188e+00,-1.464651190000698877e+00,4.099325081084916889e-01
1.562000000000000055e+00,3.611274745240463657e-01,6.321325613139758826e-01,2.710050867899295168e-01,8.567648631499500400e-01,8.694453141512151761e-01,-1.054718681892207188e+00,-1.464651190000698877e+00,4.099325081084916889e-01
1.562999999999999945e+00,3.610576230589989666e-01,6.327823262891165701e-01,2.717247032301176035e-01,8.566310670126414673e-01,8.682429423723561079e-01,-1.054718681892207188e+00,-1.464651190000698877e+00,4.099325081084916889e-01
1.564000000000000057e+00,3.609666972611919045e-01,6.334298679491279227e-01,2.724631706879360182e-01,8.564568324196381033e-01,8.670403658722231066e-01,-1.054718681892207188e+00,-1.464651190000698877e+00,4.099325081084916889e-01
1.564999999999999947e+00,3.608544113682420340e-01,6.340750358858883162e-01,2.732206245176462822e-01,8.562415548852688740e-01,8.658379293902412899e-01,-1.054718681892207188e+00,-1.464651190000698877e+00,4.099325081084916889e-01
