lambda_um,eta,V,delta_phi
1.530000000000000027e+00,4.366835723019342197e-01,9.684344216963293173e-01,-1.054718681892207188e+00
1.530999999999999917e+00,4.372336466273553102e-01,9.689720320801090692e-01,-1.054718681892207188e+00
1.532000000000000028e+00,4.377728146788411601e-01,9.694947123128015987e-01,-1.054718681892207188e+00
1.532999999999999918e+00,4.383013372684596010e-01,9.700029620324880364e-01,-1.054718681892207188e+00
1.534000000000000030e+00,4.388191428482173806e-01,9.704969528477894736e-01,-1.054718681892207188e+00
1.534999999999999920e+00,4.393265880167758208e-01,9.709772580025156641e-01,-1.054718681892207188e+00
1.536000000000000032e+00,4.398238178839222190e-01,9.714442382491476069e-01,-1.054718681892207188e+00
1.536999999999999700e+00,4.403107823582542713e-01,9.718980649787085646e-01,-1.054718681892207188e+00
1.538000000000000034e+00,4.407879337506602213e-01,9.723393699704503401e-01,-1.054718681892207188e+00
1.538999999999999924e+00,4.412552173205852579e-01,9.727683048813365874e-01,-1.054718681892207188e+00
1.540000000000000036e+00,4.417129467784894348e-01,9.731853536483960898e-01,-1.054718681892207188e+00
1.540999999999999925e+00,4.421611941539598800e-01,9.735907703906502286e-01,-1.054718681892207188e+00
1.542000000000000259e+00,4.426001944713761072e-01,9.739849496679644503e-01,-1.054718681892207188e+00
1.542999999999999927e+00,4.430297045650609666e-01,9.743678517982757858e-01,-1.054718681892207188e+00
1.544000000000000039e+00,4.434504460316239793e-01,9.747402908193709692e-01,-1.054718681892207188e+00
1.544999999999999929e+00,4.438621319651593899e-01,9.751021761860265702e-01,-1.054718681892207188e+00
1.546000000000000041e+00,4.442652580686812791e-01,9.754541020600597800e-01,-1.054718681892207188e+00
1.546999999999999931e+00,4.446597129053887487e-01,9.757961230733434022e-01,-1.054718681892207188e+00
1.548000000000000043e+00,4.450458092372841512e-01,9.761286576316379193e-01,-1.054718681892207188e+00
1.548999999999999932e+00,4.454234736437869269e-01,9.764517847617530943e-01,-1.054718681892207188e+00
1.550000000000000044e+00,4.457929881310017106e-01,9.767658834389043587e-01,-1.054718681892207188e+00
1.550999999999999934e+00,4.461545399854380811e-01,9.770712439347413181e-01,-1.054718681892207188e+00
1.552000000000000046e+00,4.465082458976744051e-01,9.773680908054402927e-01,-1.054718681892207188e+00
1.552999999999999936e+00,4.468543013584628798e-01,9.776567091248605790e-01,-1.054718681892207188e+00
1.554000000000000048e+00,4.471928096660212626e-01,9.779373013013344940e-01,-1.054718681892207188e+00
1.554999999999999716e+00,4.475238704882148477e-01,9.782100623071171563e-01,-1.054718681892207188e+00
1.556000000000000050e+00,4.478477004484864299e-01,9.784752783320213032e-01,-1.054718681892207188e+00
1.556999999999999940e+00,4.481643746278192175e-01,9.787331142465945932e-01,-1.054718681892207188e+00
1.558000000000000052e+00,4.484741669382590890e-01,9.789838918449587091e-01,-1.054718681892207188e+00
1.558999999999999719e+00,4.487771227898879611e-01,9.792277424004249831e-01,-1.054718681892207188e+00
1.560000000000000053e+00,4.490733540012258884e-01,9.794648474031961705e-01,-1.054718681892207188e+00
1.560999999999999943e+00,4.493630516342136949e-01,9.796954473393557628e-01,-1.054718681892207188e+00
1.562000000000000055e+00,4.496464822053545252e-01,9.799198371105493077e-01,-1.054718681892207188e+00
1.562999999999999945e+00,4.499235792628160091e-01,9.801380438607305567e-01,-1.054718681892207188e+00
1.564000000000000057e+00,4.501946027085285684e-01,9.803503491401425185e-01,-1.054718681892207188e+00
1.564999999999999947e+00,4.504595876624131745e-01,9.805568539193477706e-01,-1.054718681892207188e+00
