lambda_um,eta,V,delta_phi
1.530000000000000027e+00,4.787923118068138639e-01,9.964083333307623969e-01,-2.538382682816578306e+00
1.530999999999999917e+00,4.787017268667011494e-01,9.963776411384176468e-01,-2.538382682816578306e+00
1.532000000000000028e+00,4.786142982862161555e-01,9.963478952323913118e-01,-2.538382682816578306e+00
1.532999999999999918e+00,4.785298620816791360e-01,9.963190526006481251e-01,-2.538382682816578306e+00
1.534000000000000030e+00,4.784483220299348138e-01,9.962910921905948625e-01,-2.538382682816578306e+00
1.534999999999999920e+00,4.783700467058397132e-01,9.962641523022374157e-01,-2.538382682816578306e+00
1.536000000000000032e+00,4.782944870402276449e-01,9.962380551069739409e-01,-2.538382682816578306e+00
1.536999999999999700e+00,4.782218732530713612e-01,9.962128902678518694e-01,-2.538382682816578306e+00
1.538000000000000034e+00,4.781520995906348714e-01,9.961886311159265928e-01,-2.538382682816578306e+00
1.538999999999999924e+00,4.780851014356438666e-01,9.961652644902436737e-01,-2.538382682816578306e+00
1.540000000000000036e+00,4.780209108608809432e-01,9.961428104549637785e-01,-2.538382682816578306e+00
1.540999999999999925e+00,4.779593556328889381e-01,9.961212170629760720e-01,-2.538382682816578306e+00
1.542000000000000259e+00,4.779004491132957666e-01,9.961004967208042515e-01,-2.538382682816578306e+00
1.542999999999999927e+00,4.778442858494989509e-01,9.960806902191011725e-01,-2.538382682816578306e+00
1.544000000000000039e+00,4.777906162039757820e-01,9.960617165105283277e-01,-2.538382682816578306e+00
1.544999999999999929e+00,4.777394862915169127e-01,9.960435983058486542e-01,-2.538382682816578306e+00
1.546000000000000041e+00,4.776907888381239364e-01,9.960263036277640092e-01,-2.538382682816578306e+00
1.546999999999999931e+00,4.776446450744553651e-01,9.960098812863633633e-01,-2.538382682816578306e+00
1.548000000000000043e+00,4.776008762352296766e-01,9.959942730617856732e-01,-2.538382682816578306e+00
1.548999999999999932e+00,4.775592968456386922e-01,9.959794175580807263e-01,-2.538382682816578306e+00
1.550000000000000044e+00,4.775202433615321485e-01,9.959654396220292139e-01,-2.538382682816578306e+00
1.550999999999999934e+00,4.774835412254417322e-01,9.959522813004696440e-01,-2.538382682816578306e+00
1.552000000000000046e+00,4.774488706921922176e-01,9.959398317854775140e-01,-2.538382682816578306e+00
1.552999999999999936e+00,4.774164710742432316e-01,9.959281805387697473e-01,-2.538382682816578306e+00
1.554000000000000048e+00,4.773861738054800408e-01,9.959172703078541522e-01,-2.538382682816578306e+00
1.554999999999999716e+00,4.773580857215890538e-01,9.959071426585854869e-01,-2.538382682816578306e+00
1.556000000000000050e+00,4.773318470638536759e-01,9.958976705881196212e-01,-2.538382682816578306e+00
1.556999999999999940e+00,4.773077798006648553e-01,9.958889728170751132e-01,-2.538382682816578306e+00
1.558000000000000052e+00,4.772857265532439719e-01,9.958809948629728792e-01,-2.538382682816578306e+00
1.558999999999999719e+00,4.772655794517104977e-01,9.958736997557945392e-01,-2.538382682816578306e+00
1.560000000000000053e+00,4.772472159976118844e-01,9.958670449056580276e-01,-2.538382682816578306e+00
1.560999999999999943e+00,4.772309169516076310e-01,9.958611337257740059e-01,-2.538382682816578306e+00
1.562000000000000055e+00,4.772163471543058311e-01,9.958558461395459194e-01,-2.538382682816578306e+00
1.562999999999999945e+00,4.772036348913140102e-01,9.958512299387337618e-01,-2.538382682816578306e+00
1.564000000000000057e+00,4.771926435743942818e-01,9.958472366062202097e-01,-2.538382682816578306e+00
1.564999999999999947e+00,4.771834781152757277e-01,9.958439051793086527e-01,-2.538382682816578306e+00
