lambda_um,eta_TE,eta_TM,delta_eta,V_TE,V_TM,delta_phi_TE,delta_phi_TM,delta_delta_phi
1.530000000000000027e+00,4.787923118068138639e-01,4.844813427513426918e-01,5.689030944528827849e-03,9.964083333307623969e-01,9.980752243826039871e-01,-2.538382682816578306e+00,-1.965752432487681833e+00,5.726302503288964729e-01
1.530999999999999917e+00,4.787017268667011494e-01,4.847877216542989531e-01,6.085994787597803768e-03,9.963776411384176468e-01,9.981504047848250849e-01,-2.538382682816578306e+00,-1.965752432487681833e+00,5.726302503288964729e-01
1.532000000000000028e+00,4.786142982862161555e-01,4.850998048309189681e-01,6.485506544702812626e-03,9.963478952323913118e-01,9.982254493845984511e-01,-2.538382682816578306e+00,-1.965752432487681833e+00,5.726302503288964729e-01
1.532999999999999918e+00,4.785298620816791360e-01,4.854175199291347331e-01,6.887657847455597171e-03,9.963190526006481251e-01,9.983002559934458509e-01,-2.538382682816578306e+00,-1.965752432487681833e+00,5.726302503288964729e-01
1.534000000000000030e+00,4.784483220299348138e-01,4.857406258869949589e-01,7.292303857060145056e-03,9.962910921905948625e-01,9.983746838997089590e-01,-2.538382682816578306e+00,-1.965752432487681833e+00,5.726302503288964729e-01
1.534999999999999920e+00,4.783700467058397132e-01,4.860685163430840672e-01,7.698469637244353958e-03,9.962641523022374157e-01,9.984485145927937122e-01,-2.538382682816578306e+00,-1.965752432487681833e+00,5.726302503288964729e-01
1.536000000000000032e+00,4.782944870402276449e-01,4.864016228127157615e-01,8.107135772488116565e-03,9.962380551069739409e-01,9.985217664982685148e-01,-2.538382682816578306e+00,-1.965752432487681833e+00,5.726302503288964729e-01
1.536999999999999700e+00,4.782218732530713612e-01,4.867396928297844094e-01,8.517819576713048235e-03,9.962128902678518694e-01,9.985943027173349584e-01,-2.538382682816578306e+00,-1.965752432487681833e+00,5.726302503288964729e-01
1.538000000000000034e+00,4.781520995906348714e-01,4.870826876121867044e-01,8.930588021551832956e-03,9.961886311159265928e-01,9.986660346510130015e-01,-2.538382682816578306e+00,-1.965752432487681833e+00,5.726302503288964729e-01
1.538999999999999924e+00,4.780851014356438666e-01,4.874301555109278317e-01,9.345054075283965034e-03,9.961652644902436737e-01,9.987367904296174936e-01,-2.538382682816578306e+00,-1.965752432487681833e+00,5.726302503288964729e-01
1.540000000000000036e+00,4.780209108608809432e-01,4.877820686176299048e-01,9.761157756748961578e-03,9.961428104549637785e-01,9.988064898803710179e-01,-2.538382682816578306e+00,-1.965752432487681833e+00,5.726302503288964729e-01
1.540999999999999925e+00,4.779593556328889381e-01,4.881385100329414528e-01,1.017915440005251471e-02,9.961212170629760720e-01,9.988750735319578133e-01,-2.538382682816578306e+00,-1.965752432487681833e+00,5.726302503288964729e-01
1.542000000000000259e+00,4.779004491132957666e-01,4.884989352413419139e-01,1.059848612804614731e-02,9.961004967208042515e-01,9.989423636685651475e-01,-2.538382682816578306e+00,-1.965752432487681833e+00,5.726302503288964729e-01
1.542999999999999927e+00,4.778442858494989509e-01,4.888637951489406275e-01,1.101950929944167656e-02,9.960806902191011725e-01,9.990083714396176262e-01,-2.538382682816578306e+00,-1.965752432487681833e+00,5.726302503288964729e-01
1.544000000000000039e+00,4.777906162039757820e-01,4.892323202139281513e-01,1.144170400995236925e-02,9.960617165105283277e-01,9.990728865451909968e-01,-2.538382682816578306e+00,-1.965752432487681833e+00,5.726302503288964729e-01
1.544999999999999929e+00,4.777394862915169127e-01,4.896049307048448984e-01,1.186544441332798572e-02,9.960435983058486542e-01,9.991359137586688366e-01,-2.538382682816578306e+00,-1.965752432487681833e+00,5.726302503288964729e-01
1.546000000000000041e+00,4.776907888381239364e-01,4.899810604017470483e-01,1.229027156362311191e-02,9.960263036277640092e-01,9.991972890963674025e-01,-2.538382682816578306e+00,-1.965752432487681833e+00,5.726302503288964729e-01
1.546999999999999931e+00,4.776446450744553651e-01,4.903606721301292382e-01,1.271602705567387304e-02,9.960098812863633633e-01,9.992569430351684323e-01,-2.538382682816578306e+00,-1.965752432487681833e+00,5.726302503288964729e-01
1.548000000000000043e+00,4.776008762352296766e-01,4.907438645916941677e-01,1.314298835646449115e-02,9.959942730617856732e-01,9.993148264702512718e-01,-2.538382682816578306e+00,-1.965752432487681833e+00,5.726302503288964729e-01
1.548999999999999932e+00,4.775592968456386922e-01,4.911299640905683050e-01,1.357066724492961285e-02,9.959794175580807263e-01,9.993707777263580727e-01,-2.538382682816578306e+00,-1.965752432487681833e+00,5.726302503288964729e-01
1.550000000000000044e+00,4.775202433615321485e-01,4.915195725226699786e-01,1.399932916113783010e-02,9.959654396220292139e-01,9.994248242595646925e-01,-2.538382682816578306e+00,-1.965752432487681833e+00,5.726302503288964729e-01
1.550999999999999934e+00,4.774835412254417322e-01,4.919119067036189508e-01,1.442836547817721859e-02,9.959522813004696440e-01,9.994767988801528391e-01,-2.538382682816578306e+00,-1.965752432487681833e+00,5.726302503288964729e-01
1.552000000000000046e+00,4.774488706921922176e-01,4.923069298552151252e-01,1.485805916302290752e-02,9.959398317854775140e-01,9.995266454327742522e-01,-2.538382682816578306e+00,-1.965752432487681833e+00,5.726302503288964729e-01
1.552999999999999936e+00,4.774164710742432316e-01,4.927051573743609358e-01,1.528868630011770424e-02,9.959281805387697473e-01,9.995743727670886036e-01,-2.538382682816578306e+00,-1.965752432487681833e+00,5.726302503288964729e-01
1.554000000000000048e+00,4.773861738054800408e-01,4.931054368834560941e-01,1.571926307797605338e-02,9.959172703078541522e-01,9.996197922881510101e-01,-2.538382682816578306e+00,-1.965752432487681833e+00,5.726302503288964729e-01
1.554999999999999716e+00,4.773580857215890538e-01,4.935084094079461026e-01,1.615032368635704874e-02,9.959071426585854869e-01,9.996629308300694072e-01,-2.538382682816578306e+00,-1.965752432487681833e+00,5.726302503288964729e-01
1.556000000000000050e+00,4.773318470638536759e-01,4.939135342904290016e-01,1.658168722657532568e-02,9.958976705881196212e-01,9.997036833896018049e-01,-2.538382682816578306e+00,-1.965752432487681833e+00,5.726302503288964729e-01
1.556999999999999940e+00,4.773077798006648553e-01,4.943209462259198217e-01,1.701316642525496636e-02,9.958889728170751132e-01,9.997420200669646650e-01,-2.538382682816578306e+00,-1.965752432487681833e+00,5.726302503288964729e-01
1.558000000000000052e+00,4.772857265532439719e-01,4.947302604357290412e-01,1.744453388248506931e-02,9.958809948629728792e-01,9.997778634344656190e-01,-2.538382682816578306e+00,-1.965752432487681833e+00,5.726302503288964729e-01
1.558999999999999719e+00,4.772655794517104977e-01,4.951415397223028481e-01,1.787596027059235038e-02,9.958736997557945392e-01,9.998111807378803340e-01,-2.538382682816578306e+00,-1.965752432487681833e+00,5.726302503288964729e-01
1.560000000000000053e+00,4.772472159976118844e-01,4.955546716173360178e-01,1.830745561972413338e-02,9.958670449056580276e-01,9.998419249394121522e-01,-2.538382682816578306e+00,-1.965752432487681833e+00,5.726302503288964729e-01
1.560999999999999943e+00,4.772309169516076310e-01,4.959693353213980305e-01,1.873841836979039943e-02,9.958611337257740059e-01,9.998700383835490424e-01,-2.538382682816578306e+00,-1.965752432487681833e+00,5.726302503288964729e-01
