lambda_um,eta_TE,eta_TM,delta_eta,V_TE,V_TM,delta_phi_TE,delta_phi_TM,delta_delta_phi
1.530000000000000027e+00,4.944104760943286991e-01,4.907246772856165284e-01,3.685798808712170693e-03,9.997500890117170247e-01,9.993119838728967697e-01,-2.407029817880840472e+00,-1.898145197262163242e+00,5.088846206186772303e-01
1.530999999999999917e+00,4.946481165493744614e-01,4.913279907066692154e-01,3.320125842705246022e-03,9.997708849980966317e-01,9.993985509634114583e-01,-2.407029817880840472e+00,-1.898145197262163242e+00,5.088846206186772303e-01
1.532000000000000028e+00,4.948805342605592794e-01,4.919314784356967341e-01,2.949055824862545361e-03,9.997903505430928428e-01,9.994793272634781012e-01,-2.407029817880840472e+00,-1.898145197262163242e+00,5.088846206186772303e-01
1.532999999999999918e+00,4.951077950579197418e-01,4.925350153848974122e-01,2.572779673022329572e-03,9.998085489749395371e-01,9.995542913877943914e-01,-2.407029817880840472e+00,-1.898145197262163242e+00,5.088846206186772303e-01
1.534000000000000030e+00,4.953295537042020080e-01,4.931385940588394190e-01,2.190959645362589026e-03,9.998255106757749644e-01,9.996234397802357119e-01,-2.407029817880840472e+00,-1.898145197262163242e+00,5.088846206186772303e-01
1.534999999999999920e+00,4.955455168298840696e-01,4.937417777571742605e-01,1.803739072709809044e-03,9.998412732355899113e-01,9.996867263127641179e-01,-2.407029817880840472e+00,-1.898145197262163242e+00,5.088846206186772303e-01
1.536000000000000032e+00,4.957556895968110999e-01,4.943446265962329056e-01,1.411063000578194337e-03,9.998558970171940175e-01,9.997441667428261791e-01,-2.407029817880840472e+00,-1.898145197262163242e+00,5.088846206186772303e-01
1.536999999999999700e+00,4.959595082448813308e-01,4.949467690236302730e-01,1.012739221251057753e-03,9.998694039392369559e-01,9.997957397168582006e-01,-2.407029817880840472e+00,-1.898145197262163242e+00,5.088846206186772303e-01
1.538000000000000034e+00,4.961575795358698637e-01,4.955486514906621842e-01,6.089280452076795136e-04,9.998818934148093751e-01,9.998414965342571348e-01,-2.407029817880840472e+00,-1.898145197262163242e+00,5.088846206186772303e-01
1.538999999999999924e+00,4.963489175042765655e-01,4.961495455656595999e-01,1.993719386169656715e-04,9.998933624589610991e-01,9.998813990387036554e-01,-2.407029817880840472e+00,-1.898145197262163242e+00,5.088846206186772303e-01
1.540000000000000036e+00,4.965338686050637662e-01,4.967496876904198833e-01,2.158190853561170464e-04,9.999038920838120292e-01,9.999154873304680891e-01,-2.407029817880840472e+00,-1.898145197262163242e+00,5.088846206186772303e-01
1.540999999999999925e+00,4.967125716768475696e-01,4.973489375222716058e-01,6.363658454240361806e-04,9.999135462574474387e-01,9.999437765224975516e-01,-2.407029817880840472e+00,-1.898145197262163242e+00,5.088846206186772303e-01
1.542000000000000259e+00,4.968834089263778342e-01,4.979469758209040253e-01,1.063566894526191131e-03,9.999222978995638833e-01,9.999662813022451857e-01,-2.407029817880840472e+00,-1.898145197262163242e+00,5.088846206186772303e-01
1.542999999999999927e+00,4.970481082604906731e-01,4.985439167684058703e-01,1.495808507915197261e-03,9.999302931108754455e-01,9.999830387168251455e-01,-2.407029817880840472e+00,-1.898145197262163242e+00,5.088846206186772303e-01
1.544000000000000039e+00,4.972055527667357810e-01,4.991396343673961677e-01,1.934081600660386702e-03,9.999375304685661492e-01,9.999940781853599026e-01,-2.407029817880840472e+00,-1.898145197262163242e+00,5.088846206186772303e-01
1.544999999999999929e+00,4.973559783952203883e-01,4.997338992814598368e-01,2.377920886239448528e-03,9.999440747618875136e-01,9.999994335234211329e-01,-2.407029817880840472e+00,-1.898145197262163242e+00,5.088846206186772303e-01
1.546000000000000041e+00,4.974991583131820883e-01,5.003267637241394228e-01,2.827605410957334531e-03,9.999499675785126218e-01,9.999991458041134207e-01,-2.407029817880840472e+00,-1.898145197262163242e+00,5.088846206186772303e-01
1.546999999999999931e+00,4.976351208134937032e-01,5.009180415626921512e-01,3.282920749198448007e-03,9.999552597723322389e-01,9.999932576202433809e-01,-2.407029817880840472e+00,-1.898145197262163242e+00,5.088846206186772303e-01
1.548000000000000043e+00,4.977640611912519941e-01,5.015079537989247660e-01,3.743892607672771877e-03,9.999600054209474287e-01,9.999818087681845435e-01,-2.407029817880840472e+00,-1.898145197262163242e+00,5.088846206186772303e-01
1.548999999999999932e+00,4.978858034627327012e-01,5.020961471849519908e-01,4.210343722219289653e-03,9.999642420233423312e-01,9.999648499536059054e-01,-2.407029817880840472e+00,-1.898145197262163242e+00,5.088846206186772303e-01
1.550000000000000044e+00,4.980002685033215193e-01,5.026825099058090940e-01,4.682241402487574700e-03,9.999680091032463469e-01,9.999424347817668091e-01,-2.407029817880840472e+00,-1.898145197262163242e+00,5.088846206186772303e-01
1.550999999999999934e+00,4.981076340705535288e-01,5.032669443881623295e-01,5.159310317608800656e-03,9.999713520198719729e-01,9.999146202399246119e-01,-2.407029817880840472e+00,-1.898145197262163242e+00,5.088846206186772303e-01
1.552000000000000046e+00,4.982079349753512076e-01,5.038498230242842713e-01,5.641888048933063615e-03,9.999743083536140054e-01,9.998814379303523348e-01,-2.407029817880840472e+00,-1.898145197262163242e+00,5.088846206186772303e-01
1.552999999999999936e+00,4.983012347653543173e-01,5.044306589343697800e-01,6.129424169015462720e-03,9.999769138399089430e-01,9.998429664219986579e-01,-2.407029817880840472e+00,-1.898145197262163242e+00,5.088846206186772303e-01
1.554000000000000048e+00,4.983876823380470888e-01,5.050095141608685889e-01,6.621831822821500069e-03,9.999792036703014642e-01,9.997992582936152672e-01,-2.407029817880840472e+00,-1.898145197262163242e+00,5.088846206186772303e-01
1.554999999999999716e+00,4.984675561570225399e-01,5.055863796030946045e-01,7.118823446072064520e-03,9.999812131034203633e-01,9.997503700648826541e-01,-2.407029817880840472e+00,-1.898145197262163242e+00,5.088846206186772303e-01
1.556000000000000050e+00,4.985407095361262253e-01,5.061609982583366030e-01,7.620288722210377674e-03,9.999829639158518413e-01,9.996963829023552961e-01,-2.407029817880840472e+00,-1.898145197262163242e+00,5.088846206186772303e-01
1.556999999999999940e+00,4.986074818766214056e-01,5.067337276630156095e-01,8.126245786394203918e-03,9.999844872665319961e-01,9.996373210740128190e-01,-2.407029817880840472e+00,-1.898145197262163242e+00,5.088846206186772303e-01
1.558000000000000052e+00,4.986679612423973174e-01,5.073039398875979211e-01,8.635978645200603765e-03,9.999858054827288623e-01,9.995733107482308588e-01,-2.407029817880840472e+00,-1.898145197262163242e+00,5.088846206186772303e-01
1.558999999999999719e+00,4.987223908772631109e-01,5.078720892052218661e-01,9.149698327958755151e-03,9.999869418046948288e-01,9.995043645500562013e-01,-2.407029817880840472e+00,-1.898145197262163242e+00,5.088846206186772303e-01
1.560000000000000053e+00,4.987709274635516166e-01,5.084377744331596283e-01,9.666846969608011708e-03,9.999879151186238380e-01,9.994305938587647598e-01,-2.407029817880840472e+00,-1.898145197262163242e+00,5.088846206186772303e-01
1.560999999999999943e+00,4.988139279426877515e-01,5.090011870833464069e-01,1.018725914065865545e-02,9.999887459279264146e-01,9.993520390434595946e-01,-2.407029817880840472e+00,-1.898145197262163242e+00,5.088846206186772303e-01
1.562000000000000055e+00,4.988512707088203491e-01,5.095620617840873612e-01,1.071079107526701213e-02,9.999894434238455476e-01,9.992688032176347823e-01,-2.407029817880840472e+00,-1.898145197262163242e+00,5.088846206186772303e-01
