lambda_um,eta,V,delta_phi
1.530000000000000027e+00,4.944104760943286991e-01,9.997500890117170247e-01,-2.407029817880840472e+00
1.530999999999999917e+00,4.946481165493744614e-01,9.997708849980966317e-01,-2.407029817880840472e+00
1.532000000000000028e+00,4.948805342605592794e-01,9.997903505430928428e-01,-2.407029817880840472e+00
1.532999999999999918e+00,4.951077950579197418e-01,9.998085489749395371e-01,-2.407029817880840472e+00
1.534000000000000030e+00,4.953295537042020080e-01,9.998255106757749644e-01,-2.407029817880840472e+00
1.534999999999999920e+00,4.955455168298840696e-01,9.998412732355899113e-01,-2.407029817880840472e+00
1.536000000000000032e+00,4.957556895968110999e-01,9.998558970171940175e-01,-2.407029817880840472e+00
1.536999999999999700e+00,4.959595082448813308e-01,9.998694039392369559e-01,-2.407029817880840472e+00
1.538000000000000034e+00,4.961575795358698637e-01,9.998818934148093751e-01,-2.407029817880840472e+00
1.538999999999999924e+00,4.963489175042765655e-01,9.998933624589610991e-01,-2.407029817880840472e+00
1.540000000000000036e+00,4.965338686050637662e-01,9.999038920838120292e-01,-2.407029817880840472e+00
1.540999999999999925e+00,4.967125716768475696e-01,9.999135462574474387e-01,-2.407029817880840472e+00
1.542000000000000259e+00,4.968834089263778342e-01,9.999222978995638833e-01,-2.407029817880840472e+00
1.542999999999999927e+00,4.970481082604906731e-01,9.999302931108754455e-01,-2.407029817880840472e+00
1.544000000000000039e+00,4.972055527667357810e-01,9.999375304685661492e-01,-2.407029817880840472e+00
1.544999999999999929e+00,4.973559783952203883e-01,9.999440747618875136e-01,-2.407029817880840472e+00
1.546000000000000041e+00,4.974991583131820883e-01,9.999499675785126218e-01,-2.407029817880840472e+00
1.546999999999999931e+00,4.976351208134937032e-01,9.999552597723322389e-01,-2.407029817880840472e+00
1.548000000000000043e+00,4.977640611912519941e-01,9.999600054209474287e-01,-2.407029817880840472e+00
1.548999999999999932e+00,4.978858034627327012e-01,9.999642420233423312e-01,-2.407029817880840472e+00
1.550000000000000044e+00,4.980002685033215193e-01,9.999680091032463469e-01,-2.407029817880840472e+00
1.550999999999999934e+00,4.981076340705535288e-01,9.999713520198719729e-01,-2.407029817880840472e+00
1.552000000000000046e+00,4.982079349753512076e-01,9.999743083536140054e-01,-2.407029817880840472e+00
1.552999999999999936e+00,4.983012347653543173e-01,9.999769138399089430e-01,-2.407029817880840472e+00
1.554000000000000048e+00,4.983876823380470888e-01,9.999792036703014642e-01,-2.407029817880840472e+00
1.554999999999999716e+00,4.984675561570225399e-01,9.999812131034203633e-01,-2.407029817880840472e+00
1.556000000000000050e+00,4.985407095361262253e-01,9.999829639158518413e-01,-2.407029817880840472e+00
1.556999999999999940e+00,4.986074818766214056e-01,9.999844872665319961e-01,-2.407029817880840472e+00
1.558000000000000052e+00,4.986679612423973174e-01,9.999858054827288623e-01,-2.407029817880840472e+00
1.558999999999999719e+00,4.987223908772631109e-01,9.999869418046948288e-01,-2.407029817880840472e+00
1.560000000000000053e+00,4.987709274635516166e-01,9.999879151186238380e-01,-2.407029817880840472e+00
1.560999999999999943e+00,4.988139279426877515e-01,9.999887459279264146e-01,-2.407029817880840472e+00
1.562000000000000055e+00,4.988512707088203491e-01,9.999894434238455476e-01,-2.407029817880840472e+00
1.562999999999999945e+00,4.988829609278232491e-01,9.999900178395118022e-01,-2.407029817880840472e+00
1.564000000000000057e+00,4.989104653928052580e-01,9.999905033598111004e-01,-2.407029817880840472e+00
1.564999999999999947e+00,4.989326546385266514e-01,9.999908862325652681e-01,-2.407029817880840472e+00
