lambda_um,eta_TE,eta_TM,delta_eta,V_TE,V_TM
1.530000000000000027e+00,4.938100497060714522e-01,6.916083740229004295e-01,1.977983243168289773e-01,9.996935230941143002e-01,7.438995055989071625e-01
1.530999999999999917e+00,4.940808445944881444e-01,6.912921498273911780e-01,1.972113052329030336e-01,9.997197480703589045e-01,7.446362848853966820e-01
1.532000000000000028e+00,4.943375760089689930e-01,6.906906155915021328e-01,1.963530395825331398e-01,9.997435285293919671e-01,7.460361695332732301e-01
1.532999999999999918e+00,4.945798400331389844e-01,6.898642703354426198e-01,1.952844303023036354e-01,9.997650025426163545e-01,7.479556888680581883e-01
1.534000000000000030e+00,4.948074439751241060e-01,6.888978343680629557e-01,1.940903903929388497e-01,9.997843221564028937e-01,7.501953718568036278e-01
1.534999999999999920e+00,4.950198378917554654e-01,6.878603410116052030e-01,1.928405031198497377e-01,9.998016035655299394e-01,7.525933526278291152e-01
1.536000000000000032e+00,4.952166757880379078e-01,6.868311525287231767e-01,1.916144767406852689e-01,9.998169752264327581e-01,7.549655373226742405e-01
1.536999999999999700e+00,4.953977234603288426e-01,6.858817895032224277e-01,1.904840660428935850e-01,9.998305667602466196e-01,7.571478334218092465e-01
1.538000000000000034e+00,4.955624199908642558e-01,6.850713054345489716e-01,1.895088854436847159e-01,9.998424754772651246e-01,7.590063617647416772e-01
1.538999999999999924e+00,4.957105311353632859e-01,6.844483153618374782e-01,1.887377842264741923e-01,9.998528144874592183e-01,7.604320852743017278e-01
1.540000000000000036e+00,4.958415935566833355e-01,6.840435061681916507e-01,1.882019126115083152e-01,9.998616708149609122e-01,7.613571559617517970e-01
1.540999999999999925e+00,4.959552684003318279e-01,6.838687375517538136e-01,1.879134691514219857e-01,9.998691297343669238e-01,7.617562092774955440e-01
1.542000000000000259e+00,4.960512321501839850e-01,6.839149589355153491e-01,1.878637267853313642e-01,9.998752656395617500e-01,7.616506901913371319e-01
1.542999999999999927e+00,4.961289800506207825e-01,6.841568924978984612e-01,1.880279124472776786e-01,9.998801288213925442e-01,7.610981522803007548e-01
1.544000000000000039e+00,4.961883580668435267e-01,6.845493941666569437e-01,1.883610360998134170e-01,9.998837778403748544e-01,7.602009345350668745e-01
1.544999999999999929e+00,4.962286805410090484e-01,6.850331369996834896e-01,1.888044564586744412e-01,9.998862236692007688e-01,7.590937826196307858e-01
1.546000000000000041e+00,4.962497856292900078e-01,6.855353443469440755e-01,1.892855587176540677e-01,9.998874934666057701e-01,7.579427827757186931e-01
1.546999999999999931e+00,4.962512253916382954e-01,6.859816099504717490e-01,1.897303845588334537e-01,9.998875798309880825e-01,7.569186448832531111e-01
1.548000000000000043e+00,4.962325594334269230e-01,6.862906882301410549e-01,1.900581287967141320e-01,9.998864575789254694e-01,7.562085981182835592e-01
1.548999999999999932e+00,4.961933716347854406e-01,6.863886615283929515e-01,1.901952898936075109e-01,9.998840833626359004e-01,7.559833975106721171e-01
1.550000000000000044e+00,4.961334586683694425e-01,6.862098003424246251e-01,1.900763416740551826e-01,9.998804060168344776e-01,7.563944806160614043e-01
1.550999999999999934e+00,4.960521831967514284e-01,6.857062445328637734e-01,1.896540613361123451e-01,9.998753257122273697e-01,7.575507325039928519e-01
1.552000000000000046e+00,4.959492872734916902e-01,6.848438833092679312e-01,1.888945960357762410e-01,9.998687424260991330e-01,7.595271105267704659e-01
1.552999999999999936e+00,4.958243629525119212e-01,6.836129496013738649e-01,1.877885866488619437e-01,9.998605221696923451e-01,7.623398979477294946e-01
1.554000000000000048e+00,4.956771520969683320e-01,6.820301117368011701e-01,1.863529596398328381e-01,9.998505150617665871e-01,7.659422814184866368e-01
1.554999999999999716e+00,4.955070765951238854e-01,6.801211971464782291e-01,1.846141205513543437e-01,9.998385221528234279e-01,7.702646445771668127e-01
1.556000000000000050e+00,4.953138460076209615e-01,6.779433692740570727e-01,1.826295232664361112e-01,9.998243351165087001e-01,7.751657268564776659e-01
1.556999999999999940e+00,4.950971329370669194e-01,6.755652487513431614e-01,1.804681158142762420e-01,9.998077136453044078e-01,7.804799508295943156e-01
1.558000000000000052e+00,4.948563903985925272e-01,6.730667908203821215e-01,1.782104004217895943e-01,9.997883686384330115e-01,7.860197328191199651e-01
1.558999999999999719e+00,4.945915829555932453e-01,6.705357372783453673e-01,1.759441543227521221e-01,9.997660195772121172e-01,7.915853256128561055e-01
1.560000000000000053e+00,4.943020848886832130e-01,6.680644199318179766e-01,1.737623350431347635e-01,9.997403038325026747e-01,7.969732908783577763e-01
1.560999999999999943e+00,4.939874031227133311e-01,6.657408826208208730e-01,1.717534794981075419e-01,9.997108312456600698e-01,8.019963513544924316e-01
1.562000000000000055e+00,4.936474598332757924e-01,6.636436677235674209e-01,1.699962078902916285e-01,9.996772139712605254e-01,8.064938033658677341e-01
1.562999999999999945e+00,4.932815896654488830e-01,6.618459005528714023e-01,1.685643108874225193e-01,9.996389688841126331e-01,8.103211042516589302e-01
1.564000000000000057e+00,4.928899697859370765e-01,6.604060647704846909e-01,1.675160949845476144e-01,9.995956615241720078e-01,8.133674554126096856e-01
1.564999999999999947e+00,4.924717038670733960e-01,6.593680478876756679e-01,1.668963440206022719e-01,9.995467008220432215e-01,8.155530644577024812e-01
